Rb1,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
859.14000,1898.77,2.20,0.00,0.00
859.16000,1898.32,2.20,0.00,0.00
859.18000,1897.86,2.20,0.00,0.00
859.20000,1897.41,2.20,0.00,0.00
859.22000,1896.95,2.20,0.00,0.00
859.24000,1896.50,2.20,0.00,0.00
859.26000,1896.04,2.20,0.00,0.00
859.28000,1895.59,2.20,0.00,0.00
859.30000,1895.14,2.20,0.00,0.00
859.32000,1894.68,2.20,0.00,0.00
859.34000,1894.23,2.20,0.00,0.00
859.36000,1893.78,2.20,0.00,0.00
859.38000,1893.32,2.20,0.00,0.00
859.40000,1892.87,2.20,0.00,0.00
859.42000,1892.42,2.20,0.00,0.00
859.44000,1891.97,2.20,0.00,0.00
859.46000,1891.51,2.20,0.00,0.00
859.48000,1891.06,2.20,0.00,0.00
859.50000,1890.61,2.19,0.00,0.00
859.52000,1890.16,2.19,0.00,0.00
859.54000,1889.71,2.19,0.00,0.00
859.56000,1889.26,2.19,0.00,0.00
859.58000,1888.81,2.19,0.00,0.00
859.60000,1888.36,2.19,0.00,0.00
859.62000,1887.91,2.19,0.00,0.00
859.64000,1887.46,2.19,0.00,0.00
859.66000,1887.01,2.19,0.00,0.00
859.68000,1886.56,2.19,0.00,0.00
859.70000,1886.11,2.19,0.00,0.00
859.72000,1885.66,2.19,0.00,0.00
859.74000,1885.21,2.19,0.00,0.00
859.76000,1884.76,2.19,0.00,0.00
859.78000,1884.32,2.19,0.00,0.00
859.80000,1883.87,2.19,0.00,0.00
859.82000,1883.42,2.19,0.00,0.00
859.84000,1882.97,2.19,0.00,0.00
859.86000,1882.53,2.19,0.00,0.00
859.88000,1882.08,2.19,0.00,0.00
859.90000,1881.63,2.18,0.00,0.00
859.92000,1881.19,2.18,0.00,0.00
859.94000,1880.74,2.18,0.00,0.00
859.96000,1880.30,2.18,0.00,0.00
859.98000,1879.85,2.18,0.00,0.00
860.00000,1879.41,2.18,0.00,0.00
860.02000,1878.96,2.18,0.00,0.00
860.04000,1878.52,2.18,0.00,0.00
860.06000,1878.07,2.18,0.00,0.00
860.08000,1877.63,2.18,0.00,0.00
860.10000,1877.18,2.18,0.00,0.00
860.12000,1876.74,2.18,0.00,0.00
860.14000,1876.30,2.18,0.00,0.00
860.16000,1875.85,2.18,0.00,0.00
860.18000,1875.41,2.18,0.00,0.00
860.20000,1874.97,2.18,0.00,0.00
860.22000,1874.52,2.18,0.00,0.00
860.24000,1874.08,2.18,0.00,0.00
860.26000,1873.64,2.18,0.00,0.00
860.28000,1873.20,2.18,0.00,0.00
860.30000,1872.76,2.17,0.00,0.00
860.32000,1872.31,2.17,0.00,0.00
860.34000,1871.87,2.17,0.00,0.00
860.36000,1871.43,2.17,0.00,0.00
860.38000,1870.99,2.17,0.00,0.00
860.40000,1870.55,2.17,0.00,0.00
860.42000,1870.11,2.17,0.00,0.00
860.44000,1869.67,2.17,0.00,0.00
860.46000,1869.23,2.17,0.00,0.00
860.48000,1868.79,2.17,0.00,0.00
860.50000,1868.35,2.17,0.00,0.00
860.52000,1867.92,2.17,0.00,0.00
860.54000,1867.48,2.17,0.00,0.00
860.56000,1867.04,2.17,0.00,0.00
860.58000,1866.60,2.17,0.00,0.00
860.60000,1866.16,2.17,0.00,0.00
860.62000,1865.72,2.17,0.00,0.00
860.64000,1865.29,2.17,0.00,0.00
860.66000,1864.85,2.17,0.00,0.00
860.68000,1864.41,2.17,0.00,0.00
860.70000,1863.98,2.16,0.00,0.00
860.72000,1863.54,2.16,0.00,0.00
860.74000,1863.10,2.16,0.00,0.00
860.76000,1862.67,2.16,0.00,0.00
860.78000,1862.23,2.16,0.00,0.00
860.80000,1861.80,2.16,0.00,0.00
860.82000,1861.36,2.16,0.00,0.00
860.84000,1860.93,2.16,0.00,0.00
860.86000,1860.49,2.16,0.00,0.00
860.88000,1860.06,2.16,0.00,0.00
860.90000,1859.62,2.16,0.00,0.00
860.92000,1859.19,2.16,0.00,0.00
860.94000,1858.75,2.16,0.00,0.00
860.96000,1858.32,2.16,0.00,0.00
860.98000,1857.89,2.16,0.00,0.00
861.00000,1857.45,2.16,0.00,0.00
861.02000,1857.02,2.16,0.00,0.00
861.04000,1856.59,2.16,0.00,0.00
861.06000,1856.16,2.16,0.00,0.00
861.08000,1855.72,2.16,0.00,0.00
861.10000,1855.29,2.16,0.00,0.00
861.12000,1854.86,2.15,0.00,0.00
861.14000,1854.43,2.15,0.00,0.00
861.16000,1854.00,2.15,0.00,0.00
861.18000,1853.57,2.15,0.00,0.00
861.20000,1853.13,2.15,0.00,0.00
861.22000,1852.70,2.15,0.00,0.00
861.24000,1852.27,2.15,0.00,0.00
861.26000,1851.84,2.15,0.00,0.00
861.28000,1851.41,2.15,0.00,0.00
861.30000,1850.98,2.15,0.00,0.00
861.32000,1850.55,2.15,0.00,0.00
861.34000,1850.13,2.15,0.00,0.00
861.36000,1849.70,2.15,0.00,0.00
861.38000,1849.27,2.15,0.00,0.00
861.40000,1848.84,2.15,0.00,0.00
861.42000,1848.41,2.15,0.00,0.00
861.44000,1847.98,2.15,0.00,0.00
861.46000,1847.55,2.15,0.00,0.00
861.48000,1847.13,2.15,0.00,0.00
861.50000,1846.70,2.15,0.00,0.00
861.52000,1846.27,2.14,0.00,0.00
861.54000,1845.85,2.14,0.00,0.00
861.56000,1845.42,2.14,0.00,0.00
861.58000,1844.99,2.14,0.00,0.00
861.60000,1844.57,2.14,0.00,0.00
861.62000,1844.14,2.14,0.00,0.00
861.64000,1843.72,2.14,0.00,0.00
861.66000,1843.29,2.14,0.00,0.00
861.68000,1842.86,2.14,0.00,0.00
861.70000,1842.44,2.14,0.00,0.00
861.72000,1842.01,2.14,0.00,0.00
861.74000,1841.59,2.14,0.00,0.00
861.76000,1841.17,2.14,0.00,0.00
861.78000,1840.74,2.14,0.00,0.00
861.80000,1840.32,2.14,0.00,0.00
861.82000,1839.89,2.14,0.00,0.00
861.84000,1839.47,2.14,0.00,0.00
861.86000,1839.05,2.14,0.00,0.00
861.88000,1838.62,2.14,0.00,0.00
861.90000,1838.20,2.14,0.00,0.00
861.92000,1837.78,2.14,0.00,0.00
861.94000,1837.36,2.13,0.00,0.00
861.96000,1836.93,2.13,0.00,0.00
861.98000,1836.51,2.13,0.00,0.00
862.00000,1836.09,2.13,0.00,0.00
862.02000,1835.67,2.13,0.00,0.00
862.04000,1835.25,2.13,0.00,0.00
862.06000,1834.83,2.13,0.00,0.00
862.08000,1834.41,2.13,0.00,0.00
862.10000,1833.99,2.13,0.00,0.00
862.12000,1833.57,2.13,0.00,0.00
862.14000,1833.15,2.13,0.00,0.00
862.16000,1832.73,2.13,0.00,0.00
862.18000,1832.31,2.13,0.00,0.00
862.20000,1831.89,2.13,0.00,0.00
862.22000,1831.47,2.13,0.00,0.00
862.24000,1831.05,2.13,0.00,0.00
862.26000,1830.63,2.13,0.00,0.00
862.28000,1830.21,2.13,0.00,0.00
862.30000,1829.79,2.13,0.00,0.00
862.32000,1829.38,2.13,0.00,0.00
862.34000,1828.96,2.13,0.00,0.00
862.36000,1828.54,2.13,0.00,0.00
862.38000,1828.12,2.12,0.00,0.00
862.40000,1827.71,2.12,0.00,0.00
862.42000,1827.29,2.12,0.00,0.00
862.44000,1826.87,2.12,0.00,0.00
862.46000,1826.46,2.12,0.00,0.00
862.48000,1826.04,2.12,0.00,0.00
862.50000,1825.62,2.12,0.00,0.00
862.52000,1825.21,2.12,0.00,0.00
862.54000,1824.79,2.12,0.00,0.00
862.56000,1824.38,2.12,0.00,0.00
862.58000,1823.96,2.12,0.00,0.00
862.60000,1823.55,2.12,0.00,0.00
862.62000,1823.13,2.12,0.00,0.00
862.64000,1822.72,2.12,0.00,0.00
862.66000,1822.30,2.12,0.00,0.00
862.68000,1821.89,2.12,0.00,0.00
862.70000,1821.48,2.12,0.00,0.00
862.72000,1821.06,2.12,0.00,0.00
862.74000,1820.65,2.12,0.00,0.00
862.76000,1820.24,2.12,0.00,0.00
862.78000,1819.82,2.12,0.00,0.00
862.80000,1819.41,2.11,0.00,0.00
862.82000,1819.00,2.11,0.00,0.00
862.84000,1818.59,2.11,0.00,0.00
862.86000,1818.17,2.11,0.00,0.00
862.88000,1817.76,2.11,0.00,0.00
862.90000,1817.35,2.11,0.00,0.00
862.92000,1816.94,2.11,0.00,0.00
862.94000,1816.53,2.11,0.00,0.00
862.96000,1816.12,2.11,0.00,0.00
862.98000,1815.71,2.11,0.00,0.00
863.00000,1815.30,2.11,0.00,0.00
863.02000,1814.89,2.11,0.00,0.00
863.04000,1814.48,2.11,0.00,0.00
863.06000,1814.07,2.11,0.00,0.00
863.08000,1813.66,2.11,0.00,0.00
863.10000,1813.25,2.11,0.00,0.00
863.12000,1812.84,2.11,0.00,0.00
863.14000,1812.43,2.11,0.00,0.00
863.16000,1812.02,2.11,0.00,0.00
863.18000,1811.61,2.11,0.00,0.00
863.20000,1811.20,2.11,0.00,0.00
863.22000,1810.79,2.11,0.00,0.00
863.24000,1810.39,2.10,0.00,0.00
863.26000,1809.98,2.10,0.00,0.00
863.28000,1809.57,2.10,0.00,0.00
863.30000,1809.16,2.10,0.00,0.00
863.32000,1808.76,2.10,0.00,0.00
863.34000,1808.35,2.10,0.00,0.00
863.36000,1807.94,2.10,0.00,0.00
863.38000,1807.54,2.10,0.00,0.00
863.40000,1807.13,2.10,0.00,0.00
863.42000,1806.72,2.10,0.00,0.00
863.44000,1806.32,2.10,0.00,0.00
863.46000,1805.91,2.10,0.00,0.00
863.48000,1805.51,2.10,0.00,0.00
863.50000,1805.10,2.10,0.00,0.00
863.52000,1804.70,2.10,0.00,0.00
863.54000,1804.29,2.10,0.00,0.00
863.56000,1803.89,2.10,0.00,0.00
863.58000,1803.48,2.10,0.00,0.00
863.60000,1803.08,2.10,0.00,0.00
863.62000,1802.68,2.10,0.00,0.00
863.64000,1802.27,2.10,0.00,0.00
863.66000,1801.87,2.10,0.00,0.00
863.68000,1801.47,2.09,0.00,0.00
863.70000,1801.06,2.09,0.00,0.00
863.72000,1800.66,2.09,0.00,0.00
863.74000,1800.26,2.09,0.00,0.00
863.76000,1799.86,2.09,0.00,0.00
863.78000,1799.45,2.09,0.00,0.00
863.80000,1799.05,2.09,0.00,0.00
863.82000,1798.65,2.09,0.00,0.00
863.84000,1798.25,2.09,0.00,0.00
863.86000,1797.85,2.09,0.00,0.00
863.88000,1797.45,2.09,0.00,0.00
863.90000,1797.05,2.09,0.00,0.00
863.92000,1796.64,2.09,0.00,0.00
863.94000,1796.24,2.09,0.00,0.00
863.96000,1795.84,2.09,0.00,0.00
863.98000,1795.44,2.09,0.00,0.00
864.00000,1795.04,2.09,0.00,0.00
864.02000,1794.64,2.09,0.00,0.00
864.04000,1794.24,2.09,0.00,0.00
864.06000,1793.85,2.09,0.00,0.00
864.08000,1793.45,2.09,0.00,0.00
864.10000,1793.05,2.09,0.00,0.00
864.12000,1792.65,2.08,0.00,0.00
864.14000,1792.25,2.08,0.00,0.00
864.16000,1791.85,2.08,0.00,0.00
864.18000,1791.45,2.08,0.00,0.00
864.20000,1791.06,2.08,0.00,0.00
864.22000,1790.66,2.08,0.00,0.00
864.24000,1790.26,2.08,0.00,0.00
864.26000,1789.86,2.08,0.00,0.00
864.28000,1789.47,2.08,0.00,0.00
864.30000,1789.07,2.08,0.00,0.00
864.32000,1788.67,2.08,0.00,0.00
864.34000,1788.28,2.08,0.00,0.00
864.36000,1787.88,2.08,0.00,0.00
864.38000,1787.49,2.08,0.00,0.00
864.40000,1787.09,2.08,0.00,0.00
864.42000,1786.69,2.08,0.00,0.00
864.44000,1786.30,2.08,0.00,0.00
864.46000,1785.90,2.08,0.00,0.00
864.48000,1785.51,2.08,0.00,0.00
864.50000,1785.11,2.08,0.00,0.00
864.52000,1784.72,2.08,0.00,0.00
864.54000,1784.33,2.08,0.00,0.00
864.56000,1783.93,2.08,0.00,0.00
864.58000,1783.54,2.07,0.00,0.00
864.60000,1783.14,2.07,0.00,0.00
864.62000,1782.75,2.07,0.00,0.00
864.64000,1782.36,2.07,0.00,0.00
864.66000,1781.96,2.07,0.00,0.00
864.68000,1781.57,2.07,0.00,0.00
864.70000,1781.18,2.07,0.00,0.00
864.72000,1780.79,2.07,0.00,0.00
864.74000,1780.39,2.07,0.00,0.00
864.76000,1780.00,2.07,0.00,0.00
864.78000,1779.61,2.07,0.00,0.00
864.80000,1779.22,2.07,0.00,0.00
864.82000,1778.83,2.07,0.00,0.00
864.84000,1778.44,2.07,0.00,0.00
864.86000,1778.05,2.07,0.00,0.00
864.88000,1777.65,2.07,0.00,0.00
864.90000,1777.26,2.07,0.00,0.00
864.92000,1776.87,2.07,0.00,0.00
864.94000,1776.48,2.07,0.00,0.00
864.96000,1776.09,2.07,0.00,0.00
864.98000,1775.70,2.07,0.00,0.00
865.00000,1775.31,2.07,0.00,0.00
865.02000,1774.93,2.06,0.00,0.00
865.04000,1774.54,2.06,0.00,0.00
865.06000,1774.15,2.06,0.00,0.00
865.08000,1773.76,2.06,0.00,0.00
865.10000,1773.37,2.06,0.00,0.00
865.12000,1772.98,2.06,0.00,0.00
865.14000,1772.59,2.06,0.00,0.00
865.16000,1772.20,2.06,0.00,0.00
865.18000,1771.82,2.06,0.00,0.00
865.20000,1771.43,2.06,0.00,0.00
865.22000,1771.04,2.06,0.00,0.00
865.24000,1770.65,2.06,0.00,0.00
865.26000,1770.27,2.06,0.00,0.00
865.28000,1769.88,2.06,0.00,0.00
865.30000,1769.49,2.06,0.00,0.00
865.32000,1769.11,2.06,0.00,0.00
865.34000,1768.72,2.06,0.00,0.00
865.36000,1768.34,2.06,0.00,0.00
865.38000,1767.95,2.06,0.00,0.00
865.40000,1767.56,2.06,0.00,0.00
865.42000,1767.18,2.06,0.00,0.00
865.44000,1766.79,2.06,0.00,0.00
865.46000,1766.41,2.06,0.00,0.00
865.48000,1766.02,2.05,0.00,0.00
865.50000,1765.64,2.05,0.00,0.00
865.52000,1765.25,2.05,0.00,0.00
865.54000,1764.87,2.05,0.00,0.00
865.56000,1764.49,2.05,0.00,0.00
865.58000,1764.10,2.05,0.00,0.00
865.60000,1763.72,2.05,0.00,0.00
865.62000,1763.34,2.05,0.00,0.00
865.64000,1762.95,2.05,0.00,0.00
865.66000,1762.57,2.05,0.00,0.00
865.68000,1762.19,2.05,0.00,0.00
865.70000,1761.80,2.05,0.00,0.00
865.72000,1761.42,2.05,0.00,0.00
865.74000,1761.04,2.05,0.00,0.00
865.76000,1760.66,2.05,0.00,0.00
865.78000,1760.28,2.05,0.00,0.00
865.80000,1759.89,2.05,0.00,0.00
865.82000,1759.51,2.05,0.00,0.00
865.84000,1759.13,2.05,0.00,0.00
865.86000,1758.75,2.05,0.00,0.00
865.88000,1758.37,2.05,0.00,0.00
865.90000,1757.99,2.05,0.00,0.00
865.92000,1757.61,2.05,0.00,0.00
865.94000,1757.23,2.05,0.00,0.00
865.96000,1756.85,2.04,0.00,0.00
865.98000,1756.47,2.04,0.00,0.00
866.00000,1756.09,2.04,0.00,0.00
866.02000,1755.71,2.04,0.00,0.00
866.04000,1755.33,2.04,0.00,0.00
866.06000,1754.95,2.04,0.00,0.00
866.08000,1754.57,2.04,0.00,0.00
866.10000,1754.19,2.04,0.00,0.00
866.12000,1753.81,2.04,0.00,0.00
866.14000,1753.43,2.04,0.00,0.00
866.16000,1753.06,2.04,0.00,0.00
866.18000,1752.68,2.04,0.00,0.00
866.20000,1752.30,2.04,0.00,0.00
866.22000,1751.92,2.04,0.00,0.00
866.24000,1751.55,2.04,0.00,0.00
866.26000,1751.17,2.04,0.00,0.00
866.28000,1750.79,2.04,0.00,0.00
866.30000,1750.41,2.04,0.00,0.00
866.32000,1750.04,2.04,0.00,0.00
866.34000,1749.66,2.04,0.00,0.00
866.36000,1749.29,2.04,0.00,0.00
866.38000,1748.91,2.04,0.00,0.00
866.40000,1748.53,2.04,0.00,0.00
866.42000,1748.16,2.03,0.00,0.00
866.44000,1747.78,2.03,0.00,0.00
866.46000,1747.41,2.03,0.00,0.00
866.48000,1747.03,2.03,0.00,0.00
866.50000,1746.66,2.03,0.00,0.00
866.52000,1746.28,2.03,0.00,0.00
866.54000,1745.91,2.03,0.00,0.00
866.56000,1745.53,2.03,0.00,0.00
866.58000,1745.16,2.03,0.00,0.00
866.60000,1744.78,2.03,0.00,0.00
866.62000,1744.41,2.03,0.00,0.00
866.64000,1744.04,2.03,0.00,0.00
866.66000,1743.66,2.03,0.00,0.00
866.68000,1743.29,2.03,0.00,0.00
866.70000,1742.92,2.03,0.00,0.00
866.72000,1742.54,2.03,0.00,0.00
866.74000,1742.17,2.03,0.00,0.00
866.76000,1741.80,2.03,0.00,0.00
866.78000,1741.43,2.03,0.00,0.00
866.80000,1741.06,2.03,0.00,0.00
866.82000,1740.68,2.03,0.00,0.00
866.84000,1740.31,2.03,0.00,0.00
866.86000,1739.94,2.03,0.00,0.00
866.88000,1739.57,2.03,0.00,0.00
866.90000,1739.20,2.02,0.00,0.00
866.92000,1738.83,2.02,0.00,0.00
866.94000,1738.46,2.02,0.00,0.00
866.96000,1738.08,2.02,0.00,0.00
866.98000,1737.71,2.02,0.00,0.00
867.00000,1737.34,2.02,0.00,0.00
867.02000,1736.97,2.02,0.00,0.00
867.04000,1736.60,2.02,0.00,0.00
867.06000,1736.23,2.02,0.00,0.00
867.08000,1735.87,2.02,0.00,0.00
867.10000,1735.50,2.02,0.00,0.00
867.12000,1735.13,2.02,0.00,0.00
867.14000,1734.76,2.02,0.00,0.00
867.16000,1734.39,2.02,0.00,0.00
867.18000,1734.02,2.02,0.00,0.00
867.20000,1733.65,2.02,0.00,0.00
867.22000,1733.28,2.02,0.00,0.00
867.24000,1732.92,2.02,0.00,0.00
867.26000,1732.55,2.02,0.00,0.00
867.28000,1732.18,2.02,0.00,0.00
867.30000,1731.81,2.02,0.00,0.00
867.32000,1731.45,2.02,0.00,0.00
867.34000,1731.08,2.02,0.00,0.00
867.36000,1730.71,2.02,0.00,0.00
867.38000,1730.34,2.01,0.00,0.00
867.40000,1729.98,2.01,0.00,0.00
867.42000,1729.61,2.01,0.00,0.00
867.44000,1729.25,2.01,0.00,0.00
867.46000,1728.88,2.01,0.00,0.00
867.48000,1728.51,2.01,0.00,0.00
867.50000,1728.15,2.01,0.00,0.00
867.52000,1727.78,2.01,0.00,0.00
867.54000,1727.42,2.01,0.00,0.00
867.56000,1727.05,2.01,0.00,0.00
867.58000,1726.69,2.01,0.00,0.00
867.60000,1726.32,2.01,0.00,0.00
867.62000,1725.96,2.01,0.00,0.00
867.64000,1725.59,2.01,0.00,0.00
867.66000,1725.23,2.01,0.00,0.00
867.68000,1724.87,2.01,0.00,0.00
867.70000,1724.50,2.01,0.00,0.00
867.72000,1724.14,2.01,0.00,0.00
867.74000,1723.77,2.01,0.00,0.00
867.76000,1723.41,2.01,0.00,0.00
867.78000,1723.05,2.01,0.00,0.00
867.80000,1722.69,2.01,0.00,0.00
867.82000,1722.32,2.01,0.00,0.00
867.84000,1721.96,2.01,0.00,0.00
867.86000,1721.60,2.00,0.00,0.00
867.88000,1721.24,2.00,0.00,0.00
867.90000,1720.87,2.00,0.00,0.00
867.92000,1720.51,2.00,0.00,0.00
867.94000,1720.15,2.00,0.00,0.00
867.96000,1719.79,2.00,0.00,0.00
867.98000,1719.43,2.00,0.00,0.00
868.00000,1719.07,2.00,0.00,0.00
868.02000,1718.71,2.00,0.00,0.00
868.04000,1718.34,2.00,0.00,0.00
868.06000,1717.98,2.00,0.00,0.00
868.08000,1717.62,2.00,0.00,0.00
868.10000,1717.26,2.00,0.00,0.00
868.12000,1716.90,2.00,0.00,0.00
868.14000,1716.54,2.00,0.00,0.00
868.16000,1716.18,2.00,0.00,0.00
868.18000,1715.82,2.00,0.00,0.00
868.20000,1715.46,2.00,0.00,0.00
868.22000,1715.11,2.00,0.00,0.00
868.24000,1714.75,2.00,0.00,0.00
868.26000,1714.39,2.00,0.00,0.00
868.28000,1714.03,2.00,0.00,0.00
868.30000,1713.67,2.00,0.00,0.00
868.32000,1713.31,2.00,0.00,0.00
868.34000,1712.95,2.00,0.00,0.00
868.36000,1712.60,1.99,0.00,0.00
868.38000,1712.24,1.99,0.00,0.00
868.40000,1711.88,1.99,0.00,0.00
868.42000,1711.52,1.99,0.00,0.00
868.44000,1711.17,1.99,0.00,0.00
868.46000,1710.81,1.99,0.00,0.00
868.48000,1710.45,1.99,0.00,0.00
868.50000,1710.10,1.99,0.00,0.00
868.52000,1709.74,1.99,0.00,0.00
868.54000,1709.38,1.99,0.00,0.00
868.56000,1709.03,1.99,0.00,0.00
868.58000,1708.67,1.99,0.00,0.00
868.60000,1708.32,1.99,0.00,0.00
868.62000,1707.96,1.99,0.00,0.00
868.64000,1707.60,1.99,0.00,0.00
868.66000,1707.25,1.99,0.00,0.00
868.68000,1706.89,1.99,0.00,0.00
868.70000,1706.54,1.99,0.00,0.00
868.72000,1706.18,1.99,0.00,0.00
868.74000,1705.83,1.99,0.00,0.00
868.76000,1705.48,1.99,0.00,0.00
868.78000,1705.12,1.99,0.00,0.00
868.80000,1704.77,1.99,0.00,0.00
868.82000,1704.41,1.99,0.00,0.00
868.84000,1704.06,1.99,0.00,0.00
868.86000,1703.71,1.98,0.00,0.00
868.88000,1703.35,1.98,0.00,0.00
868.90000,1703.00,1.98,0.00,0.00
868.92000,1702.65,1.98,0.00,0.00
868.94000,1702.29,1.98,0.00,0.00
868.96000,1701.94,1.98,0.00,0.00
868.98000,1701.59,1.98,0.00,0.00
869.00000,1701.24,1.98,0.00,0.00
869.02000,1700.88,1.98,0.00,0.00
869.04000,1700.53,1.98,0.00,0.00
869.06000,1700.18,1.98,0.00,0.00
869.08000,1699.83,1.98,0.00,0.00
869.10000,1699.48,1.98,0.00,0.00
869.12000,1699.13,1.98,0.00,0.00
869.14000,1698.77,1.98,0.00,0.00
869.16000,1698.42,1.98,0.00,0.00
869.18000,1698.07,1.98,0.00,0.00
869.20000,1697.72,1.98,0.00,0.00
869.22000,1697.37,1.98,0.00,0.00
869.24000,1697.02,1.98,0.00,0.00
869.26000,1696.67,1.98,0.00,0.00
869.28000,1696.32,1.98,0.00,0.00
869.30000,1695.97,1.98,0.00,0.00
869.32000,1695.62,1.98,0.00,0.00
869.34000,1695.27,1.98,0.00,0.00
869.36000,1694.92,1.97,0.00,0.00
869.38000,1694.57,1.97,0.00,0.00
869.40000,1694.23,1.97,0.00,0.00
869.42000,1693.88,1.97,0.00,0.00
869.44000,1693.53,1.97,0.00,0.00
869.46000,1693.18,1.97,0.00,0.00
869.48000,1692.83,1.97,0.00,0.00
869.50000,1692.48,1.97,0.00,0.00
869.52000,1692.14,1.97,0.00,0.00
869.54000,1691.79,1.97,0.00,0.00
869.56000,1691.44,1.97,0.00,0.00
869.58000,1691.09,1.97,0.00,0.00
869.60000,1690.75,1.97,0.00,0.00
869.62000,1690.40,1.97,0.00,0.00
869.64000,1690.05,1.97,0.00,0.00
869.66000,1689.71,1.97,0.00,0.00
869.68000,1689.36,1.97,0.00,0.00
869.70000,1689.01,1.97,0.00,0.00
869.72000,1688.67,1.97,0.00,0.00
869.74000,1688.32,1.97,0.00,0.00
869.76000,1687.98,1.97,0.00,0.00
869.78000,1687.63,1.97,0.00,0.00
869.80000,1687.28,1.97,0.00,0.00
869.82000,1686.94,1.97,0.00,0.00
869.84000,1686.59,1.97,0.00,0.00
869.86000,1686.25,1.97,0.00,0.00
869.88000,1685.90,1.96,0.00,0.00
869.90000,1685.56,1.96,0.00,0.00
869.92000,1685.21,1.96,0.00,0.00
869.94000,1684.87,1.96,0.00,0.00
869.96000,1684.53,1.96,0.00,0.00
869.98000,1684.18,1.96,0.00,0.00
870.00000,1683.84,1.96,0.00,0.00
870.02000,1683.49,1.96,0.00,0.00
870.04000,1683.15,1.96,0.00,0.00
870.06000,1682.81,1.96,0.00,0.00
870.08000,1682.46,1.96,0.00,0.00
870.10000,1682.12,1.96,0.00,0.00
870.12000,1681.78,1.96,0.00,0.00
870.14000,1681.44,1.96,0.00,0.00
870.16000,1681.09,1.96,0.00,0.00
870.18000,1680.75,1.96,0.00,0.00
870.20000,1680.41,1.96,0.00,0.00
870.22000,1680.07,1.96,0.00,0.00
870.24000,1679.72,1.96,0.00,0.00
870.26000,1679.38,1.96,0.00,0.00
870.28000,1679.04,1.96,0.00,0.00
870.30000,1678.70,1.96,0.00,0.00
870.32000,1678.36,1.96,0.00,0.00
870.34000,1678.02,1.96,0.00,0.00
870.36000,1677.68,1.96,0.00,0.00
870.38000,1677.34,1.96,0.00,0.00
870.40000,1677.00,1.95,0.00,0.00
870.42000,1676.66,1.95,0.00,0.00
870.44000,1676.32,1.95,0.00,0.00
870.46000,1675.98,1.95,0.00,0.00
870.48000,1675.64,1.95,0.00,0.00
870.50000,1675.30,1.95,0.00,0.00
870.52000,1674.96,1.95,0.00,0.00
870.54000,1674.62,1.95,0.00,0.00
870.56000,1674.28,1.95,0.00,0.00
870.58000,1673.94,1.95,0.00,0.00
870.60000,1673.60,1.95,0.00,0.00
870.62000,1673.26,1.95,0.00,0.00
870.64000,1672.92,1.95,0.00,0.00
870.66000,1672.58,1.95,0.00,0.00
870.68000,1672.25,1.95,0.00,0.00
870.70000,1671.91,1.95,0.00,0.00
870.72000,1671.57,1.95,0.00,0.00
870.74000,1671.23,1.95,0.00,0.00
870.76000,1670.89,1.95,0.00,0.00
870.78000,1670.56,1.95,0.00,0.00
870.80000,1670.22,1.95,0.00,0.00
870.82000,1669.88,1.95,0.00,0.00
870.84000,1669.55,1.95,0.00,0.00
870.86000,1669.21,1.95,0.00,0.00
870.88000,1668.87,1.95,0.00,0.00
870.90000,1668.54,1.95,0.00,0.00
870.92000,1668.20,1.94,0.00,0.00
870.94000,1667.86,1.94,0.00,0.00
870.96000,1667.53,1.94,0.00,0.00
870.98000,1667.19,1.94,0.00,0.00
871.00000,1666.86,1.94,0.00,0.00
871.02000,1666.52,1.94,0.00,0.00
871.04000,1666.19,1.94,0.00,0.00
871.06000,1665.85,1.94,0.00,0.00
871.08000,1665.51,1.94,0.00,0.00
871.10000,1665.18,1.94,0.00,0.00
871.12000,1664.85,1.94,0.00,0.00
871.14000,1664.51,1.94,0.00,0.00
871.16000,1664.18,1.94,0.00,0.00
871.18000,1663.84,1.94,0.00,0.00
871.20000,1663.51,1.94,0.00,0.00
871.22000,1663.17,1.94,0.00,0.00
871.24000,1662.84,1.94,0.00,0.00
871.26000,1662.51,1.94,0.00,0.00
871.28000,1662.17,1.94,0.00,0.00
871.30000,1661.84,1.94,0.00,0.00
871.32000,1661.51,1.94,0.00,0.00
871.34000,1661.17,1.94,0.00,0.00
871.36000,1660.84,1.94,0.00,0.00
871.38000,1660.51,1.94,0.00,0.00
871.40000,1660.18,1.94,0.00,0.00
871.42000,1659.84,1.94,0.00,0.00
871.44000,1659.51,1.93,0.00,0.00
871.46000,1659.18,1.93,0.00,0.00
871.48000,1658.85,1.93,0.00,0.00
871.50000,1658.52,1.93,0.00,0.00
871.52000,1658.18,1.93,0.00,0.00
871.54000,1657.85,1.93,0.00,0.00
871.56000,1657.52,1.93,0.00,0.00
871.58000,1657.19,1.93,0.00,0.00
871.60000,1656.86,1.93,0.00,0.00
871.62000,1656.53,1.93,0.00,0.00
871.64000,1656.20,1.93,0.00,0.00
871.66000,1655.87,1.93,0.00,0.00
871.68000,1655.54,1.93,0.00,0.00
871.70000,1655.21,1.93,0.00,0.00
871.72000,1654.88,1.93,0.00,0.00
871.74000,1654.55,1.93,0.00,0.00
871.76000,1654.22,1.93,0.00,0.00
871.78000,1653.89,1.93,0.00,0.00
871.80000,1653.56,1.93,0.00,0.00
