Rb1,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
602.86000,-431.67,0.55,0.00,0.00
602.88000,-431.74,0.55,0.00,0.00
602.90000,-431.81,0.55,0.00,0.00
602.92000,-431.88,0.55,0.00,0.00
602.94000,-431.95,0.55,0.00,0.00
602.96000,-432.03,0.55,0.00,0.00
602.98000,-432.10,0.55,0.00,0.00
603.00000,-432.17,0.55,0.00,0.00
603.02000,-432.24,0.55,0.00,0.00
603.04000,-432.31,0.55,0.00,0.00
603.06000,-432.39,0.55,0.00,0.00
603.08000,-432.46,0.55,0.00,0.00
603.10000,-432.53,0.55,0.00,0.00
603.12000,-432.60,0.55,0.00,0.00
603.14000,-432.67,0.55,0.00,0.00
603.16000,-432.75,0.55,0.00,0.00
603.18000,-432.82,0.56,0.00,0.00
603.20000,-432.89,0.56,0.00,0.00
603.22000,-432.96,0.56,0.00,0.00
603.24000,-433.04,0.56,0.00,0.00
603.26000,-433.11,0.56,0.00,0.00
603.28000,-433.18,0.56,0.00,0.00
603.30000,-433.25,0.56,0.00,0.00
603.32000,-433.32,0.56,0.00,0.00
603.34000,-433.40,0.56,0.00,0.00
603.36000,-433.47,0.56,0.00,0.00
603.38000,-433.54,0.56,0.00,0.00
603.40000,-433.61,0.56,0.00,0.00
603.42000,-433.69,0.56,0.00,0.00
603.44000,-433.76,0.56,0.00,0.00
603.46000,-433.83,0.56,0.00,0.00
603.48000,-433.90,0.56,0.00,0.00
603.50000,-433.98,0.56,0.00,0.00
603.52000,-434.05,0.56,0.00,0.00
603.54000,-434.12,0.56,0.00,0.00
603.56000,-434.19,0.56,0.00,0.00
603.58000,-434.27,0.56,0.00,0.00
603.60000,-434.34,0.56,0.00,0.00
603.62000,-434.41,0.56,0.00,0.00
603.64000,-434.48,0.56,0.00,0.00
603.66000,-434.56,0.56,0.00,0.00
603.68000,-434.63,0.56,0.00,0.00
603.70000,-434.70,0.56,0.00,0.00
603.72000,-434.77,0.56,0.00,0.00
603.74000,-434.85,0.56,0.00,0.00
603.76000,-434.92,0.56,0.00,0.00
603.78000,-434.99,0.56,0.00,0.00
603.80000,-435.06,0.56,0.00,0.00
603.82000,-435.14,0.56,0.00,0.00
603.84000,-435.21,0.56,0.00,0.00
603.86000,-435.28,0.56,0.00,0.00
603.88000,-435.35,0.56,0.00,0.00
603.90000,-435.43,0.56,0.00,0.00
603.92000,-435.50,0.56,0.00,0.00
603.94000,-435.57,0.56,0.00,0.00
603.96000,-435.65,0.56,0.00,0.00
603.98000,-435.72,0.56,0.00,0.00
604.00000,-435.79,0.56,0.00,0.00
604.02000,-435.86,0.56,0.00,0.00
604.04000,-435.94,0.56,0.00,0.00
604.06000,-436.01,0.56,0.00,0.00
604.08000,-436.08,0.56,0.00,0.00
604.10000,-436.16,0.56,0.00,0.00
604.12000,-436.23,0.56,0.00,0.00
604.14000,-436.30,0.56,0.00,0.00
604.16000,-436.37,0.56,0.00,0.00
604.18000,-436.45,0.56,0.00,0.00
604.20000,-436.52,0.56,0.00,0.00
604.22000,-436.59,0.56,0.00,0.00
604.24000,-436.67,0.56,0.00,0.00
604.26000,-436.74,0.56,0.00,0.00
604.28000,-436.81,0.56,0.00,0.00
604.30000,-436.89,0.56,0.00,0.00
604.32000,-436.96,0.56,0.00,0.00
604.34000,-437.03,0.56,0.00,0.00
604.36000,-437.10,0.56,0.00,0.00
604.38000,-437.18,0.56,0.00,0.00
604.40000,-437.25,0.56,0.00,0.00
604.42000,-437.32,0.56,0.00,0.00
604.44000,-437.40,0.56,0.00,0.00
604.46000,-437.47,0.56,0.00,0.00
604.48000,-437.54,0.56,0.00,0.00
604.50000,-437.62,0.56,0.00,0.00
604.52000,-437.69,0.56,0.00,0.00
604.54000,-437.76,0.56,0.00,0.00
604.56000,-437.84,0.56,0.00,0.00
604.58000,-437.91,0.56,0.00,0.00
604.60000,-437.98,0.56,0.00,0.00
604.62000,-438.06,0.56,0.00,0.00
604.64000,-438.13,0.56,0.00,0.00
604.66000,-438.20,0.56,0.00,0.00
604.68000,-438.28,0.56,0.00,0.00
604.70000,-438.35,0.56,0.00,0.00
604.72000,-438.42,0.56,0.00,0.00
604.74000,-438.50,0.56,0.00,0.00
604.76000,-438.57,0.56,0.00,0.00
604.78000,-438.64,0.56,0.00,0.00
604.80000,-438.72,0.56,0.00,0.00
604.82000,-438.79,0.56,0.00,0.00
604.84000,-438.86,0.56,0.00,0.00
604.86000,-438.94,0.56,0.00,0.00
604.88000,-439.01,0.56,0.00,0.00
604.90000,-439.09,0.56,0.00,0.00
604.92000,-439.16,0.56,0.00,0.00
604.94000,-439.23,0.56,0.00,0.00
604.96000,-439.31,0.56,0.00,0.00
604.98000,-439.38,0.56,0.00,0.00
605.00000,-439.45,0.56,0.00,0.00
605.02000,-439.53,0.56,0.00,0.00
605.04000,-439.60,0.56,0.00,0.00
605.06000,-439.67,0.56,0.00,0.00
605.08000,-439.75,0.56,0.00,0.00
605.10000,-439.82,0.56,0.00,0.00
605.12000,-439.90,0.56,0.00,0.00
605.14000,-439.97,0.56,0.00,0.00
605.16000,-440.04,0.56,0.00,0.00
605.18000,-440.12,0.56,0.00,0.00
605.20000,-440.19,0.56,0.00,0.00
605.22000,-440.26,0.56,0.00,0.00
605.24000,-440.34,0.56,0.00,0.00
605.26000,-440.41,0.56,0.00,0.00
605.28000,-440.49,0.56,0.00,0.00
605.30000,-440.56,0.56,0.00,0.00
605.32000,-440.63,0.56,0.00,0.00
605.34000,-440.71,0.56,0.00,0.00
605.36000,-440.78,0.56,0.00,0.00
605.38000,-440.86,0.56,0.00,0.00
605.40000,-440.93,0.56,0.00,0.00
605.42000,-441.00,0.56,0.00,0.00
605.44000,-441.08,0.57,0.00,0.00
605.46000,-441.15,0.57,0.00,0.00
605.48000,-441.23,0.57,0.00,0.00
605.50000,-441.30,0.57,0.00,0.00
605.52000,-441.37,0.57,0.00,0.00
605.54000,-441.45,0.57,0.00,0.00
605.56000,-441.52,0.57,0.00,0.00
605.58000,-441.60,0.57,0.00,0.00
605.60000,-441.67,0.57,0.00,0.00
605.62000,-441.74,0.57,0.00,0.00
605.64000,-441.82,0.57,0.00,0.00
605.66000,-441.89,0.57,0.00,0.00
605.68000,-441.97,0.57,0.00,0.00
605.70000,-442.04,0.57,0.00,0.00
605.72000,-442.12,0.57,0.00,0.00
605.74000,-442.19,0.57,0.00,0.00
605.76000,-442.26,0.57,0.00,0.00
605.78000,-442.34,0.57,0.00,0.00
605.80000,-442.41,0.57,0.00,0.00
605.82000,-442.49,0.57,0.00,0.00
605.84000,-442.56,0.57,0.00,0.00
605.86000,-442.64,0.57,0.00,0.00
605.88000,-442.71,0.57,0.00,0.00
605.90000,-442.79,0.57,0.00,0.00
605.92000,-442.86,0.57,0.00,0.00
605.94000,-442.93,0.57,0.00,0.00
605.96000,-443.01,0.57,0.00,0.00
605.98000,-443.08,0.57,0.00,0.00
606.00000,-443.16,0.57,0.00,0.00
606.02000,-443.23,0.57,0.00,0.00
606.04000,-443.31,0.57,0.00,0.00
606.06000,-443.38,0.57,0.00,0.00
606.08000,-443.46,0.57,0.00,0.00
606.10000,-443.53,0.57,0.00,0.00
606.12000,-443.60,0.57,0.00,0.00
606.14000,-443.68,0.57,0.00,0.00
606.16000,-443.75,0.57,0.00,0.00
606.18000,-443.83,0.57,0.00,0.00
606.20000,-443.90,0.57,0.00,0.00
606.22000,-443.98,0.57,0.00,0.00
606.24000,-444.05,0.57,0.00,0.00
606.26000,-444.13,0.57,0.00,0.00
606.28000,-444.20,0.57,0.00,0.00
606.30000,-444.28,0.57,0.00,0.00
606.32000,-444.35,0.57,0.00,0.00
606.34000,-444.43,0.57,0.00,0.00
606.36000,-444.50,0.57,0.00,0.00
606.38000,-444.58,0.57,0.00,0.00
606.40000,-444.65,0.57,0.00,0.00
606.42000,-444.73,0.57,0.00,0.00
606.44000,-444.80,0.57,0.00,0.00
606.46000,-444.88,0.57,0.00,0.00
606.48000,-444.95,0.57,0.00,0.00
606.50000,-445.03,0.57,0.00,0.00
606.52000,-445.10,0.57,0.00,0.00
606.54000,-445.18,0.57,0.00,0.00
606.56000,-445.25,0.57,0.00,0.00
606.58000,-445.33,0.57,0.00,0.00
606.60000,-445.40,0.57,0.00,0.00
606.62000,-445.48,0.57,0.00,0.00
606.64000,-445.55,0.57,0.00,0.00
606.66000,-445.63,0.57,0.00,0.00
606.68000,-445.70,0.57,0.00,0.00
606.70000,-445.78,0.57,0.00,0.00
606.72000,-445.85,0.57,0.00,0.00
606.74000,-445.93,0.57,0.00,0.00
606.76000,-446.00,0.57,0.00,0.00
606.78000,-446.08,0.57,0.00,0.00
606.80000,-446.15,0.57,0.00,0.00
606.82000,-446.23,0.57,0.00,0.00
606.84000,-446.30,0.57,0.00,0.00
606.86000,-446.38,0.57,0.00,0.00
606.88000,-446.45,0.57,0.00,0.00
606.90000,-446.53,0.57,0.00,0.00
606.92000,-446.60,0.57,0.00,0.00
606.94000,-446.68,0.57,0.00,0.00
606.96000,-446.75,0.57,0.00,0.00
606.98000,-446.83,0.57,0.00,0.00
607.00000,-446.90,0.57,0.00,0.00
607.02000,-446.98,0.57,0.00,0.00
607.04000,-447.05,0.57,0.00,0.00
607.06000,-447.13,0.57,0.00,0.00
607.08000,-447.21,0.57,0.00,0.00
607.10000,-447.28,0.57,0.00,0.00
607.12000,-447.36,0.57,0.00,0.00
607.14000,-447.43,0.57,0.00,0.00
607.16000,-447.51,0.57,0.00,0.00
607.18000,-447.58,0.57,0.00,0.00
607.20000,-447.66,0.57,0.00,0.00
607.22000,-447.73,0.57,0.00,0.00
607.24000,-447.81,0.57,0.00,0.00
607.26000,-447.88,0.57,0.00,0.00
607.28000,-447.96,0.57,0.00,0.00
607.30000,-448.04,0.57,0.00,0.00
607.32000,-448.11,0.57,0.00,0.00
607.34000,-448.19,0.57,0.00,0.00
607.36000,-448.26,0.57,0.00,0.00
607.38000,-448.34,0.57,0.00,0.00
607.40000,-448.41,0.57,0.00,0.00
607.42000,-448.49,0.57,0.00,0.00
607.44000,-448.57,0.57,0.00,0.00
607.46000,-448.64,0.57,0.00,0.00
607.48000,-448.72,0.57,0.00,0.00
607.50000,-448.79,0.57,0.00,0.00
607.52000,-448.87,0.57,0.00,0.00
607.54000,-448.94,0.57,0.00,0.00
607.56000,-449.02,0.57,0.00,0.00
607.58000,-449.10,0.57,0.00,0.00
607.60000,-449.17,0.57,0.00,0.00
607.62000,-449.25,0.57,0.00,0.00
607.64000,-449.32,0.58,0.00,0.00
607.66000,-449.40,0.58,0.00,0.00
607.68000,-449.48,0.58,0.00,0.00
607.70000,-449.55,0.58,0.00,0.00
607.72000,-449.63,0.58,0.00,0.00
607.74000,-449.70,0.58,0.00,0.00
607.76000,-449.78,0.58,0.00,0.00
607.78000,-449.86,0.58,0.00,0.00
607.80000,-449.93,0.58,0.00,0.00
607.82000,-450.01,0.58,0.00,0.00
607.84000,-450.08,0.58,0.00,0.00
607.86000,-450.16,0.58,0.00,0.00
607.88000,-450.24,0.58,0.00,0.00
607.90000,-450.31,0.58,0.00,0.00
607.92000,-450.39,0.58,0.00,0.00
607.94000,-450.46,0.58,0.00,0.00
607.96000,-450.54,0.58,0.00,0.00
607.98000,-450.62,0.58,0.00,0.00
608.00000,-450.69,0.58,0.00,0.00
608.02000,-450.77,0.58,0.00,0.00
608.04000,-450.85,0.58,0.00,0.00
608.06000,-450.92,0.58,0.00,0.00
608.08000,-451.00,0.58,0.00,0.00
608.10000,-451.07,0.58,0.00,0.00
608.12000,-451.15,0.58,0.00,0.00
608.14000,-451.23,0.58,0.00,0.00
608.16000,-451.30,0.58,0.00,0.00
608.18000,-451.38,0.58,0.00,0.00
608.20000,-451.46,0.58,0.00,0.00
608.22000,-451.53,0.58,0.00,0.00
608.24000,-451.61,0.58,0.00,0.00
608.26000,-451.69,0.58,0.00,0.00
608.28000,-451.76,0.58,0.00,0.00
608.30000,-451.84,0.58,0.00,0.00
608.32000,-451.91,0.58,0.00,0.00
608.34000,-451.99,0.58,0.00,0.00
608.36000,-452.07,0.58,0.00,0.00
608.38000,-452.14,0.58,0.00,0.00
608.40000,-452.22,0.58,0.00,0.00
608.42000,-452.30,0.58,0.00,0.00
608.44000,-452.37,0.58,0.00,0.00
608.46000,-452.45,0.58,0.00,0.00
608.48000,-452.53,0.58,0.00,0.00
608.50000,-452.60,0.58,0.00,0.00
608.52000,-452.68,0.58,0.00,0.00
608.54000,-452.76,0.58,0.00,0.00
608.56000,-452.83,0.58,0.00,0.00
608.58000,-452.91,0.58,0.00,0.00
608.60000,-452.99,0.58,0.00,0.00
608.62000,-453.06,0.58,0.00,0.00
608.64000,-453.14,0.58,0.00,0.00
608.66000,-453.22,0.58,0.00,0.00
608.68000,-453.29,0.58,0.00,0.00
608.70000,-453.37,0.58,0.00,0.00
608.72000,-453.45,0.58,0.00,0.00
608.74000,-453.53,0.58,0.00,0.00
608.76000,-453.60,0.58,0.00,0.00
608.78000,-453.68,0.58,0.00,0.00
608.80000,-453.76,0.58,0.00,0.00
608.82000,-453.83,0.58,0.00,0.00
608.84000,-453.91,0.58,0.00,0.00
608.86000,-453.99,0.58,0.00,0.00
608.88000,-454.06,0.58,0.00,0.00
608.90000,-454.14,0.58,0.00,0.00
608.92000,-454.22,0.58,0.00,0.00
608.94000,-454.30,0.58,0.00,0.00
608.96000,-454.37,0.58,0.00,0.00
608.98000,-454.45,0.58,0.00,0.00
609.00000,-454.53,0.58,0.00,0.00
609.02000,-454.60,0.58,0.00,0.00
609.04000,-454.68,0.58,0.00,0.00
609.06000,-454.76,0.58,0.00,0.00
609.08000,-454.83,0.58,0.00,0.00
609.10000,-454.91,0.58,0.00,0.00
609.12000,-454.99,0.58,0.00,0.00
609.14000,-455.07,0.58,0.00,0.00
609.16000,-455.14,0.58,0.00,0.00
609.18000,-455.22,0.58,0.00,0.00
609.20000,-455.30,0.58,0.00,0.00
609.22000,-455.38,0.58,0.00,0.00
609.24000,-455.45,0.58,0.00,0.00
609.26000,-455.53,0.58,0.00,0.00
609.28000,-455.61,0.58,0.00,0.00
609.30000,-455.68,0.58,0.00,0.00
609.32000,-455.76,0.58,0.00,0.00
609.34000,-455.84,0.58,0.00,0.00
609.36000,-455.92,0.58,0.00,0.00
609.38000,-455.99,0.58,0.00,0.00
609.40000,-456.07,0.58,0.00,0.00
609.42000,-456.15,0.58,0.00,0.00
609.44000,-456.23,0.58,0.00,0.00
609.46000,-456.30,0.58,0.00,0.00
609.48000,-456.38,0.58,0.00,0.00
609.50000,-456.46,0.58,0.00,0.00
609.52000,-456.54,0.58,0.00,0.00
609.54000,-456.61,0.58,0.00,0.00
609.56000,-456.69,0.58,0.00,0.00
609.58000,-456.77,0.58,0.00,0.00
609.60000,-456.85,0.58,0.00,0.00
609.62000,-456.93,0.58,0.00,0.00
609.64000,-457.00,0.58,0.00,0.00
609.66000,-457.08,0.58,0.00,0.00
609.68000,-457.16,0.58,0.00,0.00
609.70000,-457.24,0.58,0.00,0.00
609.72000,-457.31,0.58,0.00,0.00
609.74000,-457.39,0.58,0.00,0.00
609.76000,-457.47,0.58,0.00,0.00
609.78000,-457.55,0.59,0.00,0.00
609.80000,-457.62,0.59,0.00,0.00
609.82000,-457.70,0.59,0.00,0.00
609.84000,-457.78,0.59,0.00,0.00
609.86000,-457.86,0.59,0.00,0.00
609.88000,-457.94,0.59,0.00,0.00
609.90000,-458.01,0.59,0.00,0.00
609.92000,-458.09,0.59,0.00,0.00
609.94000,-458.17,0.59,0.00,0.00
609.96000,-458.25,0.59,0.00,0.00
609.98000,-458.33,0.59,0.00,0.00
610.00000,-458.40,0.59,0.00,0.00
610.02000,-458.48,0.59,0.00,0.00
610.04000,-458.56,0.59,0.00,0.00
610.06000,-458.64,0.59,0.00,0.00
610.08000,-458.72,0.59,0.00,0.00
610.10000,-458.79,0.59,0.00,0.00
610.12000,-458.87,0.59,0.00,0.00
610.14000,-458.95,0.59,0.00,0.00
610.16000,-459.03,0.59,0.00,0.00
610.18000,-459.11,0.59,0.00,0.00
610.20000,-459.19,0.59,0.00,0.00
610.22000,-459.26,0.59,0.00,0.00
610.24000,-459.34,0.59,0.00,0.00
610.26000,-459.42,0.59,0.00,0.00
610.28000,-459.50,0.59,0.00,0.00
610.30000,-459.58,0.59,0.00,0.00
610.32000,-459.65,0.59,0.00,0.00
610.34000,-459.73,0.59,0.00,0.00
610.36000,-459.81,0.59,0.00,0.00
610.38000,-459.89,0.59,0.00,0.00
610.40000,-459.97,0.59,0.00,0.00
610.42000,-460.05,0.59,0.00,0.00
610.44000,-460.12,0.59,0.00,0.00
610.46000,-460.20,0.59,0.00,0.00
610.48000,-460.28,0.59,0.00,0.00
610.50000,-460.36,0.59,0.00,0.00
610.52000,-460.44,0.59,0.00,0.00
610.54000,-460.52,0.59,0.00,0.00
610.56000,-460.60,0.59,0.00,0.00
610.58000,-460.67,0.59,0.00,0.00
610.60000,-460.75,0.59,0.00,0.00
610.62000,-460.83,0.59,0.00,0.00
610.64000,-460.91,0.59,0.00,0.00
610.66000,-460.99,0.59,0.00,0.00
610.68000,-461.07,0.59,0.00,0.00
610.70000,-461.15,0.59,0.00,0.00
610.72000,-461.22,0.59,0.00,0.00
610.74000,-461.30,0.59,0.00,0.00
610.76000,-461.38,0.59,0.00,0.00
610.78000,-461.46,0.59,0.00,0.00
610.80000,-461.54,0.59,0.00,0.00
610.82000,-461.62,0.59,0.00,0.00
610.84000,-461.70,0.59,0.00,0.00
610.86000,-461.78,0.59,0.00,0.00
610.88000,-461.85,0.59,0.00,0.00
610.90000,-461.93,0.59,0.00,0.00
610.92000,-462.01,0.59,0.00,0.00
610.94000,-462.09,0.59,0.00,0.00
610.96000,-462.17,0.59,0.00,0.00
610.98000,-462.25,0.59,0.00,0.00
611.00000,-462.33,0.59,0.00,0.00
611.02000,-462.41,0.59,0.00,0.00
611.04000,-462.49,0.59,0.00,0.00
611.06000,-462.56,0.59,0.00,0.00
611.08000,-462.64,0.59,0.00,0.00
611.10000,-462.72,0.59,0.00,0.00
611.12000,-462.80,0.59,0.00,0.00
611.14000,-462.88,0.59,0.00,0.00
611.16000,-462.96,0.59,0.00,0.00
611.18000,-463.04,0.59,0.00,0.00
611.20000,-463.12,0.59,0.00,0.00
611.22000,-463.20,0.59,0.00,0.00
611.24000,-463.28,0.59,0.00,0.00
611.26000,-463.35,0.59,0.00,0.00
611.28000,-463.43,0.59,0.00,0.00
611.30000,-463.51,0.59,0.00,0.00
611.32000,-463.59,0.59,0.00,0.00
611.34000,-463.67,0.59,0.00,0.00
611.36000,-463.75,0.59,0.00,0.00
611.38000,-463.83,0.59,0.00,0.00
611.40000,-463.91,0.59,0.00,0.00
611.42000,-463.99,0.59,0.00,0.00
611.44000,-464.07,0.59,0.00,0.00
611.46000,-464.15,0.59,0.00,0.00
611.48000,-464.23,0.59,0.00,0.00
611.50000,-464.31,0.59,0.00,0.00
611.52000,-464.39,0.59,0.00,0.00
611.54000,-464.46,0.59,0.00,0.00
611.56000,-464.54,0.59,0.00,0.00
611.58000,-464.62,0.59,0.00,0.00
611.60000,-464.70,0.59,0.00,0.00
611.62000,-464.78,0.59,0.00,0.00
611.64000,-464.86,0.59,0.00,0.00
611.66000,-464.94,0.59,0.00,0.00
611.68000,-465.02,0.59,0.00,0.00
611.70000,-465.10,0.59,0.00,0.00
611.72000,-465.18,0.59,0.00,0.00
611.74000,-465.26,0.59,0.00,0.00
611.76000,-465.34,0.59,0.00,0.00
611.78000,-465.42,0.59,0.00,0.00
611.80000,-465.50,0.59,0.00,0.00
611.82000,-465.58,0.59,0.00,0.00
611.84000,-465.66,0.59,0.00,0.00
611.86000,-465.74,0.60,0.00,0.00
611.88000,-465.82,0.60,0.00,0.00
611.90000,-465.90,0.60,0.00,0.00
611.92000,-465.98,0.60,0.00,0.00
611.94000,-466.06,0.60,0.00,0.00
611.96000,-466.14,0.60,0.00,0.00
611.98000,-466.22,0.60,0.00,0.00
612.00000,-466.30,0.60,0.00,0.00
612.02000,-466.38,0.60,0.00,0.00
612.04000,-466.46,0.60,0.00,0.00
612.06000,-466.54,0.60,0.00,0.00
612.08000,-466.62,0.60,0.00,0.00
612.10000,-466.70,0.60,0.00,0.00
612.12000,-466.78,0.60,0.00,0.00
612.14000,-466.86,0.60,0.00,0.00
612.16000,-466.94,0.60,0.00,0.00
612.18000,-467.02,0.60,0.00,0.00
612.20000,-467.10,0.60,0.00,0.00
612.22000,-467.18,0.60,0.00,0.00
612.24000,-467.26,0.60,0.00,0.00
612.26000,-467.34,0.60,0.00,0.00
612.28000,-467.42,0.60,0.00,0.00
612.30000,-467.50,0.60,0.00,0.00
612.32000,-467.58,0.60,0.00,0.00
612.34000,-467.66,0.60,0.00,0.00
612.36000,-467.74,0.60,0.00,0.00
612.38000,-467.82,0.60,0.00,0.00
612.40000,-467.90,0.60,0.00,0.00
612.42000,-467.98,0.60,0.00,0.00
612.44000,-468.06,0.60,0.00,0.00
612.46000,-468.14,0.60,0.00,0.00
612.48000,-468.22,0.60,0.00,0.00
612.50000,-468.30,0.60,0.00,0.00
612.52000,-468.38,0.60,0.00,0.00
612.54000,-468.46,0.60,0.00,0.00
612.56000,-468.54,0.60,0.00,0.00
612.58000,-468.62,0.60,0.00,0.00
612.60000,-468.70,0.60,0.00,0.00
