Rb1,5p1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
600.00000,-114.13,12.77,0.00,0.00
600.02000,-114.35,12.77,0.00,0.00
600.04000,-114.57,12.77,0.00,0.00
600.06000,-114.80,12.78,0.00,0.00
600.08000,-115.02,12.78,0.00,0.00
600.10000,-115.25,12.79,0.00,0.00
600.12000,-115.47,12.79,0.00,0.00
600.14000,-115.70,12.79,0.00,0.00
600.16000,-115.93,12.80,0.00,0.00
600.18000,-116.15,12.80,0.00,0.00
600.20000,-116.38,12.80,0.00,0.00
600.22000,-116.61,12.81,0.00,0.00
600.24000,-116.85,12.81,0.00,0.00
600.26000,-117.08,12.82,0.00,0.00
600.28000,-117.31,12.82,0.00,0.00
600.30000,-117.54,12.82,0.00,0.00
600.32000,-117.78,12.83,0.00,0.00
600.34000,-118.01,12.83,0.00,0.00
600.36000,-118.25,12.83,0.00,0.00
600.38000,-118.49,12.84,0.00,0.00
600.40000,-118.73,12.84,0.00,0.00
600.42000,-118.97,12.84,0.00,0.00
600.44000,-119.21,12.85,0.00,0.00
600.46000,-119.45,12.85,0.00,0.00
600.48000,-119.69,12.86,0.00,0.00
600.50000,-119.94,12.86,0.00,0.00
600.52000,-120.18,12.86,0.00,0.00
600.54000,-120.43,12.87,0.00,0.00
600.56000,-120.67,12.87,0.00,0.00
600.58000,-120.92,12.88,0.00,0.00
600.60000,-121.17,12.88,0.00,0.00
600.62000,-121.42,12.88,0.00,0.00
600.64000,-121.67,12.89,0.00,0.00
600.66000,-121.92,12.89,0.00,0.00
600.68000,-122.18,12.89,0.00,0.00
600.70000,-122.43,12.90,0.00,0.00
600.72000,-122.69,12.90,0.00,0.00
600.74000,-122.94,12.91,0.00,0.00
600.76000,-123.20,12.91,0.00,0.00
600.78000,-123.46,12.91,0.00,0.00
600.80000,-123.72,12.92,0.00,0.00
600.82000,-123.98,12.92,0.00,0.00
600.84000,-124.24,12.92,0.00,0.00
600.86000,-124.51,12.93,0.00,0.00
600.88000,-124.77,12.93,0.00,0.00
600.90000,-125.04,12.94,0.00,0.00
600.92000,-125.30,12.94,0.00,0.00
600.94000,-125.57,12.94,0.00,0.00
600.96000,-125.84,12.95,0.00,0.00
600.98000,-126.11,12.95,0.00,0.00
601.00000,-126.38,12.96,0.00,0.00
601.02000,-126.66,12.96,0.00,0.00
601.04000,-126.93,12.96,0.00,0.00
601.06000,-127.21,12.97,0.00,0.00
601.08000,-127.49,12.97,0.00,0.00
601.10000,-127.76,12.98,0.00,0.00
601.12000,-128.04,12.98,0.00,0.00
601.14000,-128.32,12.98,0.00,0.00
601.16000,-128.61,12.99,0.00,0.00
601.18000,-128.89,12.99,0.00,0.00
601.20000,-129.18,13.00,0.00,0.00
601.22000,-129.46,13.00,0.00,0.00
601.24000,-129.75,13.00,0.00,0.00
601.26000,-130.04,13.01,0.00,0.00
601.28000,-130.33,13.01,0.00,0.00
601.30000,-130.62,13.02,0.00,0.00
601.32000,-130.92,13.02,0.00,0.00
601.34000,-131.21,13.02,0.00,0.00
601.36000,-131.51,13.03,0.00,0.00
601.38000,-131.81,13.03,0.00,0.00
601.40000,-132.11,13.04,0.00,0.00
601.42000,-132.41,13.04,0.00,0.00
601.44000,-132.71,13.04,0.00,0.00
601.46000,-133.02,13.05,0.00,0.00
601.48000,-133.32,13.05,0.00,0.00
601.50000,-133.63,13.06,0.00,0.00
601.52000,-133.94,13.06,0.00,0.00
601.54000,-134.25,13.06,0.00,0.00
601.56000,-134.56,13.07,0.00,0.00
601.58000,-134.87,13.07,0.00,0.00
601.60000,-135.19,13.08,0.00,0.00
601.62000,-135.51,13.08,0.00,0.00
601.64000,-135.83,13.09,0.00,0.00
601.66000,-136.15,13.09,0.00,0.00
601.68000,-136.47,13.09,0.00,0.00
601.70000,-136.79,13.10,0.00,0.00
601.72000,-137.12,13.10,0.00,0.00
601.74000,-137.45,13.11,0.00,0.00
601.76000,-137.78,13.11,0.00,0.00
601.78000,-138.11,13.11,0.00,0.00
601.80000,-138.44,13.12,0.00,0.00
601.82000,-138.78,13.12,0.00,0.00
601.84000,-139.11,13.13,0.00,0.00
601.86000,-139.45,13.13,0.00,0.00
