Rb1,5p1/2,,,
601.88000,-139.79,13.14,0.00,0.00
601.90000,-140.13,13.14,0.00,0.00
601.92000,-140.48,13.14,0.00,0.00
601.94000,-140.83,13.15,0.00,0.00
601.96000,-141.17,13.15,0.00,0.00
601.98000,-141.53,13.16,0.00,0.00
602.00000,-141.88,13.16,0.00,0.00
602.02000,-142.23,13.17,0.00,0.00
602.04000,-142.59,13.17,0.00,0.00
602.06000,-142.95,13.17,0.00,0.00
602.08000,-143.31,13.18,0.00,0.00
602.10000,-143.67,13.18,0.00,0.00
602.12000,-144.04,13.19,0.00,0.00
602.14000,-144.41,13.19,0.00,0.00
602.16000,-144.78,13.20,0.00,0.00
602.18000,-145.15,13.20,0.00,0.00
602.20000,-145.52,13.20,0.00,0.00
602.22000,-145.90,13.21,0.00,0.00
602.24000,-146.28,13.21,0.00,0.00
602.26000,-146.66,13.22,0.00,0.00
602.28000,-147.04,13.22,0.00,0.00
602.30000,-147.43,13.23,0.00,0.00
602.32000,-147.82,13.23,0.00,0.00
602.34000,-148.21,13.24,0.00,0.00
602.36000,-148.60,13.24,0.00,0.00
602.38000,-149.00,13.24,0.00,0.00
602.40000,-149.40,13.25,0.00,0.00
602.42000,-149.80,13.25,0.00,0.00
602.44000,-150.20,13.26,0.00,0.00
602.46000,-150.61,13.26,0.00,0.00
602.48000,-151.02,13.27,0.00,0.00
602.50000,-151.43,13.27,0.00,0.00
602.52000,-151.84,13.28,0.00,0.00
602.54000,-152.26,13.28,0.00,0.00
602.56000,-152.68,13.29,0.00,0.00
602.58000,-153.10,13.29,0.00,0.00
602.60000,-153.53,13.29,0.00,0.00
602.62000,-153.96,13.30,0.00,0.00
602.64000,-154.39,13.30,0.00,0.00
602.66000,-154.82,13.31,0.00,0.00
602.68000,-155.26,13.31,0.00,0.00
602.70000,-155.70,13.32,0.00,0.00
602.72000,-156.15,13.32,0.00,0.00
602.74000,-156.59,13.33,0.00,0.00
602.76000,-157.04,13.33,0.00,0.00
602.78000,-157.50,13.34,0.00,0.00
602.80000,-157.96,13.34,0.00,0.00
602.82000,-158.42,13.35,0.00,0.00
602.84000,-158.88,13.35,0.00,0.00
602.86000,-159.35,13.36,0.00,0.00
602.88000,-159.82,13.36,0.00,0.00
602.90000,-160.29,13.37,0.00,0.00
602.92000,-160.77,13.37,0.00,0.00
602.94000,-161.25,13.37,0.00,0.00
602.96000,-161.73,13.38,0.00,0.00
602.98000,-162.22,13.38,0.00,0.00
603.00000,-162.71,13.39,0.00,0.00
603.02000,-163.21,13.39,0.00,0.00
603.04000,-163.71,13.40,0.00,0.00
603.06000,-164.21,13.40,0.00,0.00
603.08000,-164.72,13.41,0.00,0.00
603.10000,-165.23,13.41,0.00,0.00
603.12000,-165.74,13.42,0.00,0.00
603.14000,-166.26,13.42,0.00,0.00
603.16000,-166.79,13.43,0.00,0.00
603.18000,-167.32,13.43,0.00,0.00
603.20000,-167.85,13.44,0.00,0.00
603.22000,-168.38,13.44,0.00,0.00
603.24000,-168.92,13.45,0.00,0.00
603.26000,-169.47,13.45,0.00,0.00
603.28000,-170.02,13.46,0.00,0.00
603.30000,-170.57,13.46,0.00,0.00
603.32000,-171.13,13.47,0.00,0.00
603.34000,-171.70,13.47,0.00,0.00
603.36000,-172.27,13.48,0.00,0.00
603.38000,-172.84,13.48,0.00,0.00
603.40000,-173.42,13.49,0.00,0.00
603.42000,-174.00,13.49,0.00,0.00
603.44000,-174.59,13.50,0.00,0.00
603.46000,-175.18,13.50,0.00,0.00
603.48000,-175.78,13.51,0.00,0.00
603.50000,-176.39,13.52,0.00,0.00
603.52000,-177.00,13.52,0.00,0.00
603.54000,-177.61,13.53,0.00,0.00
603.56000,-178.23,13.53,0.00,0.00
603.58000,-178.86,13.54,0.00,0.00
603.60000,-179.49,13.54,0.00,0.00
603.62000,-180.13,13.55,0.00,0.00
603.64000,-180.77,13.55,0.00,0.00
603.66000,-181.42,13.56,0.00,0.00
603.68000,-182.08,13.56,0.00,0.00
603.70000,-182.74,13.57,0.00,0.00
603.72000,-183.41,13.57,0.00,0.00
603.74000,-184.09,13.58,0.00,0.00
603.76000,-184.77,13.58,0.00,0.00
603.78000,-185.46,13.59,0.00,0.00
603.80000,-186.15,13.60,0.00,0.00
603.82000,-186.86,13.60,0.00,0.00
603.84000,-187.56,13.61,0.00,0.00
603.86000,-188.28,13.61,0.00,0.00
603.88000,-189.00,13.62,0.00,0.00
603.90000,-189.74,13.62,0.00,0.00
603.92000,-190.48,13.63,0.00,0.00
603.94000,-191.22,13.63,0.00,0.00
603.96000,-191.98,13.64,0.00,0.00
603.98000,-192.74,13.65,0.00,0.00
604.00000,-193.51,13.65,0.00,0.00
604.02000,-194.29,13.66,0.00,0.00
604.04000,-195.07,13.66,0.00,0.00
604.06000,-195.87,13.67,0.00,0.00
604.08000,-196.67,13.68,0.00,0.00
604.10000,-197.49,13.68,0.00,0.00
604.12000,-198.31,13.69,0.00,0.00
604.14000,-199.14,13.69,0.00,0.00
604.16000,-199.98,13.70,0.00,0.00
604.18000,-200.83,13.70,0.00,0.00
604.20000,-201.69,13.71,0.00,0.00
604.22000,-202.56,13.72,0.00,0.00
604.24000,-203.44,13.72,0.00,0.00
604.26000,-204.33,13.73,0.00,0.00
604.28000,-205.23,13.74,0.00,0.00
604.30000,-206.14,13.74,0.00,0.00
604.32000,-207.07,13.75,0.00,0.00
604.34000,-208.00,13.75,0.00,0.00
604.36000,-208.94,13.76,0.00,0.00
604.38000,-209.90,13.77,0.00,0.00
604.40000,-210.87,13.77,0.00,0.00
604.42000,-211.85,13.78,0.00,0.00
604.44000,-212.84,13.79,0.00,0.00
604.46000,-213.85,13.79,0.00,0.00
604.48000,-214.87,13.80,0.00,0.00
604.50000,-215.90,13.80,0.00,0.00
604.52000,-216.94,13.81,0.00,0.00
604.54000,-218.00,13.82,0.00,0.00
604.56000,-219.08,13.82,0.00,0.00
604.58000,-220.16,13.83,0.00,0.00
604.60000,-221.27,13.84,0.00,0.00
604.62000,-222.38,13.84,0.00,0.00
604.64000,-223.52,13.85,0.00,0.00
604.66000,-224.66,13.86,0.00,0.00
604.68000,-225.83,13.86,0.00,0.00
604.70000,-227.01,13.87,0.00,0.00
604.72000,-228.21,13.88,0.00,0.00
604.74000,-229.42,13.89,0.00,0.00
604.76000,-230.65,13.89,0.00,0.00
604.78000,-231.91,13.90,0.00,0.00
604.80000,-233.17,13.91,0.00,0.00
604.82000,-234.46,13.91,0.00,0.00
604.84000,-235.77,13.92,0.00,0.00
604.86000,-237.10,13.93,0.00,0.00
604.88000,-238.45,13.94,0.00,0.00
604.90000,-239.81,13.94,0.00,0.00
604.92000,-241.20,13.95,0.00,0.00
604.94000,-242.62,13.96,0.00,0.00
604.96000,-244.05,13.97,0.00,0.00
604.98000,-245.51,13.97,0.00,0.00
605.00000,-246.99,13.98,0.00,0.00
605.02000,-248.50,13.99,0.00,0.00
605.04000,-250.03,14.00,0.00,0.00
605.06000,-251.59,14.01,0.00,0.00
605.08000,-253.17,14.01,0.00,0.00
605.10000,-254.78,14.02,0.00,0.00
605.12000,-256.42,14.03,0.00,0.00
605.14000,-258.09,14.04,0.00,0.00
605.16000,-259.79,14.05,0.00,0.00
605.18000,-261.51,14.06,0.00,0.00
605.20000,-263.27,14.06,0.00,0.00
605.22000,-265.06,14.07,0.00,0.00
605.24000,-266.89,14.08,0.00,0.00
605.26000,-268.75,14.09,0.00,0.00
605.28000,-270.64,14.10,0.00,0.00
605.30000,-272.57,14.11,0.00,0.00
605.32000,-274.54,14.12,0.00,0.00
605.34000,-276.54,14.13,0.00,0.00
605.36000,-278.59,14.14,0.00,0.00
605.38000,-280.68,14.15,0.00,0.00
605.40000,-282.81,14.16,0.00,0.00
605.42000,-284.98,14.17,0.00,0.00
605.44000,-287.20,14.18,0.00,0.00
605.46000,-289.46,14.19,0.00,0.00
605.48000,-291.78,14.20,0.00,0.00
605.50000,-294.14,14.21,0.00,0.00
605.52000,-296.56,14.22,0.00,0.00
605.54000,-299.02,14.23,0.00,0.00
605.56000,-301.55,14.24,0.00,0.00
605.58000,-304.13,14.25,0.00,0.00
605.60000,-306.77,14.26,0.00,0.00
605.62000,-309.48,14.28,0.00,0.00
605.64000,-312.24,14.29,0.00,0.00
605.66000,-315.08,14.30,0.00,0.00
605.68000,-317.98,14.31,0.00,0.00
605.70000,-320.95,14.32,0.00,0.00
605.72000,-324.00,14.34,0.00,0.00
605.74000,-327.13,14.35,0.00,0.00
605.76000,-330.33,14.36,0.00,0.00
605.78000,-333.63,14.38,0.00,0.00
605.80000,-337.00,14.39,0.00,0.00
605.82000,-340.47,14.41,0.00,0.00
605.84000,-344.03,14.42,0.00,0.00
605.86000,-347.70,14.44,0.00,0.00
605.88000,-351.46,14.45,0.00,0.00
605.90000,-355.34,14.47,0.00,0.00
605.92000,-359.32,14.49,0.00,0.00
605.94000,-363.43,14.50,0.00,0.00
605.96000,-367.65,14.52,0.00,0.00
605.98000,-372.01,14.54,0.00,0.00
606.00000,-376.50,14.56,0.00,0.00
606.02000,-381.14,14.58,0.00,0.00
606.04000,-385.92,14.60,0.00,0.00
606.06000,-390.86,14.62,0.00,0.00
606.08000,-395.97,14.64,0.00,0.00
606.10000,-401.24,14.66,0.00,0.00
606.12000,-406.70,14.68,0.00,0.00
606.14000,-412.36,14.71,0.00,0.00
606.16000,-418.22,14.73,0.00,0.00
606.18000,-424.29,14.76,0.00,0.00
606.20000,-430.58,14.79,0.00,0.00
606.22000,-437.12,14.81,0.00,0.00
606.24000,-443.92,14.84,0.00,0.00
606.26000,-450.98,14.87,0.00,0.00
606.28000,-458.33,14.91,0.00,0.00
606.30000,-465.99,14.94,0.00,0.00
606.32000,-473.97,14.98,0.00,0.00
606.34000,-482.29,15.01,0.00,0.00
606.36000,-490.99,15.05,0.00,0.00
606.38000,-500.08,15.10,0.00,0.00
606.40000,-509.60,15.14,0.00,0.00
606.42000,-519.57,15.19,0.00,0.00
606.44000,-530.03,15.24,0.00,0.00
606.46000,-541.02,15.29,0.00,0.00
606.48000,-552.57,15.35,0.00,0.00
606.50000,-564.74,15.41,0.00,0.00
606.52000,-577.57,15.47,0.00,0.00
606.54000,-591.12,15.54,0.00,0.00
606.56000,-605.46,15.62,0.00,0.00
606.58000,-620.65,15.70,0.00,0.00
606.60000,-636.77,15.79,0.00,0.00
606.62000,-653.92,15.88,0.00,0.00
606.64000,-672.19,15.98,0.00,0.00
606.66000,-691.71,16.10,0.00,0.00
606.68000,-712.60,16.22,0.00,0.00
606.70000,-735.02,16.36,0.00,0.00
606.72000,-759.14,16.51,0.00,0.00
606.74000,-785.16,16.67,0.00,0.00
606.76000,-813.32,16.86,0.00,0.00
606.76200,-816.27,16.88,0.00,0.00
606.76400,-819.24,16.89,0.00,0.00
606.76600,-822.23,16.91,0.00,0.00
606.76800,-825.25,16.94,0.00,0.00
606.77000,-828.29,16.96,0.00,0.00
606.77200,-831.36,16.98,0.00,0.00
606.77400,-834.46,17.00,0.00,0.00
606.77600,-837.58,17.02,0.00,0.00
606.77800,-840.73,17.04,0.00,0.00
606.78000,-843.90,17.06,0.00,0.00
606.78200,-847.11,17.08,0.00,0.00
606.78400,-850.34,17.10,0.00,0.00
606.78600,-853.60,17.13,0.00,0.00
606.78800,-856.88,17.15,0.00,0.00
606.79000,-860.20,17.17,0.00,0.00
606.79200,-863.55,17.20,0.00,0.00
606.79400,-866.92,17.22,0.00,0.00
606.79600,-870.33,17.24,0.00,0.00
606.79800,-873.76,17.27,0.00,0.00
606.80000,-877.23,17.29,0.00,0.00
606.80200,-880.73,17.31,0.00,0.00
606.80400,-884.26,17.34,0.00,0.00
606.80600,-887.82,17.36,0.00,0.00
606.80800,-891.41,17.39,0.00,0.00
606.81000,-895.04,17.42,0.00,0.00
606.81200,-898.70,17.44,0.00,0.00
606.81400,-902.39,17.47,0.00,0.00
606.81600,-906.12,17.49,0.00,0.00
606.81800,-909.89,17.52,0.00,0.00
606.82000,-913.69,17.55,0.00,0.00
606.82200,-917.52,17.58,0.00,0.00
606.82400,-921.39,17.60,0.00,0.00
606.82600,-925.30,17.63,0.00,0.00
606.82800,-929.25,17.66,0.00,0.00
606.83000,-933.23,17.69,0.00,0.00
606.83200,-937.26,17.72,0.00,0.00
606.83400,-941.32,17.75,0.00,0.00
606.83600,-945.42,17.78,0.00,0.00
606.83800,-949.56,17.81,0.00,0.00
606.84000,-953.74,17.84,0.00,0.00
606.84200,-957.97,17.87,0.00,0.00
606.84400,-962.23,17.90,0.00,0.00
606.84600,-966.54,17.94,0.00,0.00
606.84800,-970.90,17.97,0.00,0.00
606.85000,-975.29,18.00,0.00,0.00
606.85200,-979.74,18.03,0.00,0.00
606.85400,-984.22,18.07,0.00,0.00
606.85600,-988.76,18.10,0.00,0.00
606.85800,-993.34,18.14,0.00,0.00
606.86000,-997.96,18.17,0.00,0.00
606.86200,-1002.64,18.21,0.00,0.00
606.86400,-1007.37,18.24,0.00,0.00
606.86600,-1012.14,18.28,0.00,0.00
606.86800,-1016.97,18.32,0.00,0.00
606.87000,-1021.85,18.36,0.00,0.00
606.87200,-1026.78,18.39,0.00,0.00
606.87400,-1031.76,18.43,0.00,0.00
606.87600,-1036.80,18.47,0.00,0.00
606.87800,-1041.89,18.51,0.00,0.00
606.88000,-1047.04,18.55,0.00,0.00
606.88200,-1052.24,18.59,0.00,0.00
606.88400,-1057.50,18.64,0.00,0.00
606.88600,-1062.83,18.68,0.00,0.00
606.88800,-1068.21,18.72,0.00,0.00
606.89000,-1073.65,18.76,0.00,0.00
606.89200,-1079.15,18.81,0.00,0.00
606.89400,-1084.72,18.85,0.00,0.00
606.89600,-1090.35,18.90,0.00,0.00
606.89800,-1096.04,18.94,0.00,0.00
606.90000,-1101.81,18.99,0.00,0.00
606.90200,-1107.64,19.04,0.00,0.00
606.90400,-1113.53,19.09,0.00,0.00
606.90600,-1119.50,19.13,0.00,0.00
606.90800,-1125.54,19.18,0.00,0.00
606.91000,-1131.65,19.23,0.00,0.00
606.91200,-1137.83,19.29,0.00,0.00
606.91400,-1144.09,19.34,0.00,0.00
606.91600,-1150.43,19.39,0.00,0.00
606.91800,-1156.84,19.44,0.00,0.00
606.92000,-1163.33,19.50,0.00,0.00
606.92200,-1169.91,19.55,0.00,0.00
606.92400,-1176.56,19.61,0.00,0.00
606.92600,-1183.30,19.67,0.00,0.00
606.92800,-1190.12,19.72,0.00,0.00
606.93000,-1197.04,19.78,0.00,0.00
606.93200,-1204.03,19.84,0.00,0.00
606.93400,-1211.12,19.90,0.00,0.00
606.93600,-1218.31,19.97,0.00,0.00
606.93800,-1225.58,20.03,0.00,0.00
606.94000,-1232.95,20.09,0.00,0.00
606.94200,-1240.42,20.16,0.00,0.00
606.94400,-1247.99,20.22,0.00,0.00
606.94600,-1255.66,20.29,0.00,0.00
606.94800,-1263.44,20.36,0.00,0.00
606.95000,-1271.32,20.43,0.00,0.00
606.95200,-1279.30,20.50,0.00,0.00
606.95400,-1287.40,20.57,0.00,0.00
606.95600,-1295.61,20.64,0.00,0.00
606.95800,-1303.94,20.72,0.00,0.00
606.96000,-1312.38,20.79,0.00,0.00
606.96200,-1320.94,20.87,0.00,0.00
606.96400,-1329.63,20.95,0.00,0.00
606.96600,-1338.44,21.03,0.00,0.00
606.96800,-1347.38,21.11,0.00,0.00
606.97000,-1356.45,21.19,0.00,0.00
606.97200,-1365.65,21.27,0.00,0.00
606.97400,-1374.99,21.36,0.00,0.00
606.97600,-1384.47,21.45,0.00,0.00
606.97800,-1394.09,21.53,0.00,0.00
606.98000,-1403.85,21.62,0.00,0.00
606.98200,-1413.77,21.72,0.00,0.00
606.98400,-1423.84,21.81,0.00,0.00
606.98600,-1434.06,21.90,0.00,0.00
606.98800,-1444.45,22.00,0.00,0.00
606.99000,-1455.00,22.10,0.00,0.00
606.99200,-1465.71,22.20,0.00,0.00
606.99400,-1476.60,22.30,0.00,0.00
606.99600,-1487.67,22.41,0.00,0.00
606.99800,-1498.91,22.52,0.00,0.00
607.00000,-1510.34,22.63,0.00,0.00
607.00200,-1521.96,22.74,0.00,0.00
607.00400,-1533.77,22.85,0.00,0.00
607.00600,-1545.78,22.97,0.00,0.00
607.00800,-1558.00,23.08,0.00,0.00
607.01000,-1570.42,23.20,0.00,0.00
607.01200,-1583.06,23.33,0.00,0.00
607.01400,-1595.92,23.45,0.00,0.00
607.01600,-1609.00,23.58,0.00,0.00
607.01800,-1622.32,23.71,0.00,0.00
607.02000,-1635.88,23.85,0.00,0.00
607.02200,-1649.68,23.98,0.00,0.00
607.02400,-1663.73,24.12,0.00,0.00
607.02600,-1678.04,24.26,0.00,0.00
607.02800,-1692.61,24.41,0.00,0.00
607.03000,-1707.46,24.56,0.00,0.00
607.03200,-1722.59,24.71,0.00,0.00
607.03400,-1738.01,24.87,0.00,0.00
607.03600,-1753.73,25.03,0.00,0.00
607.03800,-1769.75,25.19,0.00,0.00
607.04000,-1786.09,25.35,0.00,0.00
607.04200,-1802.75,25.52,0.00,0.00
607.04400,-1819.74,25.70,0.00,0.00
607.04600,-1837.08,25.88,0.00,0.00
607.04800,-1854.78,26.06,0.00,0.00
607.05000,-1872.84,26.25,0.00,0.00
607.05200,-1891.28,26.44,0.00,0.00
607.05400,-1910.10,26.63,0.00,0.00
607.05600,-1929.33,26.83,0.00,0.00
607.05800,-1948.98,27.04,0.00,0.00
607.06000,-1969.05,27.25,0.00,0.00
607.06200,-1989.57,27.47,0.00,0.00
607.06400,-2010.54,27.69,0.00,0.00
607.06600,-2031.99,27.92,0.00,0.00
607.06800,-2053.92,28.15,0.00,0.00
607.07000,-2076.36,28.39,0.00,0.00
607.07200,-2099.33,28.63,0.00,0.00
607.07400,-2122.83,28.89,0.00,0.00
607.07600,-2146.90,29.14,0.00,0.00
607.07800,-2171.55,29.41,0.00,0.00
607.08000,-2196.81,29.68,0.00,0.00
607.08200,-2222.69,29.96,0.00,0.00
607.08400,-2249.22,30.25,0.00,0.00
607.08600,-2276.43,30.55,0.00,0.00
607.08800,-2304.33,30.86,0.00,0.00
607.09000,-2332.97,31.17,0.00,0.00
607.09200,-2362.36,31.49,0.00,0.00
607.09400,-2392.54,31.83,0.00,0.00
607.09600,-2423.54,32.17,0.00,0.00
607.09800,-2455.39,32.52,0.00,0.00
607.10000,-2488.13,32.89,0.00,0.00
607.10200,-2521.80,33.26,0.00,0.00
607.10400,-2556.43,33.65,0.00,0.00
607.10600,-2592.07,34.05,0.00,0.00
607.10800,-2628.77,34.46,0.00,0.00
607.11000,-2666.57,34.89,0.00,0.00
607.11200,-2705.52,35.33,0.00,0.00
607.11400,-2745.67,35.78,0.00,0.00
607.11600,-2787.09,36.26,0.00,0.00
607.11800,-2829.83,36.74,0.00,0.00
607.12000,-2873.96,37.25,0.00,0.00
607.12200,-2919.54,37.77,0.00,0.00
607.12400,-2966.65,38.31,0.00,0.00
607.12600,-3015.37,38.87,0.00,0.00
607.12800,-3065.77,39.45,0.00,0.00
607.13000,-3117.96,40.05,0.00,0.00
607.13200,-3172.03,40.68,0.00,0.00
607.13400,-3228.07,41.33,0.00,0.00
607.13600,-3286.20,42.01,0.00,0.00
607.13800,-3346.55,42.71,0.00,0.00
607.14000,-3409.23,43.44,0.00,0.00
607.14200,-3474.39,44.21,0.00,0.00
607.14400,-3542.17,45.00,0.00,0.00
607.14600,-3612.74,45.83,0.00,0.00
607.14800,-3686.27,46.70,0.00,0.00
607.15000,-3762.96,47.61,0.00,0.00
607.15200,-3843.02,48.55,0.00,0.00
607.15400,-3926.66,49.55,0.00,0.00
607.15600,-4014.13,50.58,0.00,0.00
607.15800,-4105.71,51.68,0.00,0.00
607.16000,-4201.69,52.82,0.00,0.00
607.16200,-4302.40,54.02,0.00,0.00
607.16400,-4408.19,55.29,0.00,0.00
607.16600,-4519.45,56.62,0.00,0.00
607.16800,-4636.64,58.03,0.00,0.00
607.17000,-4760.22,59.52,0.00,0.00
607.17200,-4890.75,61.09,0.00,0.00
607.17400,-5028.82,62.76,0.00,0.00
607.17600,-5175.10,64.53,0.00,0.00
607.17800,-5330.35,66.41,0.00,0.00
607.18000,-5495.42,68.41,0.00,0.00
607.18200,-5671.28,70.54,0.00,0.00
607.18400,-5859.01,72.83,0.00,0.00
607.18600,-6059.87,75.27,0.00,0.00
607.18800,-6275.27,77.90,0.00,0.00
607.19000,-6506.86,80.72,0.00,0.00
607.19200,-6756.54,83.78,0.00,0.00
607.19400,-7026.50,87.08,0.00,0.00
607.19600,-7319.33,90.67,0.00,0.00
607.19800,-7638.06,94.58,0.00,0.00
607.20000,-7986.29,98.85,0.00,0.00
607.20200,-8368.30,103.55,0.00,0.00
607.20400,-8789.28,108.72,0.00,0.00
607.20600,-9255.49,114.46,0.00,0.00
607.20800,-9774.65,120.86,0.00,0.00
607.21000,-10356.31,128.04,0.00,0.00
607.21200,-11012.49,136.14,0.00,0.00
607.21400,-11758.49,145.35,0.00,0.00
607.21600,-12614.10,155.93,0.00,0.00
607.21800,-13605.41,168.19,0.00,0.00
607.22000,-14767.48,182.57,0.00,0.00
607.22200,-16148.57,199.67,0.00,0.00
607.22400,-17817.07,220.34,0.00,0.00
607.22600,-19873.11,245.83,0.00,0.00
607.22800,-22469.44,278.02,0.00,0.00
607.23000,-25851.26,319.97,0.00,0.00
607.23200,-30438.56,376.89,0.00,0.00
607.23400,-37015.69,458.52,0.00,0.00
607.23600,-47235.92,585.40,0.00,0.00
607.23800,-65285.59,809.52,0.00,0.00
607.24000,-105747.19,1311.97,0.00,0.00
607.24200,-278713.85,3460.05,0.00,0.00
607.24400,436962.81,5428.23,0.00,0.00
607.24600,122357.03,1521.08,0.00,0.00
607.24800,71098.73,884.54,0.00,0.00
607.25000,50087.70,623.65,0.00,0.00
607.25200,38650.46,481.66,0.00,0.00
607.25400,31457.64,392.38,0.00,0.00
607.25600,26516.35,331.06,0.00,0.00
607.25800,22912.47,286.35,0.00,0.00
607.26000,20167.75,252.31,0.00,0.00
607.26200,18007.68,225.54,0.00,0.00
607.26400,16263.43,203.93,0.00,0.00
607.26600,14825.47,186.12,0.00,0.00
607.26800,13619.64,171.19,0.00,0.00
607.27000,12593.93,158.51,0.00,0.00
607.27200,11710.78,147.59,0.00,0.00
607.27400,10942.40,138.10,0.00,0.00
607.27600,10267.78,129.77,0.00,0.00
607.27800,9670.76,122.40,0.00,0.00
607.28000,9138.66,115.84,0.00,0.00
607.28200,8661.45,109.97,0.00,0.00
607.28400,8231.04,104.67,0.00,0.00
607.28600,7840.88,99.88,0.00,0.00
607.28800,7485.57,95.52,0.00,0.00
607.29000,7160.64,91.53,0.00,0.00
607.29200,6862.35,87.87,0.00,0.00
607.29400,6587.56,84.51,0.00,0.00
607.29600,6333.59,81.41,0.00,0.00
607.29800,6098.17,78.53,0.00,0.00
607.30000,5879.33,75.87,0.00,0.00
607.30200,5675.38,73.38,0.00,0.00
607.30400,5484.86,71.07,0.00,0.00
607.30600,5306.47,68.90,0.00,0.00
607.30800,5139.10,66.87,0.00,0.00
607.31000,4981.75,64.96,0.00,0.00
607.31200,4833.55,63.17,0.00,0.00
607.31400,4693.72,61.49,0.00,0.00
607.31600,4561.58,59.89,0.00,0.00
607.31800,4436.51,58.39,0.00,0.00
607.32000,4317.95,56.96,0.00,0.00
607.32200,4205.41,55.62,0.00,0.00
607.32400,4098.44,54.33,0.00,0.00
607.32600,3996.64,53.12,0.00,0.00
607.32800,3899.64,51.96,0.00,0.00
607.33000,3807.11,50.86,0.00,0.00
