Rb1,5p3/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
602.74000,-58.97,10.39,-66.87,2.98
602.76000,-59.08,10.39,-66.84,2.98
602.78000,-59.19,10.40,-66.81,2.98
602.80000,-59.30,10.40,-66.78,2.98
602.82000,-59.41,10.40,-66.74,2.98
602.84000,-59.52,10.40,-66.71,2.98
602.86000,-59.63,10.41,-66.68,2.98
602.88000,-59.74,10.41,-66.65,2.98
602.90000,-59.85,10.41,-66.62,2.98
602.92000,-59.96,10.41,-66.59,2.98
602.94000,-60.07,10.42,-66.55,2.98
602.96000,-60.18,10.42,-66.52,2.98
602.98000,-60.29,10.42,-66.49,2.98
603.00000,-60.41,10.42,-66.46,2.98
603.02000,-60.52,10.43,-66.43,2.98
603.04000,-60.63,10.43,-66.39,2.98
603.06000,-60.74,10.43,-66.36,2.98
603.08000,-60.85,10.43,-66.33,2.98
603.10000,-60.96,10.44,-66.29,2.98
603.12000,-61.08,10.44,-66.26,2.98
603.14000,-61.19,10.44,-66.23,2.98
603.16000,-61.30,10.44,-66.19,2.98
603.18000,-61.41,10.45,-66.16,2.98
603.20000,-61.53,10.45,-66.13,2.98
603.22000,-61.64,10.45,-66.09,2.98
603.24000,-61.75,10.45,-66.06,2.98
603.26000,-61.87,10.46,-66.03,2.98
603.28000,-61.98,10.46,-65.99,2.98
603.30000,-62.09,10.46,-65.96,2.98
603.32000,-62.21,10.46,-65.92,2.98
603.34000,-62.32,10.47,-65.89,2.98
603.36000,-62.44,10.47,-65.85,2.98
603.38000,-62.55,10.47,-65.82,2.98
603.40000,-62.67,10.47,-65.78,2.98
603.42000,-62.78,10.48,-65.75,2.98
603.44000,-62.90,10.48,-65.71,2.98
603.46000,-63.01,10.48,-65.68,2.98
603.48000,-63.13,10.48,-65.64,2.98
603.50000,-63.24,10.49,-65.61,2.98
603.52000,-63.36,10.49,-65.57,2.98
603.54000,-63.47,10.49,-65.54,2.98
603.56000,-63.59,10.50,-65.50,2.98
603.58000,-63.71,10.50,-65.46,2.98
603.60000,-63.82,10.50,-65.43,2.98
603.62000,-63.94,10.50,-65.39,2.98
603.64000,-64.06,10.51,-65.36,2.98
603.66000,-64.17,10.51,-65.32,2.98
603.68000,-64.29,10.51,-65.28,2.98
603.70000,-64.41,10.51,-65.25,2.98
603.72000,-64.53,10.52,-65.21,2.98
603.74000,-64.64,10.52,-65.17,2.98
603.76000,-64.76,10.52,-65.13,2.98
603.78000,-64.88,10.52,-65.10,2.98
603.80000,-65.00,10.53,-65.06,2.98
603.82000,-65.12,10.53,-65.02,2.98
603.84000,-65.24,10.53,-64.98,2.98
