Cs_n,Rb_n,C6_GHz_um6
50,45,1.0482196104056658
50,46,2.7189498852909795
50,47,44.69944743491609
50,48,80.0310065649495
50,49,11.508625482585384
50,50,28.92010721324983
50,51,3.008626494387531
50,52,10.578028192414354
50,53,4.267633953618068
50,54,2.7570331400219787
50,55,2.0681810166775736
51,46,1.406791207547964
51,47,3.69695028743492
51,48,136.11970632518808
51,49,79.0621649390379
51,50,14.700944632484159
51,51,35.67340153413985
51,52,1.3564759710693548
51,53,14.728148713735886
51,54,5.617233799602261
51,55,3.5953071861365697
51,56,2.683883703315614
52,47,1.8769552914594816
52,48,5.00606750364545
52,49,53.671248198695345
52,50,82.52457556689832
52,51,18.67836475484846
52,52,43.90854416087809
52,53,1.1023546753793512
52,54,20.69254085530681
52,55,7.359053145983162
52,56,4.66550911961345
52,57,3.4646019328872426
53,48,2.4902212167952706
53,49,6.7546050566413545
53,50,34.739311891745004
53,51,88.88190088816968
53,52,23.60975307588212
53,53,53.918993686282604
53,54,4.71822462357057
53,55,29.550693911530225
53,56,9.597947101526868
53,57,6.025775011564332
53,58,4.450945456334028
54,49,3.286199812199734
54,50,9.08695797531369
54,51,26.94034792703676
54,52,97.52352971511854
54,53,29.69462381678493
54,54,66.04533350363675
54,55,9.958351807217392
54,56,43.54755186683778
54,57,12.46414812269041
54,58,7.747372261055539
54,59,5.703575754178082
55,50,4.3144345411084
55,51,12.196783880595778
55,52,21.772940595407178
55,53,108.18086903042904
55,54,37.167722409380374
55,55,80.67846886127569
55,56,17.44462129070251
55,57,68.65395523251544
55,58,16.120228097579044
55,59,9.917014322966264
55,60,7.262469516009913
56,51,5.636690601577198
56,52,16.347618423444533
56,53,17.320763033894544
56,54,120.73010646854974
56,55,46.30391524276991
56,56,98.26307394150501
56,57,27.99711954588706
56,58,130.05932198630964
56,59,20.76680369017481
56,60,12.643342622401448
56,61,9.241083298853738
57,52,7.329676042164361
57,53,21.90191535820796
57,54,12.464469610603441
57,55,135.11604021715138
57,56,57.422703413988415
57,57,119.30225267706277
57,58,42.68748149640456
57,59,161.53539021958048
57,60,26.65037407869071
57,61,16.062949708321632
57,62,11.667340572405884
58,53,9.487894543272382
58,54,29.36902181899097
58,55,6.450904027050602
58,56,151.3190298308744
58,57,70.8936206624842
58,58,144.3633562503515
58,59,62.95022871185414
58,60,33.486535547426136
58,61,34.07301158053795
58,62,20.34931912161935
58,63,14.673127405663193
59,54,12.228845741025843
59,55,39.48642797688248
59,56,1.4263199683831633
59,57,169.3411154452943
59,58,87.14116477358263
59,59,174.0835911408588
59,60,89.3218580564616
59,61,30.503317808500793
59,62,43.421860154046705
59,63,25.62646501328498
59,64,18.38321964104921
60,55,15.69618244972268
60,56,53.369552821341124
60,57,11.928795045456503
60,58,189.1964252466542
60,59,106.64962871365393
60,60,209.17338672972062
60,61,125.53363431595577
60,62,74.6451376043164
60,63,55.15392894150081
60,64,32.14890807197812
60,65,22.945249432184983
61,56,20.065353839950593
61,57,72.82566327837903
61,58,25.917884961563416
61,59,210.90545183365964
61,60,129.96752748554786
61,61,250.4177471719409
61,62,173.13278614082705
61,63,120.18850593700616
61,64,69.72844368087004
61,65,40.1796284399063
61,66,28.455402473329094
62,57,25.550037171080447
62,58,101.11086933007427
62,59,44.36919818327083
62,60,234.4912298233462
62,61,157.71122243910793
62,62,298.6760559584766
62,63,233.12668669498993
62,64,173.92990498115395
62,65,87.81620781818661
62,66,50.027643172045906
62,67,35.21608237222596
63,58,32.44275745105324
63,59,145.12134136263666
63,60,68.35901832809516
63,61,259.9843384956241
63,62,190.56775267405695
63,63,354.8826205203721
63,64,305.10285116018775
63,65,240.0828769893127
63,66,110.1560144393141
63,67,61.96111252524306
63,68,43.48703328305068
64,59,41.02525323554376
64,60,222.5226740070375
64,61,99.01548193738977
64,62,287.4108895553271
64,63,229.29683889500336
64,64,420.0380036932242
64,65,497.1111327704613
64,66,322.37694354804825
64,67,137.55064158246952
64,68,76.51137878314542
64,69,57.192793782487485
65,60,51.64057343999139
65,61,284.47256521698637
65,62,137.41774262772753
65,63,316.8052157419609
65,64,274.7310893343981
65,65,495.12885982026864
65,66,644.2143936690827
65,67,422.9128589112443
65,68,174.49101403569802
65,69,100.92847002857
65,70,77.68178775626549
66,61,64.75550898490525
66,62,182.13443246340677
66,63,184.28194645484996
66,64,348.1261230179937
66,65,327.7049660736579
66,66,425.62716391492074
