Cs_n,Na_n,C6_GHz_um6
50,45,6.3814213734102525
50,46,10.011288683568281
50,47,14.481151373295583
50,48,26.985058845849597
50,49,3.616634865557177
50,50,9.312708383318235
50,51,4.058487285582327
50,52,2.6502885552252144
50,53,2.008205718159428
50,54,1.6495375195166906
50,55,1.4369842711261267
51,46,8.977918721913339
51,47,14.012730057069845
51,48,18.50636460911022
51,49,33.83082381615514
51,50,3.250358586834315
51,51,12.565867872110305
51,52,5.320188334969134
51,53,3.4461581545109987
51,54,2.597833263921968
51,55,2.1259513166800237
51,56,1.8632289624372722
52,47,12.65023445414464
52,48,19.44132507591676
52,49,23.522130813858677
52,50,42.215120084273835
52,51,2.5784138099476674
52,52,16.90836137242201
52,53,6.940372245851849
52,54,4.458995722561619
52,55,3.3447012390985345
52,56,2.7340795546549255
52,57,2.380773287818448
53,48,17.882380692451104
53,49,26.7479371534784
53,50,29.740427070956265
53,51,52.43585671483821
53,52,1.4766937530857542
53,53,22.696229571072262
53,54,9.01158619560758
53,55,5.742204123508105
53,56,4.286291525010021
53,57,3.4984244493732914
53,58,3.028510915091187
54,49,25.408076013528817
54,50,36.49905727508478
54,51,37.41108324440391
54,52,64.83730482603987
54,53,0.21385801714913677
54,54,30.399337698448573
54,55,11.648864974871596
54,56,7.36099399098766
54,57,5.468258819713346
54,58,4.46761141878744
54,59,3.8353974922420244
55,50,36.37249343866646
55,51,49.391373694460924
55,52,46.82667073352639
55,53,79.8145553009129
55,54,2.764249992694541
55,55,40.639233602070135
55,56,14.993294470242528
55,57,9.394130107196228
55,58,6.958971566239723
55,59,5.711511363649806
55,60,4.836856491560567
56,51,52.60968866817798
56,52,66.26004658158324
56,53,58.324237844333794
56,54,97.81736556483106
56,55,7.028966168712769
56,56,54.22659803681406
56,57,19.217163245764397
56,58,11.938148770330937
56,59,8.800834092442846
56,60,7.1256879407502565
56,61,6.074946495302097
57,52,77.18268135565943
57,53,88.07612908301435
57,54,72.30692780009828
57,55,119.3537116383651
57,56,10.506295974809213
57,57,72.22250499074583
57,58,24.530430836310405
57,59,15.12514184096042
57,60,11.124854704542475
57,61,8.941088991141857
57,62,7.54989567575634
58,53,115.49169857114889
58,54,115.92597323035068
58,55,89.21554481529542
58,56,144.992224475997
58,57,17.74841774969796
58,58,95.9979628980898
58,59,31.18706620761444
58,60,19.064762921054843
58,61,13.955901299133663
58,62,11.175957605084896
58,63,9.300211605069991
59,54,177.63954105863021
59,55,150.96085260797577
59,56,109.56614387768333
59,57,175.3638363515759
59,58,31.29581873652837
59,59,127.31483697038483
59,60,39.49222132747762
59,61,23.984986383306317
59,62,17.440395409432792
59,63,13.857940803573522
59,64,11.670931524023851
60,55,280.6552677520151
60,56,194.30007368916176
60,57,133.9369760688205
60,58,211.1622641258508
60,59,36.23488388183603
60,60,168.40323230340263
60,61,49.83352763979287
60,62,29.995412447708336
60,63,21.713415481573833
60,64,17.16155342946928
60,65,14.436204979514267
61,56,184.3822884856236
61,57,265.1170009709438
61,58,162.9746518224884
61,59,253.14300395735992
61,60,46.504345120278025
61,61,222.0153448300038
61,62,62.65668103909518
61,63,37.36941018394249
61,64,26.859786987072308
61,65,21.224961239665806
61,66,17.842008753098824
62,57,353.1867315171779
62,58,325.8825481155243
62,59,197.39570766210477
62,60,302.1230043343884
62,61,63.294255818314845
62,62,291.38927268692765
62,63,78.37600248656435
62,64,46.382017812613384
62,65,33.156757627197294
62,66,26.15775271775753
62,67,21.905349987889505
63,58,331.77613493454203
63,59,395.7489815067271
63,60,237.98675652512566
63,61,358.9736748791962
63,62,109.4134842287001
63,63,379.45851353966896
63,64,97.62434515205379
63,65,57.25972488345564
63,66,40.840415044802235
63,67,32.126396245557466
63,68,26.833862637672247
64,59,300.0210139364229
64,60,473.5482336328528
64,61,285.6032376789715
64,62,424.61702863311706
64,63,136.32221700900075
64,64,487.2977717317403
64,65,121.05971752483477
64,66,70.47937376917663
64,67,50.12642929584585
64,68,43.17365920571988
64,69,36.92130959048486
65,60,276.884163795559
65,61,593.3317493655437
65,62,341.16572584061464
65,63,499.98210322740465
65,64,187.39227319907712
65,65,607.9031548421726
65,66,149.25313163335565
65,67,90.30492813978739
65,68,72.92801377343538
65,69,60.491735671091845
65,70,53.504150357056126
66,61,263.6048762013684
66,62,668.8171770040215
66,63,405.62287478855785
66,64,586.0441373727576
66,65,304.45051566693974
66,66,710.6932977986656
66,67,194.16406366915493
66,68,117.79394805117842
66,69,88.20406516132655
66,70,65.69115958922634
66,71,56.446769416682194
67,62,253.75448597866747
67,63,736.4844179785832
67,64,476.56546657771406
67,65,680.6529289865855
