Cs Rydberg State (n), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz)
69, 0.06783865079587503, -0.07587906503869621
69, 0.052608603765256175, -0.02994317333528623
69, -0.07940475374654275, -0.01513854131773065
69, -0.02793456810105577, -0.009622288890950362
69, -0.01426544441336636, -0.00737702482763074
69, -0.009960410874976157, -0.0061209429419659235
70, -0.010922520422379766, 0.024246426582791664
70, -0.015836481001163836, -0.08332235874748956
70, -0.04372788364884716, 0.0555136027932301
70, 0.04067000544370738, 0.08128675806864531
70, 0.04285269654656247, -0.019309297371191487
70, 0.07978119392598024, -0.08371172049335034
70, 0.049686338204996655, -0.0017599951313204245
70, 0.07015591864682746, -0.019410205256885974
70, -0.03438102648770672, -0.011807525276709887
70, -0.017319627942959513, -0.00896084617578014
70, -0.012083047086919528, -0.007403414879937969
