Cs Rydberg State (n), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz)
50, -6.707494022207716e-05, -0.00040861220477616015
50, -0.00017403227702676277, -0.0006421244410211173
50, -0.00307332736613189, 0.0009279645044895623
50, 0.005814823195839122, 0.0017348302932414178
50, 0.0007369944176308695, 0.00023389792402483565
50, 0.0018462237646631012, -0.0005927062776475119
50, 0.00019414448630229034, -0.0002600368781314738
50, -0.0006783501531550078, -0.00016968647160512423
50, -0.00027318017055875173, -0.00012855068611479042
50, -0.0001764675549067716, -0.00010557761047191213
50, -0.00013236841110564137, -9.196617122101526e-05
51, -9.002465687244391e-05, -0.0005750361930225116
51, -0.0002366584977795302, -0.0008999501023769107
51, 0.01398163792056509, 0.0011864308828560205
51, 0.005681196952105704, 0.002177660772893789
51, 0.00094160128545649, 0.00021141962530855417
51, 0.0022745291585025665, -0.0008005462727567704
51, 8.750709583098338e-05, -0.0003410769266656245
51, -0.0009460797258196023, -0.00022068965779299506
51, -0.00035962407068299587, -0.00016631643297215554
51, -0.00023014157202727925, -0.00013608748250792626
51, -0.00017178535201306237, -0.00011925538336499097
52, -0.00012011703350442778, -0.0008110083116284526
52, -0.00032051508503551325, -0.0012511156280539746
52, 0.0037942859231637214, 0.001508883146608874
52, 0.005915572302942064, 0.0027216703955326798
52, 0.0011966365326992457, 0.00016982091061661732
52, 0.0027962905567899426, -0.0010775010174877407
52, -7.161224115811667e-05, -0.0004453298459205512
52, -0.001333149778729685, -0.0002856325426921696
52, -0.00047126175846471584, -0.00021416880912737034
52, -0.00029870458570919046, -0.0001750143004347808
52, -0.00022177826331976194, -0.00015240269124151717
53, -0.00015937061379105275, -0.0011483448529915421
53, -0.000432576775577698, -0.0017264097776820964
53, 0.0023506335430936633, 0.0019092909289481403
53, 0.006397617916886339, 0.003387218246459167
53, 0.0015131033650950154, 0.00010145323205430362
53, 0.0034296497329055066, -0.0014466790587825116
53, -0.0003071155428521345, -0.0005777093811983469
53, -0.0019151104505489183, -0.00036797652194545957
53, -0.0006148113482238082, -0.00027452329004860513
53, -0.00038585341271329417, -0.00022401509931663935
53, -0.0002849514080228951, -0.00019389038759913912
54, -0.00021032281385811104, -0.0016366233559466242
54, -0.0005821690957756292, -0.002366209271555595
54, 0.0018006613785214694, 0.0024041841210784448
54, 0.007077161295986777, 0.0041983143466787776
54, 0.0019039473359273168, -3.845350859377899e-06
54, 0.004196642836808693, -0.0019385863018507022
54, -0.0006516225301473623, -0.0007499604653772187
54, -0.002858374951354262, -0.00047198370817650397
54, -0.0007987289819622128, -0.0003503347410480923
54, -0.0004961964443000959, -0.0002861314763315194
54, -0.00036519829600020873, -0.00024558902872510573
55, -0.0002761516144548566, -0.0023558938843165757
55, -0.0007820007030780562, -0.0032221355432879937
55, 0.001447437003018723, 0.0030132452991173744
55, 0.007941828498962864, 0.0051831725733298235
55, 0.0023845107832951252, -0.0001606194391188785
55, 0.005123438412700283, -0.0025940694171924118
55, -0.0011504639521947434, -0.0009681396917248446
55, -0.004644628758010407, -0.0006028104899140727
55, -0.0010335418574525077, -0.0004460303728274615
55, -0.000635364358345966, -0.0003715931071357095
55, -0.00046509704927244494, -0.00030978245332364423
56, -0.00036081464811991537, -0.003440920574213675
56, -0.0010492290587814, -0.004359671225751979
56, 0.0011505165584887143, 0.0037596024557768944
56, 0.00899220358281352, 0.006374748966058178
56, 0.002972894801655261, -0.000408198743385201
56, 0.006241164601265777, -0.003467359990026223
56, -0.0018671604564032976, -0.0012465364711076608
56, -0.009489102094056612, -0.0007668656395876464
56, -0.0013324720075359214, -0.0005644156891169938
56, -0.0008104158234576473, -0.0004566845950639529
56, -0.0005919611681540283, -0.00038919585948388305
57, -0.0004693011581650557, -0.005131236787450084
57, -0.0014080920274736842, -0.005859934076092554
57, 0.000829068465663051, 0.00467057626198192
57, 0.010235065981645685, 0.0078114429869129845
57, 0.003690313345511099, -0.0006166881683968333
57, 0.007586921325997444, -0.004630905961802438
57, -0.002890012356543694, -0.0016024989831983209
57, 0.00994431345514966, -0.0009729834148231797
57, -0.001711797085221714, -0.000714005389254307
57, -0.0010303192839506011, -0.0005733274425374764
57, -0.0007476218667968783, -0.00048385184963154794
58, -0.0006076136330363391, -0.007877047094378616
58, -0.0018932463246762773, -0.007820219024185393
58, 0.00042910676488702926, 0.005777878106315943
