Cs_n,Na_n,C6_GHz_um6
50,45,6.364483589886154
50,46,9.957023715663846
50,47,14.495190898447376
50,48,27.05847167652596
50,49,3.7013927358505776
50,50,9.017064892939898
50,51,4.075310868242525
50,52,2.6542504505922837
50,53,2.009938978173738
50,54,1.6504688560879446
50,55,1.4374484988906255
51,46,8.93370180000228
51,47,13.909128137321886
51,48,18.530297000108387
51,49,33.95057072250531
51,50,3.383539472199652
51,51,12.182319310650353
51,52,5.353436069171139
51,53,3.453569492578546
51,54,2.601024505039835
51,55,2.127647792539803
51,56,1.8642045045929467
52,47,12.564845230611445
52,48,19.24805353650805
52,49,23.56298497143886
52,50,42.41356718113817
52,51,2.7834971582881725
52,52,16.33041330240732
52,53,7.005559810636312
52,54,4.47262662220623
52,55,3.3504562609265376
52,56,2.737664286056572
52,57,2.3826296753949174
53,48,17.708983350987108
53,49,26.38400931662721
53,50,29.811809469288818
53,51,52.7549663600333
53,52,1.7712701759450498
53,53,21.78136832284682
53,54,9.111867789192448
53,55,5.767041030726875
53,56,4.296658113724708
53,57,3.5051043699069773
53,58,3.0318356130683664
54,49,25.056227248237132
54,50,35.84473782540405
54,51,37.530021146680234
54,52,65.33824654905364
54,53,0.2120412884826142
54,54,28.91134239129166
54,55,11.907053656041398
54,56,7.406923792929195
54,57,5.4872895090222364
54,58,4.477581114387958
54,59,3.8413401715554736
55,50,35.65825459758167
55,51,48.239611504102434
55,52,47.023950322148785
55,53,80.58886586186753
55,54,2.166556869451105
55,55,38.1961124606987
55,56,15.499144024075328
55,57,9.476825705325
55,58,6.986447920138253
55,59,5.781389561013152
55,60,4.847261656764189
56,51,51.16312770866161
56,52,64.27795207499341
56,53,58.64704087890455
56,54,98.99505287969177
56,55,3.939401944488356
56,56,50.210709528338974
56,57,20.214831661728123
56,58,12.085317497953305
56,59,8.856898830118528
56,60,7.156800313506367
56,61,6.093731125941807
57,52,74.25567591427729
57,53,84.73862200059034
57,54,72.81770364453435
57,55,121.11375197624712
57,56,4.5735179269670425
57,57,65.62169526125936
57,58,26.49847768626296
57,59,15.383619425264524
57,60,11.222511172727335
57,61,8.994489270295997
57,62,7.586905812247137
58,53,109.52069063975541
58,54,110.4283095222473
58,55,90.00692023685923
58,56,147.52811185294104
58,57,8.559017354017525
58,58,85.29489866242044
58,59,35.11930946408574
58,60,19.520684831841315
58,61,14.126279602307557
58,62,11.26889247993807
58,63,9.407913512250866
59,54,165.05333742905447
59,55,142.21964005829318
59,56,110.7798182317077
59,57,179.02591474341415
59,58,6.486669459599551
59,59,109.94345049991172
59,60,47.14238638052752
59,61,24.765748997637985
59,62,17.72467670347253
59,63,14.009672583315238
59,64,11.762778434770853
60,55,251.54693694107465
60,56,180.37960900951623
60,57,135.7845558045668
60,58,216.45807750984966
60,59,18.4299363292377
60,60,140.55891458754803
60,61,63.97857404893902
60,62,31.33064270633207
60,63,22.189430980753265
60,64,17.415824325832915
60,65,14.612717303585198
61,56,234.93477723175377
61,57,224.88074351780998
61,58,165.79439897566692
61,59,260.5667711532613
61,60,29.638367163986764
61,61,177.6069162433161
61,62,44.12498593525102
61,63,39.62149213383519
61,64,27.65184385635341
61,65,21.65707935617927
61,66,18.120852387442987
62,57,341.1986602301075
62,58,275.03475151683523
62,59,201.5469129007475
62,60,312.36971165532276
62,61,45.369148682015926
62,62,220.95822635541055
62,63,93.25197166774694
62,64,50.02500257028834
62,65,34.45538985599051
62,66,26.900301788674376
62,67,22.30016707765528
63,58,394.1582903566115
63,59,328.3353099469035
63,60,243.99264620056607
63,61,372.9244644464528
63,62,63.07884410693765
63,63,267.6114012418657
63,64,63.15345531403636
63,65,64.3534327783453
63,66,42.95061252588392
63,67,33.34922958898804
63,68,27.47688289998795
64,59,348.85472029629807
64,60,452.486056922976
64,61,294.1429986555421
64,62,443.36727987531486
64,63,85.28160454728803
64,64,310.31594047223115
64,65,65.5123775214409
64,66,80.84906943681807
64,67,53.5435869608261
64,68,45.60388237024288
64,69,38.05229552950921
65,60,329.19001198595504
65,61,523.9860230628375
65,62,353.1077795083036
65,63,524.882834776271
65,64,108.12121727582803
65,65,329.0496576706121
65,66,104.36281025953404
65,67,106.62789961132717
65,68,78.4460374038469
65,69,62.81516195333503
65,70,55.280095798061474
66,61,319.3188288892169
66,62,591.9186521577902
66,63,422.04600282154115
66,64,618.6652530204558
66,65,133.4979712422877
66,66,297.6093184087217
66,67,144.78762357580467
66,68,142.58901820079603
66,69,96.72198180353072
66,70,68.49850608551574
