Cs_n,Rb_n,C6_GHz_um6
50,45,1.0479936891171986
50,46,2.7186592430866923
50,47,44.67185371443187
50,48,80.078588632543
50,49,11.509368313700042
50,50,28.92680715872459
50,51,3.0114686484107955
50,52,10.573704763216698
50,53,4.266405104909691
50,54,2.7572960026938085
50,55,2.0684072191097496
51,46,1.4064389204054994
51,47,3.6963910293853166
51,48,136.33406355532298
51,49,79.10719740807562
51,50,14.700674917473487
51,51,35.65432956808521
51,52,1.337624392421221
51,53,14.7293539208254
51,54,5.6157808215243605
51,55,3.595812384168443
51,56,2.6842528335906635
52,47,1.8763905144128141
52,48,5.005006755753838
52,49,53.70935796898454
52,50,82.41846136889133
52,51,18.674701231033744
52,52,43.884098634130225
52,53,1.1309825369551183
52,54,20.69448839506499
52,55,7.3593598722602716
52,56,4.668343466698411
52,57,3.4656970423631996
53,48,2.4892998603992615
53,49,6.7525958154183
53,50,34.664301724922005
53,51,88.78877138650678
53,52,23.60455372445
53,53,53.88224863217238
53,54,4.766930291592494
53,55,29.550565318621548
53,56,9.598639379648226
53,57,6.030317294185099
53,58,4.453210432079234
54,49,3.284689870365003
54,50,9.082612559618687
54,51,26.854822639103805
54,52,97.41378161944556
54,53,29.686869849552014
54,54,65.98954947477056
54,55,10.041067114267488
54,56,43.53612272271478
54,57,12.465528271516959
54,58,7.75475259226916
54,59,5.707607962376729
55,50,4.312082469139638
55,51,12.196318533604819
55,52,21.67287014422601
55,53,108.0489997445782
55,54,37.15511223658796
55,55,80.59543589640063
55,56,17.58565209003549
55,57,68.58979426235832
55,58,16.115301789928342
55,59,9.931300445066523
55,60,7.269210598770856
56,51,5.632629131884363
56,52,16.346249456710574
56,53,17.190781999935833
56,54,120.57100918139098
56,55,46.283418992838676
56,56,98.14127680872032
56,57,28.239337296519622
56,58,129.47060444649134
56,59,20.764606574624857
56,60,12.671186047288115
56,61,9.252590937488499
57,52,7.327084726137734
57,53,21.899736524971303
57,54,12.282563927920684
57,55,134.92336497396522
57,56,57.38977328468437
57,57,119.12528248994008
57,58,43.021482950898815
57,59,161.69508771132752
57,60,26.646593104973235
57,61,16.11838251176006
57,62,11.686349732715465
58,53,9.483610349404591
58,54,29.360360201235103
58,55,6.175526829345541
58,56,151.08273296644245
58,57,70.83855018293912
58,58,144.05709666896217
58,59,63.51979128929259
58,60,34.104655670836394
58,61,34.0800161080776
58,62,20.475427457957515
58,63,14.704876221079484
59,54,12.221979210875718
59,55,39.4639890131383
59,56,1.7021943780468693
59,57,168.9925432735956
59,58,87.04093272534094
59,59,173.8328274556434
59,60,90.26143082798883
59,61,29.901682556138415
59,62,43.432609759277
59,63,25.956484231491356
59,64,18.433908713604648
60,55,15.685840806650761
60,56,53.31885602090429
60,57,12.44104100285394
60,58,188.92117673577644
60,59,106.54467063530043
60,60,208.83564105551775
60,61,127.09213337627753
60,62,74.07408911028857
60,63,55.17555384744001
60,64,34.274739780817534
60,65,23.02838743013673
61,56,20.049562969926278
61,57,72.68131806285498
61,58,26.598483088177048
61,59,210.55631919381818
61,60,129.84127138605737
61,61,249.94970038826696
61,62,175.6612682595381
61,63,119.5710292850012
61,64,69.76543401270871
61,65,38.33418956448021
61,66,28.59071427591283
62,57,25.524327297348805
62,58,100.83837203574572
62,59,45.43646245913674
62,60,234.03412425728482
62,61,157.52270089741728
62,62,298.03545966432125
62,63,237.3129009346934
62,64,173.26157240785608
62,65,87.8765580731613
62,66,49.1086974962115
62,67,35.433766443177326
63,58,32.39973580510739
63,59,144.50531357093655
63,60,70.02675854826842
63,61,259.41140001351215
63,62,190.2875010601245
63,63,353.90074257653606
63,64,312.37579860313485
63,65,239.4098261632728
63,66,110.26365921578483
63,67,61.0902971153233
63,68,43.83877717384258
64,59,40.96456193537094
64,60,220.89390937696868
64,61,101.60189222895823
64,62,286.57928509168903
64,63,228.83173042804395
64,64,418.63555929258723
64,65,499.4442548683932
64,66,322.4073809934574
64,67,137.8270088247875
64,68,75.61438300195202
64,69,57.79233009591925
65,60,51.54764950160232
65,61,279.98076438945236
65,62,141.61102030847303
65,63,315.6325682685495
65,64,274.00602425479815
65,65,493.18696149931054
65,66,593.9097821344892
65,67,423.46912374073315
65,68,174.94780025525804
65,69,99.9808522488683
65,70,78.63068042217712
66,61,64.63075336761639
66,62,184.58107941803257
66,63,190.570789501069
66,64,346.4736224550715
66,65,326.6424137616152
66,66,421.635278798119
66,67,644.8826632399843
66,68,544.5451334300284
66,69,223.4009843496311
66,70,127.0565437720523
66,71,95.68756048196232
67,62,80.74370724122365
67,63,43.17451874236228
67,64,322.04103554119615
67,65,379.32412948785645
67,66,384.1367821100279
67,67,498.94345935969847
67,68,613.4612967434817
67,69,663.492493517127
67,70,270.2779129940869
67,71,147.5213038769131
67,72,105.77629747892048
68,63,100.45289604930892
68,64,111.77954321401441
68,65,404.73465529340655
68,66,403.3796077247963
68,67,447.02921525314946
68,68,589.4255573799234
68,69,634.3702259582433
68,70,730.7325113610509
68,71,326.5014465127878
68,72,176.0000364185651
