Cs1,6s1/2,,,
Wavelength,alpha_0,Uncertainty,alpha_2,Uncertainty
602.86000,-341.67,0.52,0.00,0.00
602.88000,-341.72,0.52,0.00,0.00
602.90000,-341.76,0.52,0.00,0.00
602.92000,-341.81,0.52,0.00,0.00
602.94000,-341.86,0.52,0.00,0.00
602.96000,-341.90,0.52,0.00,0.00
602.98000,-341.95,0.52,0.00,0.00
603.00000,-342.00,0.52,0.00,0.00
603.02000,-342.04,0.52,0.00,0.00
603.04000,-342.09,0.52,0.00,0.00
603.06000,-342.14,0.52,0.00,0.00
603.08000,-342.19,0.52,0.00,0.00
603.10000,-342.23,0.52,0.00,0.00
603.12000,-342.28,0.52,0.00,0.00
603.14000,-342.33,0.52,0.00,0.00
603.16000,-342.37,0.52,0.00,0.00
603.18000,-342.42,0.52,0.00,0.00
603.20000,-342.47,0.52,0.00,0.00
603.22000,-342.52,0.52,0.00,0.00
603.24000,-342.56,0.52,0.00,0.00
603.26000,-342.61,0.52,0.00,0.00
603.28000,-342.66,0.52,0.00,0.00
603.30000,-342.70,0.52,0.00,0.00
603.32000,-342.75,0.52,0.00,0.00
603.34000,-342.80,0.52,0.00,0.00
603.36000,-342.85,0.52,0.00,0.00
603.38000,-342.89,0.52,0.00,0.00
603.40000,-342.94,0.52,0.00,0.00
603.42000,-342.99,0.52,0.00,0.00
603.44000,-343.03,0.52,0.00,0.00
603.46000,-343.08,0.52,0.00,0.00
603.48000,-343.13,0.52,0.00,0.00
603.50000,-343.18,0.52,0.00,0.00
603.52000,-343.22,0.52,0.00,0.00
603.54000,-343.27,0.52,0.00,0.00
603.56000,-343.32,0.52,0.00,0.00
603.58000,-343.36,0.52,0.00,0.00
603.60000,-343.41,0.52,0.00,0.00
603.62000,-343.46,0.52,0.00,0.00
603.64000,-343.51,0.52,0.00,0.00
603.66000,-343.55,0.52,0.00,0.00
603.68000,-343.60,0.52,0.00,0.00
603.70000,-343.65,0.52,0.00,0.00
603.72000,-343.69,0.52,0.00,0.00
603.74000,-343.74,0.52,0.00,0.00
603.76000,-343.79,0.52,0.00,0.00
603.78000,-343.84,0.52,0.00,0.00
603.80000,-343.88,0.52,0.00,0.00
603.82000,-343.93,0.52,0.00,0.00
603.84000,-343.98,0.52,0.00,0.00
603.86000,-344.03,0.52,0.00,0.00
603.88000,-344.07,0.52,0.00,0.00
603.90000,-344.12,0.52,0.00,0.00
603.92000,-344.17,0.53,0.00,0.00
603.94000,-344.22,0.53,0.00,0.00
603.96000,-344.26,0.53,0.00,0.00
603.98000,-344.31,0.53,0.00,0.00
604.00000,-344.36,0.53,0.00,0.00
604.02000,-344.40,0.53,0.00,0.00
604.04000,-344.45,0.53,0.00,0.00
604.06000,-344.50,0.53,0.00,0.00
604.08000,-344.55,0.53,0.00,0.00
604.10000,-344.59,0.53,0.00,0.00
604.12000,-344.64,0.53,0.00,0.00
604.14000,-344.69,0.53,0.00,0.00
604.16000,-344.74,0.53,0.00,0.00
604.18000,-344.78,0.53,0.00,0.00
604.20000,-344.83,0.53,0.00,0.00
604.22000,-344.88,0.53,0.00,0.00
604.24000,-344.93,0.53,0.00,0.00
604.26000,-344.97,0.53,0.00,0.00
604.28000,-345.02,0.53,0.00,0.00
604.30000,-345.07,0.53,0.00,0.00
604.32000,-345.12,0.53,0.00,0.00
604.34000,-345.16,0.53,0.00,0.00
604.36000,-345.21,0.53,0.00,0.00
604.38000,-345.26,0.53,0.00,0.00
604.40000,-345.31,0.53,0.00,0.00
604.42000,-345.35,0.53,0.00,0.00
604.44000,-345.40,0.53,0.00,0.00
604.46000,-345.45,0.53,0.00,0.00
604.48000,-345.50,0.53,0.00,0.00
604.50000,-345.54,0.53,0.00,0.00
604.52000,-345.59,0.53,0.00,0.00
604.54000,-345.64,0.53,0.00,0.00
604.56000,-345.69,0.53,0.00,0.00
604.58000,-345.73,0.53,0.00,0.00
604.60000,-345.78,0.53,0.00,0.00
604.62000,-345.83,0.53,0.00,0.00
604.64000,-345.88,0.53,0.00,0.00
604.66000,-345.93,0.53,0.00,0.00
604.68000,-345.97,0.53,0.00,0.00
604.70000,-346.02,0.53,0.00,0.00
604.72000,-346.07,0.53,0.00,0.00
604.74000,-346.12,0.53,0.00,0.00
604.76000,-346.16,0.53,0.00,0.00
604.78000,-346.21,0.53,0.00,0.00
604.80000,-346.26,0.53,0.00,0.00
604.82000,-346.31,0.53,0.00,0.00
604.84000,-346.35,0.53,0.00,0.00
604.86000,-346.40,0.53,0.00,0.00
604.88000,-346.45,0.53,0.00,0.00
604.90000,-346.50,0.53,0.00,0.00
604.92000,-346.54,0.53,0.00,0.00
604.94000,-346.59,0.53,0.00,0.00
604.96000,-346.64,0.53,0.00,0.00
604.98000,-346.69,0.53,0.00,0.00
605.00000,-346.74,0.53,0.00,0.00
605.02000,-346.78,0.53,0.00,0.00
605.04000,-346.83,0.53,0.00,0.00
605.06000,-346.88,0.53,0.00,0.00
605.08000,-346.93,0.53,0.00,0.00
