Cs1,6s1/2,,,
Wavelength,alpha_0,Uncertainty,alpha_2,Uncertainty
724.76000,-888.17,1.22,0.00,0.00
724.78000,-888.34,1.22,0.00,0.00
724.80000,-888.51,1.22,0.00,0.00
724.82000,-888.68,1.22,0.00,0.00
724.84000,-888.85,1.22,0.00,0.00
724.86000,-889.02,1.22,0.00,0.00
724.88000,-889.20,1.22,0.00,0.00
724.90000,-889.37,1.22,0.00,0.00
724.92000,-889.54,1.22,0.00,0.00
724.94000,-889.71,1.22,0.00,0.00
724.96000,-889.88,1.22,0.00,0.00
724.98000,-890.05,1.22,0.00,0.00
725.00000,-890.22,1.22,0.00,0.00
725.02000,-890.39,1.22,0.00,0.00
725.04000,-890.57,1.22,0.00,0.00
725.06000,-890.74,1.22,0.00,0.00
725.08000,-890.91,1.22,0.00,0.00
725.10000,-891.08,1.22,0.00,0.00
725.12000,-891.25,1.22,0.00,0.00
725.14000,-891.42,1.22,0.00,0.00
725.16000,-891.60,1.22,0.00,0.00
725.18000,-891.77,1.22,0.00,0.00
725.20000,-891.94,1.22,0.00,0.00
725.22000,-892.11,1.22,0.00,0.00
725.24000,-892.28,1.22,0.00,0.00
725.26000,-892.46,1.22,0.00,0.00
725.28000,-892.63,1.22,0.00,0.00
725.30000,-892.80,1.22,0.00,0.00
725.32000,-892.97,1.23,0.00,0.00
725.34000,-893.15,1.23,0.00,0.00
725.36000,-893.32,1.23,0.00,0.00
725.38000,-893.49,1.23,0.00,0.00
725.40000,-893.66,1.23,0.00,0.00
725.42000,-893.84,1.23,0.00,0.00
725.44000,-894.01,1.23,0.00,0.00
725.46000,-894.18,1.23,0.00,0.00
725.48000,-894.35,1.23,0.00,0.00
725.50000,-894.53,1.23,0.00,0.00
725.52000,-894.70,1.23,0.00,0.00
725.54000,-894.87,1.23,0.00,0.00
725.56000,-895.04,1.23,0.00,0.00
725.58000,-895.22,1.23,0.00,0.00
725.60000,-895.39,1.23,0.00,0.00
725.62000,-895.56,1.23,0.00,0.00
725.64000,-895.74,1.23,0.00,0.00
725.66000,-895.91,1.23,0.00,0.00
725.68000,-896.08,1.23,0.00,0.00
725.70000,-896.26,1.23,0.00,0.00
725.72000,-896.43,1.23,0.00,0.00
725.74000,-896.60,1.23,0.00,0.00
725.76000,-896.78,1.23,0.00,0.00
725.78000,-896.95,1.23,0.00,0.00
725.80000,-897.12,1.23,0.00,0.00
725.82000,-897.30,1.23,0.00,0.00
725.84000,-897.47,1.23,0.00,0.00
725.86000,-897.64,1.23,0.00,0.00
725.88000,-897.82,1.23,0.00,0.00
725.90000,-897.99,1.23,0.00,0.00
725.92000,-898.17,1.23,0.00,0.00
725.94000,-898.34,1.23,0.00,0.00
725.96000,-898.51,1.23,0.00,0.00
725.98000,-898.69,1.23,0.00,0.00
726.00000,-898.86,1.23,0.00,0.00
726.02000,-899.04,1.23,0.00,0.00
726.04000,-899.21,1.23,0.00,0.00
726.06000,-899.38,1.23,0.00,0.00
726.08000,-899.56,1.23,0.00,0.00
726.10000,-899.73,1.23,0.00,0.00
726.12000,-899.91,1.23,0.00,0.00
726.14000,-900.08,1.23,0.00,0.00
726.16000,-900.26,1.23,0.00,0.00
726.18000,-900.43,1.23,0.00,0.00
726.20000,-900.61,1.24,0.00,0.00
726.22000,-900.78,1.24,0.00,0.00
726.24000,-900.95,1.24,0.00,0.00
726.26000,-901.13,1.24,0.00,0.00
726.28000,-901.30,1.24,0.00,0.00
726.30000,-901.48,1.24,0.00,0.00
726.32000,-901.65,1.24,0.00,0.00
726.34000,-901.83,1.24,0.00,0.00
726.36000,-902.00,1.24,0.00,0.00
726.38000,-902.18,1.24,0.00,0.00
726.40000,-902.35,1.24,0.00,0.00
726.42000,-902.53,1.24,0.00,0.00
726.44000,-902.70,1.24,0.00,0.00
726.46000,-902.88,1.24,0.00,0.00
726.48000,-903.05,1.24,0.00,0.00
726.50000,-903.23,1.24,0.00,0.00
726.52000,-903.41,1.24,0.00,0.00
726.54000,-903.58,1.24,0.00,0.00
726.56000,-903.76,1.24,0.00,0.00
726.58000,-903.93,1.24,0.00,0.00
726.60000,-904.11,1.24,0.00,0.00
726.62000,-904.28,1.24,0.00,0.00
726.64000,-904.46,1.24,0.00,0.00
726.66000,-904.63,1.24,0.00,0.00
726.68000,-904.81,1.24,0.00,0.00
726.70000,-904.99,1.24,0.00,0.00
726.72000,-905.16,1.24,0.00,0.00
726.74000,-905.34,1.24,0.00,0.00
726.76000,-905.51,1.24,0.00,0.00
726.78000,-905.69,1.24,0.00,0.00
726.80000,-905.87,1.24,0.00,0.00
726.82000,-906.04,1.24,0.00,0.00
726.84000,-906.22,1.24,0.00,0.00
726.86000,-906.40,1.24,0.00,0.00
726.88000,-906.57,1.24,0.00,0.00
726.90000,-906.75,1.24,0.00,0.00
726.92000,-906.92,1.24,0.00,0.00
726.94000,-907.10,1.24,0.00,0.00
726.96000,-907.28,1.24,0.00,0.00
726.98000,-907.45,1.24,0.00,0.00
727.00000,-907.63,1.24,0.00,0.00
727.02000,-907.81,1.24,0.00,0.00
727.04000,-907.98,1.24,0.00,0.00
727.06000,-908.16,1.24,0.00,0.00
727.08000,-908.34,1.25,0.00,0.00
727.10000,-908.52,1.25,0.00,0.00
727.12000,-908.69,1.25,0.00,0.00
727.14000,-908.87,1.25,0.00,0.00
727.16000,-909.05,1.25,0.00,0.00
727.18000,-909.22,1.25,0.00,0.00
727.20000,-909.40,1.25,0.00,0.00
727.22000,-909.58,1.25,0.00,0.00
727.24000,-909.76,1.25,0.00,0.00
727.26000,-909.93,1.25,0.00,0.00
727.28000,-910.11,1.25,0.00,0.00
727.30000,-910.29,1.25,0.00,0.00
727.32000,-910.47,1.25,0.00,0.00
727.34000,-910.64,1.25,0.00,0.00
727.36000,-910.82,1.25,0.00,0.00
727.38000,-911.00,1.25,0.00,0.00
727.40000,-911.18,1.25,0.00,0.00
727.42000,-911.35,1.25,0.00,0.00
727.44000,-911.53,1.25,0.00,0.00
727.46000,-911.71,1.25,0.00,0.00
727.48000,-911.89,1.25,0.00,0.00
727.50000,-912.07,1.25,0.00,0.00
727.52000,-912.24,1.25,0.00,0.00
727.54000,-912.42,1.25,0.00,0.00
727.56000,-912.60,1.25,0.00,0.00
727.58000,-912.78,1.25,0.00,0.00
727.60000,-912.96,1.25,0.00,0.00
727.62000,-913.13,1.25,0.00,0.00
727.64000,-913.31,1.25,0.00,0.00
727.66000,-913.49,1.25,0.00,0.00
727.68000,-913.67,1.25,0.00,0.00
727.70000,-913.85,1.25,0.00,0.00
727.72000,-914.03,1.25,0.00,0.00
727.74000,-914.21,1.25,0.00,0.00
727.76000,-914.38,1.25,0.00,0.00
727.78000,-914.56,1.25,0.00,0.00
727.80000,-914.74,1.25,0.00,0.00
727.82000,-914.92,1.25,0.00,0.00
727.84000,-915.10,1.25,0.00,0.00
727.86000,-915.28,1.25,0.00,0.00
727.88000,-915.46,1.25,0.00,0.00
727.90000,-915.64,1.25,0.00,0.00
727.92000,-915.82,1.25,0.00,0.00
727.94000,-916.00,1.26,0.00,0.00
727.96000,-916.17,1.26,0.00,0.00
727.98000,-916.35,1.26,0.00,0.00
728.00000,-916.53,1.26,0.00,0.00
728.02000,-916.71,1.26,0.00,0.00
728.04000,-916.89,1.26,0.00,0.00
728.06000,-917.07,1.26,0.00,0.00
728.08000,-917.25,1.26,0.00,0.00
728.10000,-917.43,1.26,0.00,0.00
728.12000,-917.61,1.26,0.00,0.00
728.14000,-917.79,1.26,0.00,0.00
728.16000,-917.97,1.26,0.00,0.00
728.18000,-918.15,1.26,0.00,0.00
728.20000,-918.33,1.26,0.00,0.00
728.22000,-918.51,1.26,0.00,0.00
728.24000,-918.69,1.26,0.00,0.00
728.26000,-918.87,1.26,0.00,0.00
728.28000,-919.05,1.26,0.00,0.00
728.30000,-919.23,1.26,0.00,0.00
728.32000,-919.41,1.26,0.00,0.00
728.34000,-919.59,1.26,0.00,0.00
728.36000,-919.77,1.26,0.00,0.00
728.38000,-919.95,1.26,0.00,0.00
728.40000,-920.13,1.26,0.00,0.00
728.42000,-920.31,1.26,0.00,0.00
728.44000,-920.49,1.26,0.00,0.00
728.46000,-920.67,1.26,0.00,0.00
728.48000,-920.86,1.26,0.00,0.00
728.50000,-921.04,1.26,0.00,0.00
728.52000,-921.22,1.26,0.00,0.00
728.54000,-921.40,1.26,0.00,0.00
728.56000,-921.58,1.26,0.00,0.00
728.58000,-921.76,1.26,0.00,0.00
728.60000,-921.94,1.26,0.00,0.00
728.62000,-922.12,1.26,0.00,0.00
728.64000,-922.30,1.26,0.00,0.00
728.66000,-922.48,1.26,0.00,0.00
728.68000,-922.67,1.26,0.00,0.00
728.70000,-922.85,1.26,0.00,0.00
728.72000,-923.03,1.26,0.00,0.00
728.74000,-923.21,1.26,0.00,0.00
728.76000,-923.39,1.26,0.00,0.00
728.78000,-923.57,1.26,0.00,0.00
728.80000,-923.75,1.27,0.00,0.00
728.82000,-923.94,1.27,0.00,0.00
728.84000,-924.12,1.27,0.00,0.00
728.86000,-924.30,1.27,0.00,0.00
728.88000,-924.48,1.27,0.00,0.00
728.90000,-924.66,1.27,0.00,0.00
728.92000,-924.84,1.27,0.00,0.00
728.94000,-925.03,1.27,0.00,0.00
728.96000,-925.21,1.27,0.00,0.00
728.98000,-925.39,1.27,0.00,0.00
729.00000,-925.57,1.27,0.00,0.00
729.02000,-925.75,1.27,0.00,0.00
729.04000,-925.94,1.27,0.00,0.00
729.06000,-926.12,1.27,0.00,0.00
729.08000,-926.30,1.27,0.00,0.00
729.10000,-926.48,1.27,0.00,0.00
729.12000,-926.67,1.27,0.00,0.00
729.14000,-926.85,1.27,0.00,0.00
729.16000,-927.03,1.27,0.00,0.00
729.18000,-927.21,1.27,0.00,0.00
729.20000,-927.40,1.27,0.00,0.00
729.22000,-927.58,1.27,0.00,0.00
729.24000,-927.76,1.27,0.00,0.00
729.26000,-927.95,1.27,0.00,0.00
729.28000,-928.13,1.27,0.00,0.00
729.30000,-928.31,1.27,0.00,0.00
729.32000,-928.49,1.27,0.00,0.00
729.34000,-928.68,1.27,0.00,0.00
729.36000,-928.86,1.27,0.00,0.00
729.38000,-929.04,1.27,0.00,0.00
729.40000,-929.23,1.27,0.00,0.00
729.42000,-929.41,1.27,0.00,0.00
729.44000,-929.59,1.27,0.00,0.00
729.46000,-929.78,1.27,0.00,0.00
729.48000,-929.96,1.27,0.00,0.00
729.50000,-930.14,1.27,0.00,0.00
729.52000,-930.33,1.27,0.00,0.00
729.54000,-930.51,1.27,0.00,0.00
729.56000,-930.70,1.27,0.00,0.00
729.58000,-930.88,1.27,0.00,0.00
729.60000,-931.06,1.27,0.00,0.00
729.62000,-931.25,1.27,0.00,0.00
729.64000,-931.43,1.28,0.00,0.00
729.66000,-931.61,1.28,0.00,0.00
729.68000,-931.80,1.28,0.00,0.00
729.70000,-931.98,1.28,0.00,0.00
729.72000,-932.17,1.28,0.00,0.00
729.74000,-932.35,1.28,0.00,0.00
729.76000,-932.54,1.28,0.00,0.00
729.78000,-932.72,1.28,0.00,0.00
729.80000,-932.90,1.28,0.00,0.00
729.82000,-933.09,1.28,0.00,0.00
729.84000,-933.27,1.28,0.00,0.00
729.86000,-933.46,1.28,0.00,0.00
729.88000,-933.64,1.28,0.00,0.00
729.90000,-933.83,1.28,0.00,0.00
729.92000,-934.01,1.28,0.00,0.00
729.94000,-934.20,1.28,0.00,0.00
729.96000,-934.38,1.28,0.00,0.00
729.98000,-934.57,1.28,0.00,0.00
730.00000,-934.75,1.28,0.00,0.00
730.02000,-934.94,1.28,0.00,0.00
730.04000,-935.12,1.28,0.00,0.00
730.06000,-935.31,1.28,0.00,0.00
730.08000,-935.49,1.28,0.00,0.00
730.10000,-935.68,1.28,0.00,0.00
730.12000,-935.86,1.28,0.00,0.00
730.14000,-936.05,1.28,0.00,0.00
730.16000,-936.23,1.28,0.00,0.00
730.18000,-936.42,1.28,0.00,0.00
730.20000,-936.60,1.28,0.00,0.00
730.22000,-936.79,1.28,0.00,0.00
730.24000,-936.98,1.28,0.00,0.00
730.26000,-937.16,1.28,0.00,0.00
730.28000,-937.35,1.28,0.00,0.00
730.30000,-937.53,1.28,0.00,0.00
730.32000,-937.72,1.28,0.00,0.00
730.34000,-937.90,1.28,0.00,0.00
730.36000,-938.09,1.28,0.00,0.00
730.38000,-938.28,1.28,0.00,0.00
730.40000,-938.46,1.28,0.00,0.00
730.42000,-938.65,1.28,0.00,0.00
730.44000,-938.84,1.28,0.00,0.00
730.46000,-939.02,1.28,0.00,0.00
730.48000,-939.21,1.29,0.00,0.00
730.50000,-939.39,1.29,0.00,0.00
730.52000,-939.58,1.29,0.00,0.00
730.54000,-939.77,1.29,0.00,0.00
730.56000,-939.95,1.29,0.00,0.00
730.58000,-940.14,1.29,0.00,0.00
730.60000,-940.33,1.29,0.00,0.00
730.62000,-940.51,1.29,0.00,0.00
730.64000,-940.70,1.29,0.00,0.00
730.66000,-940.89,1.29,0.00,0.00
730.68000,-941.07,1.29,0.00,0.00
730.70000,-941.26,1.29,0.00,0.00
730.72000,-941.45,1.29,0.00,0.00
730.74000,-941.64,1.29,0.00,0.00
730.76000,-941.82,1.29,0.00,0.00
730.78000,-942.01,1.29,0.00,0.00
730.80000,-942.20,1.29,0.00,0.00
730.82000,-942.39,1.29,0.00,0.00
730.84000,-942.57,1.29,0.00,0.00
730.86000,-942.76,1.29,0.00,0.00
730.88000,-942.95,1.29,0.00,0.00
730.90000,-943.14,1.29,0.00,0.00
730.92000,-943.32,1.29,0.00,0.00
730.94000,-943.51,1.29,0.00,0.00
730.96000,-943.70,1.29,0.00,0.00
730.98000,-943.89,1.29,0.00,0.00
731.00000,-944.07,1.29,0.00,0.00
731.02000,-944.26,1.29,0.00,0.00
731.04000,-944.45,1.29,0.00,0.00
731.06000,-944.64,1.29,0.00,0.00
731.08000,-944.83,1.29,0.00,0.00
731.10000,-945.01,1.29,0.00,0.00
731.12000,-945.20,1.29,0.00,0.00
731.14000,-945.39,1.29,0.00,0.00
731.16000,-945.58,1.29,0.00,0.00
731.18000,-945.77,1.29,0.00,0.00
731.20000,-945.96,1.29,0.00,0.00
731.22000,-946.14,1.29,0.00,0.00
731.24000,-946.33,1.29,0.00,0.00
731.26000,-946.52,1.29,0.00,0.00
731.28000,-946.71,1.29,0.00,0.00
731.30000,-946.90,1.30,0.00,0.00
731.32000,-947.09,1.30,0.00,0.00
731.34000,-947.28,1.30,0.00,0.00
731.36000,-947.47,1.30,0.00,0.00
731.38000,-947.65,1.30,0.00,0.00
731.40000,-947.84,1.30,0.00,0.00
731.42000,-948.03,1.30,0.00,0.00
731.44000,-948.22,1.30,0.00,0.00
731.46000,-948.41,1.30,0.00,0.00
731.48000,-948.60,1.30,0.00,0.00
731.50000,-948.79,1.30,0.00,0.00
731.52000,-948.98,1.30,0.00,0.00
731.54000,-949.17,1.30,0.00,0.00
731.56000,-949.36,1.30,0.00,0.00
731.58000,-949.55,1.30,0.00,0.00
731.60000,-949.74,1.30,0.00,0.00
731.62000,-949.93,1.30,0.00,0.00
731.64000,-950.12,1.30,0.00,0.00
731.66000,-950.31,1.30,0.00,0.00
731.68000,-950.50,1.30,0.00,0.00
731.70000,-950.69,1.30,0.00,0.00
731.72000,-950.88,1.30,0.00,0.00
731.74000,-951.07,1.30,0.00,0.00
731.76000,-951.26,1.30,0.00,0.00
731.78000,-951.45,1.30,0.00,0.00
731.80000,-951.64,1.30,0.00,0.00
731.82000,-951.83,1.30,0.00,0.00
731.84000,-952.02,1.30,0.00,0.00
731.86000,-952.21,1.30,0.00,0.00
731.88000,-952.40,1.30,0.00,0.00
731.90000,-952.59,1.30,0.00,0.00
731.92000,-952.78,1.30,0.00,0.00
731.94000,-952.97,1.30,0.00,0.00
731.96000,-953.16,1.30,0.00,0.00
731.98000,-953.35,1.30,0.00,0.00
732.00000,-953.54,1.30,0.00,0.00
732.02000,-953.73,1.30,0.00,0.00
732.04000,-953.92,1.30,0.00,0.00
732.06000,-954.12,1.30,0.00,0.00
732.08000,-954.31,1.30,0.00,0.00
732.10000,-954.50,1.31,0.00,0.00
732.12000,-954.69,1.31,0.00,0.00
732.14000,-954.88,1.31,0.00,0.00
732.16000,-955.07,1.31,0.00,0.00
732.18000,-955.26,1.31,0.00,0.00
732.20000,-955.45,1.31,0.00,0.00
732.22000,-955.65,1.31,0.00,0.00
732.24000,-955.84,1.31,0.00,0.00
732.26000,-956.03,1.31,0.00,0.00
732.28000,-956.22,1.31,0.00,0.00
732.30000,-956.41,1.31,0.00,0.00
732.32000,-956.60,1.31,0.00,0.00
732.34000,-956.80,1.31,0.00,0.00
732.36000,-956.99,1.31,0.00,0.00
732.38000,-957.18,1.31,0.00,0.00
732.40000,-957.37,1.31,0.00,0.00
732.42000,-957.56,1.31,0.00,0.00
732.44000,-957.76,1.31,0.00,0.00
732.46000,-957.95,1.31,0.00,0.00
732.48000,-958.14,1.31,0.00,0.00
732.50000,-958.33,1.31,0.00,0.00
732.52000,-958.53,1.31,0.00,0.00
732.54000,-958.72,1.31,0.00,0.00
732.56000,-958.91,1.31,0.00,0.00
732.58000,-959.10,1.31,0.00,0.00
732.60000,-959.30,1.31,0.00,0.00
732.62000,-959.49,1.31,0.00,0.00
732.64000,-959.68,1.31,0.00,0.00
732.66000,-959.87,1.31,0.00,0.00
732.68000,-960.07,1.31,0.00,0.00
732.70000,-960.26,1.31,0.00,0.00
732.72000,-960.45,1.31,0.00,0.00
732.74000,-960.65,1.31,0.00,0.00
732.76000,-960.84,1.31,0.00,0.00
732.78000,-961.03,1.31,0.00,0.00
732.80000,-961.22,1.31,0.00,0.00
732.82000,-961.42,1.31,0.00,0.00
732.84000,-961.61,1.31,0.00,0.00
732.86000,-961.81,1.31,0.00,0.00
732.88000,-962.00,1.31,0.00,0.00
732.90000,-962.19,1.32,0.00,0.00
732.92000,-962.39,1.32,0.00,0.00
732.94000,-962.58,1.32,0.00,0.00
732.96000,-962.77,1.32,0.00,0.00
732.98000,-962.97,1.32,0.00,0.00
733.00000,-963.16,1.32,0.00,0.00
733.02000,-963.35,1.32,0.00,0.00
733.04000,-963.55,1.32,0.00,0.00
733.06000,-963.74,1.32,0.00,0.00
733.08000,-963.94,1.32,0.00,0.00
733.10000,-964.13,1.32,0.00,0.00
733.12000,-964.33,1.32,0.00,0.00
733.14000,-964.52,1.32,0.00,0.00
733.16000,-964.71,1.32,0.00,0.00
733.18000,-964.91,1.32,0.00,0.00
733.20000,-965.10,1.32,0.00,0.00
733.22000,-965.30,1.32,0.00,0.00
733.24000,-965.49,1.32,0.00,0.00
733.26000,-965.69,1.32,0.00,0.00
733.28000,-965.88,1.32,0.00,0.00
733.30000,-966.08,1.32,0.00,0.00
733.32000,-966.27,1.32,0.00,0.00
733.34000,-966.47,1.32,0.00,0.00
733.36000,-966.66,1.32,0.00,0.00
733.38000,-966.86,1.32,0.00,0.00
733.40000,-967.05,1.32,0.00,0.00
733.42000,-967.25,1.32,0.00,0.00
733.44000,-967.44,1.32,0.00,0.00
733.46000,-967.64,1.32,0.00,0.00
733.48000,-967.83,1.32,0.00,0.00
733.50000,-968.03,1.32,0.00,0.00
733.52000,-968.22,1.32,0.00,0.00
733.54000,-968.42,1.32,0.00,0.00
733.56000,-968.61,1.32,0.00,0.00
733.58000,-968.81,1.32,0.00,0.00
733.60000,-969.01,1.32,0.00,0.00
733.62000,-969.20,1.32,0.00,0.00
733.64000,-969.40,1.32,0.00,0.00
733.66000,-969.59,1.32,0.00,0.00
733.68000,-969.79,1.33,0.00,0.00
733.70000,-969.99,1.33,0.00,0.00
733.72000,-970.18,1.33,0.00,0.00
733.74000,-970.38,1.33,0.00,0.00
733.76000,-970.57,1.33,0.00,0.00
733.78000,-970.77,1.33,0.00,0.00
733.80000,-970.97,1.33,0.00,0.00
733.82000,-971.16,1.33,0.00,0.00
733.84000,-971.36,1.33,0.00,0.00
733.86000,-971.56,1.33,0.00,0.00
733.88000,-971.75,1.33,0.00,0.00
733.90000,-971.95,1.33,0.00,0.00
733.92000,-972.15,1.33,0.00,0.00
733.94000,-972.34,1.33,0.00,0.00
733.96000,-972.54,1.33,0.00,0.00
733.98000,-972.74,1.33,0.00,0.00
734.00000,-972.93,1.33,0.00,0.00
734.02000,-973.13,1.33,0.00,0.00
734.04000,-973.33,1.33,0.00,0.00
734.06000,-973.52,1.33,0.00,0.00
734.08000,-973.72,1.33,0.00,0.00
734.10000,-973.92,1.33,0.00,0.00
734.12000,-974.12,1.33,0.00,0.00
734.14000,-974.31,1.33,0.00,0.00
734.16000,-974.51,1.33,0.00,0.00
734.18000,-974.71,1.33,0.00,0.00
734.20000,-974.91,1.33,0.00,0.00
734.22000,-975.10,1.33,0.00,0.00
734.24000,-975.30,1.33,0.00,0.00
734.26000,-975.50,1.33,0.00,0.00
734.28000,-975.70,1.33,0.00,0.00
734.30000,-975.90,1.33,0.00,0.00
734.32000,-976.09,1.33,0.00,0.00
734.34000,-976.29,1.33,0.00,0.00
734.36000,-976.49,1.33,0.00,0.00
734.38000,-976.69,1.33,0.00,0.00
734.40000,-976.89,1.33,0.00,0.00
734.42000,-977.08,1.33,0.00,0.00
734.44000,-977.28,1.33,0.00,0.00
734.46000,-977.48,1.34,0.00,0.00
734.48000,-977.68,1.34,0.00,0.00
734.50000,-977.88,1.34,0.00,0.00
734.52000,-978.08,1.34,0.00,0.00
734.54000,-978.28,1.34,0.00,0.00
734.56000,-978.47,1.34,0.00,0.00
734.58000,-978.67,1.34,0.00,0.00
734.60000,-978.87,1.34,0.00,0.00
734.62000,-979.07,1.34,0.00,0.00
734.64000,-979.27,1.34,0.00,0.00
734.66000,-979.47,1.34,0.00,0.00
734.68000,-979.67,1.34,0.00,0.00
734.70000,-979.87,1.34,0.00,0.00
734.72000,-980.07,1.34,0.00,0.00
734.74000,-980.27,1.34,0.00,0.00
734.76000,-980.46,1.34,0.00,0.00
734.78000,-980.66,1.34,0.00,0.00
734.80000,-980.86,1.34,0.00,0.00
734.82000,-981.06,1.34,0.00,0.00
734.84000,-981.26,1.34,0.00,0.00
734.86000,-981.46,1.34,0.00,0.00
734.88000,-981.66,1.34,0.00,0.00
734.90000,-981.86,1.34,0.00,0.00
734.92000,-982.06,1.34,0.00,0.00
734.94000,-982.26,1.34,0.00,0.00
734.96000,-982.46,1.34,0.00,0.00
734.98000,-982.66,1.34,0.00,0.00
735.00000,-982.86,1.34,0.00,0.00
735.02000,-983.06,1.34,0.00,0.00
735.04000,-983.26,1.34,0.00,0.00
735.06000,-983.46,1.34,0.00,0.00
735.08000,-983.66,1.34,0.00,0.00
735.10000,-983.86,1.34,0.00,0.00
735.12000,-984.06,1.34,0.00,0.00
735.14000,-984.27,1.34,0.00,0.00
735.16000,-984.47,1.34,0.00,0.00
735.18000,-984.67,1.34,0.00,0.00
735.20000,-984.87,1.34,0.00,0.00
735.22000,-985.07,1.34,0.00,0.00
735.24000,-985.27,1.35,0.00,0.00
735.26000,-985.47,1.35,0.00,0.00
735.28000,-985.67,1.35,0.00,0.00
735.30000,-985.87,1.35,0.00,0.00
735.32000,-986.07,1.35,0.00,0.00
735.34000,-986.28,1.35,0.00,0.00
735.36000,-986.48,1.35,0.00,0.00
735.38000,-986.68,1.35,0.00,0.00
735.40000,-986.88,1.35,0.00,0.00
735.42000,-987.08,1.35,0.00,0.00
735.44000,-987.28,1.35,0.00,0.00
735.46000,-987.48,1.35,0.00,0.00
735.48000,-987.69,1.35,0.00,0.00
735.50000,-987.89,1.35,0.00,0.00
735.52000,-988.09,1.35,0.00,0.00
735.54000,-988.29,1.35,0.00,0.00
735.56000,-988.49,1.35,0.00,0.00
735.58000,-988.70,1.35,0.00,0.00
735.60000,-988.90,1.35,0.00,0.00
735.62000,-989.10,1.35,0.00,0.00
735.64000,-989.30,1.35,0.00,0.00
735.66000,-989.50,1.35,0.00,0.00
735.68000,-989.71,1.35,0.00,0.00
735.70000,-989.91,1.35,0.00,0.00
735.72000,-990.11,1.35,0.00,0.00
735.74000,-990.31,1.35,0.00,0.00
735.76000,-990.52,1.35,0.00,0.00
735.78000,-990.72,1.35,0.00,0.00
735.80000,-990.92,1.35,0.00,0.00
735.82000,-991.12,1.35,0.00,0.00
735.84000,-991.33,1.35,0.00,0.00
735.86000,-991.53,1.35,0.00,0.00
735.88000,-991.73,1.35,0.00,0.00
735.90000,-991.94,1.35,0.00,0.00
735.92000,-992.14,1.35,0.00,0.00
735.94000,-992.34,1.35,0.00,0.00
735.96000,-992.55,1.35,0.00,0.00
735.98000,-992.75,1.35,0.00,0.00
736.00000,-992.95,1.36,0.00,0.00
736.02000,-993.16,1.36,0.00,0.00
736.04000,-993.36,1.36,0.00,0.00
736.06000,-993.56,1.36,0.00,0.00
736.08000,-993.77,1.36,0.00,0.00
736.10000,-993.97,1.36,0.00,0.00
736.12000,-994.18,1.36,0.00,0.00
736.14000,-994.38,1.36,0.00,0.00
736.16000,-994.58,1.36,0.00,0.00
736.18000,-994.79,1.36,0.00,0.00
736.20000,-994.99,1.36,0.00,0.00
736.22000,-995.20,1.36,0.00,0.00
736.24000,-995.40,1.36,0.00,0.00
736.26000,-995.60,1.36,0.00,0.00
736.28000,-995.81,1.36,0.00,0.00
736.30000,-996.01,1.36,0.00,0.00
736.32000,-996.22,1.36,0.00,0.00
736.34000,-996.42,1.36,0.00,0.00
736.36000,-996.63,1.36,0.00,0.00
736.38000,-996.83,1.36,0.00,0.00
736.40000,-997.04,1.36,0.00,0.00
736.42000,-997.24,1.36,0.00,0.00
736.44000,-997.45,1.36,0.00,0.00
736.46000,-997.65,1.36,0.00,0.00
736.48000,-997.86,1.36,0.00,0.00
736.50000,-998.06,1.36,0.00,0.00
736.52000,-998.27,1.36,0.00,0.00
736.54000,-998.47,1.36,0.00,0.00
736.56000,-998.68,1.36,0.00,0.00
736.58000,-998.88,1.36,0.00,0.00
736.60000,-999.09,1.36,0.00,0.00
736.62000,-999.29,1.36,0.00,0.00
736.64000,-999.50,1.36,0.00,0.00
736.66000,-999.70,1.36,0.00,0.00
736.68000,-999.91,1.36,0.00,0.00
736.70000,-1000.11,1.36,0.00,0.00
736.72000,-1000.32,1.36,0.00,0.00
736.74000,-1000.53,1.37,0.00,0.00
736.76000,-1000.73,1.37,0.00,0.00
736.78000,-1000.94,1.37,0.00,0.00
736.80000,-1001.14,1.37,0.00,0.00
736.82000,-1001.35,1.37,0.00,0.00
736.84000,-1001.56,1.37,0.00,0.00
736.86000,-1001.76,1.37,0.00,0.00
736.88000,-1001.97,1.37,0.00,0.00
736.90000,-1002.18,1.37,0.00,0.00
736.92000,-1002.38,1.37,0.00,0.00
736.94000,-1002.59,1.37,0.00,0.00
736.96000,-1002.80,1.37,0.00,0.00
736.98000,-1003.00,1.37,0.00,0.00
737.00000,-1003.21,1.37,0.00,0.00
737.02000,-1003.42,1.37,0.00,0.00
737.04000,-1003.62,1.37,0.00,0.00
737.06000,-1003.83,1.37,0.00,0.00
737.08000,-1004.04,1.37,0.00,0.00
737.10000,-1004.24,1.37,0.00,0.00
737.12000,-1004.45,1.37,0.00,0.00
737.14000,-1004.66,1.37,0.00,0.00
737.16000,-1004.87,1.37,0.00,0.00
737.18000,-1005.07,1.37,0.00,0.00
737.20000,-1005.28,1.37,0.00,0.00
737.22000,-1005.49,1.37,0.00,0.00
737.24000,-1005.70,1.37,0.00,0.00
737.26000,-1005.90,1.37,0.00,0.00
737.28000,-1006.11,1.37,0.00,0.00
737.30000,-1006.32,1.37,0.00,0.00
737.32000,-1006.53,1.37,0.00,0.00
737.34000,-1006.73,1.37,0.00,0.00
737.36000,-1006.94,1.37,0.00,0.00
737.38000,-1007.15,1.37,0.00,0.00
