Cs1,6p1/2,,,
600.90200,-7132.80,176.09,0.00,0.00
600.90400,-7178.37,177.18,0.00,0.00
600.90600,-7224.53,178.29,0.00,0.00
600.90800,-7271.29,179.41,0.00,0.00
600.91000,-7318.66,180.54,0.00,0.00
600.91200,-7366.65,181.69,0.00,0.00
600.91400,-7415.28,182.85,0.00,0.00
600.91600,-7464.56,184.03,0.00,0.00
600.91800,-7514.50,185.23,0.00,0.00
600.92000,-7565.12,186.44,0.00,0.00
600.92200,-7616.43,187.67,0.00,0.00
600.92400,-7668.44,188.91,0.00,0.00
600.92600,-7721.18,190.18,0.00,0.00
600.92800,-7774.64,191.46,0.00,0.00
600.93000,-7828.86,192.76,0.00,0.00
600.93200,-7883.83,194.08,0.00,0.00
600.93400,-7939.59,195.42,0.00,0.00
600.93600,-7996.15,196.77,0.00,0.00
600.93800,-8053.53,198.15,0.00,0.00
600.94000,-8111.73,199.55,0.00,0.00
600.94200,-8170.79,200.97,0.00,0.00
600.94400,-8230.72,202.41,0.00,0.00
600.94600,-8291.53,203.87,0.00,0.00
600.94800,-8353.26,205.35,0.00,0.00
600.95000,-8415.92,206.86,0.00,0.00
600.95200,-8479.52,208.38,0.00,0.00
600.95400,-8544.10,209.94,0.00,0.00
600.95600,-8609.68,211.51,0.00,0.00
600.95800,-8676.27,213.12,0.00,0.00
600.96000,-8743.91,214.74,0.00,0.00
600.96200,-8812.62,216.40,0.00,0.00
600.96400,-8882.41,218.08,0.00,0.00
600.96600,-8953.33,219.78,0.00,0.00
600.96800,-9025.39,221.52,0.00,0.00
600.97000,-9098.63,223.28,0.00,0.00
600.97200,-9173.07,225.07,0.00,0.00
600.97400,-9248.74,226.90,0.00,0.00
600.97600,-9325.67,228.75,0.00,0.00
600.97800,-9403.91,230.64,0.00,0.00
600.98000,-9483.47,232.55,0.00,0.00
600.98200,-9564.39,234.50,0.00,0.00
600.98400,-9646.71,236.49,0.00,0.00
600.98600,-9730.47,238.51,0.00,0.00
600.98800,-9815.70,240.57,0.00,0.00
600.99000,-9902.44,242.66,0.00,0.00
600.99200,-9990.73,244.79,0.00,0.00
600.99400,-10080.62,246.96,0.00,0.00
600.99600,-10172.15,249.17,0.00,0.00
600.99800,-10265.36,251.42,0.00,0.00
601.00000,-10360.30,253.71,0.00,0.00
601.00200,-10457.02,256.05,0.00,0.00
601.00400,-10555.56,258.43,0.00,0.00
601.00600,-10655.99,260.85,0.00,0.00
601.00800,-10758.36,263.33,0.00,0.00
601.01000,-10862.72,265.85,0.00,0.00
601.01200,-10969.13,268.42,0.00,0.00
601.01400,-11077.65,271.04,0.00,0.00
601.01600,-11188.35,273.72,0.00,0.00
601.01800,-11301.29,276.45,0.00,0.00
601.02000,-11416.54,279.24,0.00,0.00
601.02200,-11534.18,282.09,0.00,0.00
601.02400,-11654.27,284.99,0.00,0.00
601.02600,-11776.89,287.96,0.00,0.00
601.02800,-11902.14,290.99,0.00,0.00
601.03000,-12030.08,294.09,0.00,0.00
601.03200,-12160.81,297.25,0.00,0.00
601.03400,-12294.43,300.49,0.00,0.00
601.03600,-12431.02,303.79,0.00,0.00
601.03800,-12570.69,307.18,0.00,0.00
601.04000,-12713.55,310.64,0.00,0.00
601.04200,-12859.70,314.18,0.00,0.00
601.04400,-13009.25,317.80,0.00,0.00
601.04600,-13162.34,321.51,0.00,0.00
601.04800,-13319.08,325.31,0.00,0.00
601.05000,-13479.62,329.20,0.00,0.00
601.05200,-13644.08,333.19,0.00,0.00
601.05400,-13812.61,337.27,0.00,0.00
601.05600,-13985.37,341.46,0.00,0.00
601.05800,-14162.52,345.76,0.00,0.00
601.06000,-14344.23,350.17,0.00,0.00
601.06200,-14530.68,354.69,0.00,0.00
601.06400,-14722.04,359.33,0.00,0.00
601.06600,-14918.53,364.10,0.00,0.00
601.06800,-15120.35,369.00,0.00,0.00
601.07000,-15327.71,374.03,0.00,0.00
601.07200,-15540.86,379.20,0.00,0.00
601.07400,-15760.03,384.52,0.00,0.00
601.07600,-15985.49,390.00,0.00,0.00
601.07800,-16217.51,395.63,0.00,0.00
601.08000,-16456.38,401.43,0.00,0.00
601.08200,-16702.41,407.41,0.00,0.00
601.08400,-16955.93,413.56,0.00,0.00
601.08600,-17217.27,419.91,0.00,0.00
601.08800,-17486.82,426.46,0.00,0.00
601.09000,-17764.96,433.22,0.00,0.00
601.09200,-18052.11,440.19,0.00,0.00
601.09400,-18348.72,447.40,0.00,0.00
601.09600,-18655.26,454.85,0.00,0.00
601.09800,-18972.23,462.55,0.00,0.00
601.10000,-19300.18,470.53,0.00,0.00
601.10200,-19639.70,478.78,0.00,0.00
601.10400,-19991.40,487.33,0.00,0.00
601.10600,-20355.95,496.19,0.00,0.00
601.10800,-20734.07,505.39,0.00,0.00
601.11000,-21126.52,514.93,0.00,0.00
601.11200,-21534.15,524.84,0.00,0.00
601.11400,-21957.85,535.15,0.00,0.00
601.11600,-22398.59,545.87,0.00,0.00
601.11800,-22857.41,557.03,0.00,0.00
601.12000,-23335.46,568.66,0.00,0.00
601.12200,-23833.96,580.79,0.00,0.00
601.12400,-24354.26,593.45,0.00,0.00
601.12600,-24897.83,606.67,0.00,0.00
601.12800,-25466.25,620.51,0.00,0.00
601.13000,-26061.28,634.99,0.00,0.00
601.13200,-26684.82,650.16,0.00,0.00
601.13400,-27338.97,666.09,0.00,0.00
601.13600,-28026.05,682.81,0.00,0.00
601.13800,-28748.60,700.40,0.00,0.00
601.14000,-29509.45,718.92,0.00,0.00
601.14200,-30311.73,738.45,0.00,0.00
601.14400,-31158.91,759.08,0.00,0.00
601.14600,-32054.86,780.89,0.00,0.00
601.14800,-33003.94,804.00,0.00,0.00
601.15000,-34011.00,828.53,0.00,0.00
601.15200,-35081.52,854.60,0.00,0.00
601.15400,-36221.71,882.36,0.00,0.00
601.15600,-37438.60,912.00,0.00,0.00
601.15800,-38740.17,943.70,0.00,0.00
601.16000,-40135.61,977.69,0.00,0.00
601.16200,-41635.44,1014.22,0.00,0.00
601.16400,-43251.83,1053.59,0.00,0.00
601.16600,-44998.92,1096.15,0.00,0.00
601.16800,-46893.23,1142.30,0.00,0.00
601.17000,-48954.19,1192.51,0.00,0.00
601.17200,-51204.79,1247.34,0.00,0.00
601.17400,-53672.48,1307.46,0.00,0.00
601.17600,-56390.26,1373.68,0.00,0.00
601.17800,-59398.17,1446.96,0.00,0.00
601.18000,-62745.31,1528.52,0.00,0.00
601.18200,-66492.47,1619.82,0.00,0.00
601.18400,-70715.92,1722.74,0.00,0.00
601.18600,-75512.66,1839.62,0.00,0.00
601.18800,-81007.89,1973.53,0.00,0.00
601.19000,-87366.16,2128.47,0.00,0.00
601.19200,-94808.13,2309.83,0.00,0.00
601.19400,-103636.66,2524.97,0.00,0.00
601.19600,-114279.06,2784.33,0.00,0.00
601.19800,-127358.33,3103.08,0.00,0.00
601.20000,-143819.69,3504.25,0.00,0.00
601.20200,-165169.75,4024.57,0.00,0.00
601.20400,-193966.05,4726.38,0.00,0.00
601.20600,-234926.93,5724.65,0.00,0.00
601.20800,-297824.58,7257.57,0.00,0.00
601.21000,-406726.14,9911.70,0.00,0.00
601.21200,-641202.55,15626.34,0.00,0.00
601.21400,-1514189.35,36902.75,0.00,0.00
601.21600,4187713.50,102064.02,0.00,0.00
601.21800,878680.56,21416.31,0.00,0.00
601.22000,490819.39,11963.38,0.00,0.00
601.22200,340505.31,8299.95,0.00,0.00
601.22400,260669.37,6354.21,0.00,0.00
601.22600,211157.29,5147.52,0.00,0.00
601.22800,177449.75,4326.02,0.00,0.00
601.23000,153020.93,3730.66,0.00,0.00
601.23200,134503.10,3279.37,0.00,0.00
601.23400,119982.41,2925.49,0.00,0.00
601.23600,108290.73,2640.56,0.00,0.00
601.23800,98674.70,2406.22,0.00,0.00
601.24000,90626.64,2210.10,0.00,0.00
601.24200,83791.96,2043.54,0.00,0.00
601.24400,77915.48,1900.34,0.00,0.00
601.24600,72808.91,1775.91,0.00,0.00
601.24800,68330.23,1666.77,0.00,0.00
601.25000,64370.35,1570.28,0.00,0.00
601.25200,60844.06,1484.36,0.00,0.00
601.25400,57683.84,1407.36,0.00,0.00
601.25600,54835.50,1337.96,0.00,0.00
601.25800,52255.05,1275.09,0.00,0.00
601.26000,49906.38,1217.87,0.00,0.00
601.26200,47759.61,1165.57,0.00,0.00
601.26400,45789.78,1117.59,0.00,0.00
601.26600,43975.88,1073.40,0.00,0.00
601.26800,42300.10,1032.58,0.00,0.00
601.27000,40747.24,994.75,0.00,0.00
601.27200,39304.26,959.60,0.00,0.00
601.27400,37959.89,926.86,0.00,0.00
601.27600,36704.36,896.28,0.00,0.00
601.27800,35529.14,867.66,0.00,0.00
601.28000,34426.77,840.81,0.00,0.00
601.28200,33390.67,815.58,0.00,0.00
601.28400,32415.05,791.83,0.00,0.00
601.28600,31494.75,769.42,0.00,0.00
601.28800,30625.21,748.25,0.00,0.00
601.29000,29802.34,728.21,0.00,0.00
601.29200,29022.48,709.23,0.00,0.00
601.29400,28282.33,691.21,0.00,0.00
601.29600,27578.95,674.09,0.00,0.00
601.29800,26909.66,657.80,0.00,0.00
601.30000,26272.04,642.28,0.00,0.00
601.30200,25663.90,627.48,0.00,0.00
601.30400,25083.23,613.35,0.00,0.00
601.30600,24528.21,599.84,0.00,0.00
601.30800,23997.19,586.92,0.00,0.00
601.31000,23488.64,574.54,0.00,0.00
601.31200,23001.16,562.68,0.00,0.00
601.31400,22533.47,551.31,0.00,0.00
601.31600,22084.39,540.38,0.00,0.00
601.31800,21652.83,529.89,0.00,0.00
601.32000,21237.78,519.79,0.00,0.00
601.32200,20838.32,510.08,0.00,0.00
601.32400,20453.58,500.72,0.00,0.00
601.32600,20082.76,491.70,0.00,0.00
601.32800,19725.12,483.01,0.00,0.00
601.33000,19379.97,474.62,0.00,0.00
601.33200,19046.67,466.51,0.00,0.00
601.33400,18724.62,458.69,0.00,0.00
601.33600,18413.25,451.12,0.00,0.00
601.33800,18112.05,443.80,0.00,0.00
601.34000,17820.52,436.71,0.00,0.00
601.34200,17538.21,429.85,0.00,0.00
601.34400,17264.68,423.21,0.00,0.00
601.34600,16999.54,416.77,0.00,0.00
601.34800,16742.40,410.52,0.00,0.00
601.35000,16492.90,404.46,0.00,0.00
601.35200,16250.71,398.58,0.00,0.00
601.35400,16015.52,392.87,0.00,0.00
601.35600,15787.02,387.32,0.00,0.00
601.35800,15564.93,381.93,0.00,0.00
601.36000,15348.99,376.69,0.00,0.00
601.36200,15138.94,371.59,0.00,0.00
601.36400,14934.55,366.63,0.00,0.00
601.36600,14735.59,361.80,0.00,0.00
601.36800,14541.85,357.10,0.00,0.00
601.37000,14353.12,352.52,0.00,0.00
601.37200,14169.21,348.06,0.00,0.00
601.37400,13989.95,343.71,0.00,0.00
601.37600,13815.15,339.47,0.00,0.00
601.37800,13644.65,335.33,0.00,0.00
601.38000,13478.30,331.30,0.00,0.00
601.38200,13315.94,327.36,0.00,0.00
601.38400,13157.44,323.52,0.00,0.00
601.38600,13002.65,319.77,0.00,0.00
601.38800,12851.46,316.11,0.00,0.00
601.39000,12703.72,312.53,0.00,0.00
601.39200,12559.34,309.03,0.00,0.00
601.39400,12418.19,305.61,0.00,0.00
601.39600,12280.17,302.26,0.00,0.00
601.39800,12145.17,298.99,0.00,0.00
601.40000,12013.09,295.80,0.00,0.00
601.40200,11883.85,292.67,0.00,0.00
601.40400,11757.36,289.60,0.00,0.00
601.40600,11633.51,286.61,0.00,0.00
601.40800,11512.24,283.67,0.00,0.00
601.41000,11393.46,280.80,0.00,0.00
601.41200,11277.11,277.98,0.00,0.00
601.41400,11163.09,275.22,0.00,0.00
601.41600,11051.35,272.52,0.00,0.00
601.41800,10941.81,269.87,0.00,0.00
601.42000,10834.42,267.27,0.00,0.00
601.42200,10729.11,264.73,0.00,0.00
601.42400,10625.82,262.23,0.00,0.00
601.42600,10524.48,259.78,0.00,0.00
601.42800,10425.06,257.38,0.00,0.00
601.43000,10327.49,255.02,0.00,0.00
601.43200,10231.72,252.71,0.00,0.00
601.43400,10137.71,250.44,0.00,0.00
601.43600,10045.40,248.21,0.00,0.00
601.43800,9954.75,246.02,0.00,0.00
601.44000,9865.71,243.87,0.00,0.00
601.44200,9778.25,241.76,0.00,0.00
601.44400,9692.31,239.68,0.00,0.00
601.44600,9607.87,237.65,0.00,0.00
601.44800,9524.88,235.64,0.00,0.00
601.45000,9443.31,233.68,0.00,0.00
601.45200,9363.11,231.74,0.00,0.00
601.45400,9284.26,229.84,0.00,0.00
601.45600,9206.72,227.97,0.00,0.00
601.45800,9130.46,226.13,0.00,0.00
601.46000,9055.45,224.33,0.00,0.00
601.46200,8981.65,222.55,0.00,0.00
601.46400,8909.04,220.80,0.00,0.00
601.46600,8837.59,219.08,0.00,0.00
601.46800,8767.27,217.38,0.00,0.00
601.47000,8698.06,215.72,0.00,0.00
601.47200,8629.93,214.08,0.00,0.00
601.47400,8562.85,212.46,0.00,0.00
601.47600,8496.80,210.87,0.00,0.00
601.47800,8431.75,209.31,0.00,0.00
601.48000,8367.69,207.77,0.00,0.00
601.48200,8304.59,206.25,0.00,0.00
601.48400,8242.43,204.75,0.00,0.00
601.48600,8181.19,203.28,0.00,0.00
601.48800,8120.85,201.83,0.00,0.00
601.49000,8061.39,200.40,0.00,0.00
601.49200,8002.78,198.99,0.00,0.00
601.49400,7945.02,197.61,0.00,0.00
601.49600,7888.08,196.24,0.00,0.00
601.49800,7831.95,194.89,0.00,0.00
601.50000,7776.61,193.56,0.00,0.00
601.50200,7722.04,192.25,0.00,0.00
601.50400,7668.22,190.96,0.00,0.00
601.50600,7615.15,189.69,0.00,0.00
601.50800,7562.80,188.43,0.00,0.00
601.51000,7511.17,187.19,0.00,0.00
601.51200,7460.22,185.97,0.00,0.00
601.51400,7409.97,184.77,0.00,0.00
601.51600,7360.38,183.58,0.00,0.00
601.51800,7311.44,182.40,0.00,0.00
601.52000,7263.15,181.25,0.00,0.00
601.52200,7215.49,180.11,0.00,0.00
601.52400,7168.45,178.98,0.00,0.00
601.52600,7122.01,177.87,0.00,0.00
601.52800,7076.17,176.77,0.00,0.00
601.53000,7030.91,175.69,0.00,0.00
601.53200,6986.22,174.62,0.00,0.00
601.53400,6942.09,173.56,0.00,0.00
601.53600,6898.51,172.52,0.00,0.00
601.53800,6855.48,171.49,0.00,0.00
601.54000,6812.97,170.48,0.00,0.00
601.54200,6770.99,169.47,0.00,0.00
601.54400,6729.51,168.48,0.00,0.00
601.54600,6688.54,167.50,0.00,0.00
601.54800,6648.06,166.54,0.00,0.00
601.55000,6608.06,165.58,0.00,0.00
601.55200,6568.54,164.64,0.00,0.00
601.55400,6529.49,163.71,0.00,0.00
601.55600,6490.89,162.78,0.00,0.00
601.55800,6452.75,161.87,0.00,0.00
601.56000,6415.05,160.98,0.00,0.00
601.56200,6377.78,160.09,0.00,0.00
601.56400,6340.94,159.21,0.00,0.00
601.56600,6304.52,158.34,0.00,0.00
601.56800,6268.52,157.48,0.00,0.00
601.57000,6232.92,156.64,0.00,0.00
601.57200,6197.72,155.80,0.00,0.00
601.57400,6162.91,154.97,0.00,0.00
601.57600,6128.49,154.15,0.00,0.00
601.57800,6094.45,153.34,0.00,0.00
601.58000,6060.78,152.54,0.00,0.00
601.58200,6027.48,151.75,0.00,0.00
601.58400,5994.54,150.96,0.00,0.00
601.58600,5961.95,150.19,0.00,0.00
601.58800,5929.72,149.42,0.00,0.00
601.59000,5897.83,148.67,0.00,0.00
601.59200,5866.28,147.92,0.00,0.00
601.59400,5835.06,147.17,0.00,0.00
601.59600,5804.17,146.44,0.00,0.00
601.59800,5773.60,145.72,0.00,0.00
601.60000,5743.35,145.00,0.00,0.00
601.60200,5713.41,144.29,0.00,0.00
601.60400,5683.79,143.59,0.00,0.00
601.60600,5654.46,142.89,0.00,0.00
601.60800,5625.43,142.20,0.00,0.00
601.61000,5596.70,141.52,0.00,0.00
601.61200,5568.26,140.85,0.00,0.00
601.61400,5540.10,140.18,0.00,0.00
601.61600,5512.23,139.52,0.00,0.00
601.61800,5484.63,138.87,0.00,0.00
601.62000,5457.30,138.22,0.00,0.00
601.62200,5430.24,137.58,0.00,0.00
601.62400,5403.45,136.95,0.00,0.00
601.62600,5376.92,136.32,0.00,0.00
601.62800,5350.65,135.70,0.00,0.00
601.63000,5324.63,135.08,0.00,0.00
601.63200,5298.85,134.48,0.00,0.00
601.63400,5273.33,133.87,0.00,0.00
601.63600,5248.05,133.28,0.00,0.00
601.63800,5223.00,132.69,0.00,0.00
601.64000,5198.20,132.10,0.00,0.00
601.64200,5173.62,131.52,0.00,0.00
601.64400,5149.28,130.95,0.00,0.00
601.64600,5125.16,130.38,0.00,0.00
601.64800,5101.26,129.81,0.00,0.00
601.65000,5077.59,129.26,0.00,0.00
601.65200,5054.13,128.70,0.00,0.00
601.65400,5030.88,128.16,0.00,0.00
601.65600,5007.85,127.61,0.00,0.00
601.65800,4985.02,127.08,0.00,0.00
601.66000,4962.40,126.55,0.00,0.00
601.66200,4939.98,126.02,0.00,0.00
601.66400,4917.76,125.50,0.00,0.00
601.66600,4895.74,124.98,0.00,0.00
601.66800,4873.91,124.47,0.00,0.00
601.67000,4852.28,123.96,0.00,0.00
601.67200,4830.83,123.45,0.00,0.00
601.67400,4809.58,122.95,0.00,0.00
601.67600,4788.50,122.46,0.00,0.00
601.67800,4767.61,121.97,0.00,0.00
601.68000,4746.90,121.48,0.00,0.00
601.68200,4726.36,121.00,0.00,0.00
601.68400,4706.01,120.53,0.00,0.00
601.68600,4685.82,120.05,0.00,0.00
601.68800,4665.80,119.58,0.00,0.00
601.69000,4645.96,119.12,0.00,0.00
601.69200,4626.28,118.66,0.00,0.00
601.69400,4606.76,118.20,0.00,0.00
601.69600,4587.41,117.75,0.00,0.00
601.69800,4568.22,117.30,0.00,0.00
601.70000,4549.18,116.86,0.00,0.00
601.70200,4530.30,116.41,0.00,0.00
601.70400,4511.58,115.98,0.00,0.00
601.70600,4493.01,115.54,0.00,0.00
601.70800,4474.59,115.11,0.00,0.00
601.71000,4456.32,114.69,0.00,0.00
601.71200,4438.19,114.26,0.00,0.00
601.71400,4420.21,113.84,0.00,0.00
601.71600,4402.38,113.43,0.00,0.00
601.73600,4231.56,109.45,0.00,0.00
601.75600,4073.38,105.78,0.00,0.00
601.77600,3926.47,102.39,0.00,0.00
601.79600,3789.69,99.24,0.00,0.00
601.81600,3662.01,96.31,0.00,0.00
601.83600,3542.55,93.58,0.00,0.00
601.85600,3430.55,91.02,0.00,0.00
601.87600,3325.32,88.64,0.00,0.00
601.89600,3226.28,86.40,0.00,0.00
601.91600,3132.89,84.30,0.00,0.00
601.93600,3044.67,82.32,0.00,0.00
601.95600,2961.22,80.46,0.00,0.00
601.97600,2882.15,78.70,0.00,0.00
601.99600,2807.13,77.04,0.00,0.00
602.01600,2735.85,75.47,0.00,0.00
602.03600,2668.04,73.98,0.00,0.00
602.05600,2603.46,72.57,0.00,0.00
602.07600,2541.87,71.23,0.00,0.00
602.09600,2483.08,69.96,0.00,0.00
602.11600,2426.89,68.75,0.00,0.00
602.13600,2373.15,67.60,0.00,0.00
602.15600,2321.68,66.50,0.00,0.00
602.17600,2272.36,65.45,0.00,0.00
602.19600,2225.04,64.45,0.00,0.00
602.21600,2179.61,63.50,0.00,0.00
602.23600,2135.96,62.58,0.00,0.00
602.25600,2093.98,61.71,0.00,0.00
602.27600,2053.59,60.87,0.00,0.00
602.29600,2014.68,60.07,0.00,0.00
602.31600,1977.19,59.30,0.00,0.00
602.33600,1941.03,58.56,0.00,0.00
602.35600,1906.14,57.85,0.00,0.00
602.37600,1872.45,57.17,0.00,0.00
602.39600,1839.89,56.51,0.00,0.00
602.41600,1808.42,55.88,0.00,0.00
602.43600,1777.98,55.27,0.00,0.00
602.45600,1748.51,54.69,0.00,0.00
602.47600,1719.98,54.12,0.00,0.00
602.49600,1692.33,53.58,0.00,0.00
602.51600,1665.54,53.06,0.00,0.00
602.53600,1639.55,52.55,0.00,0.00
602.55600,1614.33,52.06,0.00,0.00
602.57600,1589.86,51.59,0.00,0.00
602.59600,1566.09,51.14,0.00,0.00
602.61600,1543.00,50.70,0.00,0.00
602.63600,1520.55,50.27,0.00,0.00
602.65600,1498.73,49.86,0.00,0.00
602.67600,1477.50,49.46,0.00,0.00
602.69600,1456.84,49.07,0.00,0.00
602.71600,1436.73,48.70,0.00,0.00
602.73600,1417.15,48.33,0.00,0.00
602.75600,1398.07,47.98,0.00,0.00
602.77600,1379.48,47.64,0.00,0.00
602.79600,1361.36,47.31,0.00,0.00
602.81600,1343.69,46.99,0.00,0.00
602.83600,1326.46,46.67,0.00,0.00
602.85600,1309.64,46.37,0.00,0.00
602.87600,1293.22,46.08,0.00,0.00
602.89600,1277.20,45.79,0.00,0.00
602.91600,1261.55,45.51,0.00,0.00
602.93600,1246.26,45.24,0.00,0.00
602.95600,1231.32,44.98,0.00,0.00
602.97600,1216.71,44.72,0.00,0.00
602.99600,1202.44,44.47,0.00,0.00
603.01600,1188.48,44.23,0.00,0.00
603.03600,1174.82,43.99,0.00,0.00
603.05600,1161.46,43.76,0.00,0.00
603.07600,1148.38,43.54,0.00,0.00
603.09600,1135.58,43.32,0.00,0.00
603.11600,1123.05,43.10,0.00,0.00
603.13600,1110.78,42.90,0.00,0.00
603.15600,1098.76,42.69,0.00,0.00
603.17600,1086.98,42.49,0.00,0.00
603.19600,1075.44,42.30,0.00,0.00
603.21600,1064.13,42.11,0.00,0.00
603.23600,1053.04,41.93,0.00,0.00
603.25600,1042.16,41.75,0.00,0.00
603.27600,1031.50,41.57,0.00,0.00
603.29600,1021.03,41.40,0.00,0.00
603.31600,1010.77,41.23,0.00,0.00
603.33600,1000.70,41.07,0.00,0.00
603.35600,990.81,40.91,0.00,0.00
603.37600,981.11,40.75,0.00,0.00
