Cs1,6p1/2,,,
Wavelength,alpha_0,Uncertainty,alpha_2,Uncertainty
600.00000,-1863.41,56.41,0.00,0.00
600.02000,-1894.11,56.99,0.00,0.00
600.04000,-1925.86,57.59,0.00,0.00
600.06000,-1958.70,58.22,0.00,0.00
600.08000,-1992.69,58.88,0.00,0.00
600.10000,-2027.90,59.56,0.00,0.00
600.12000,-2064.39,60.28,0.00,0.00
600.14000,-2102.24,61.02,0.00,0.00
600.16000,-2141.52,61.80,0.00,0.00
600.18000,-2182.31,62.62,0.00,0.00
600.20000,-2224.70,63.47,0.00,0.00
600.22000,-2268.80,64.36,0.00,0.00
600.24000,-2314.70,65.30,0.00,0.00
600.26000,-2362.51,66.28,0.00,0.00
600.28000,-2412.37,67.31,0.00,0.00
600.30000,-2464.40,68.39,0.00,0.00
600.32000,-2518.75,69.53,0.00,0.00
600.34000,-2575.58,70.73,0.00,0.00
600.36000,-2635.07,71.99,0.00,0.00
600.38000,-2697.39,73.31,0.00,0.00
600.40000,-2762.78,74.71,0.00,0.00
600.42000,-2831.44,76.19,0.00,0.00
600.44000,-2903.64,77.76,0.00,0.00
600.46000,-2979.66,79.42,0.00,0.00
600.48000,-3059.81,81.17,0.00,0.00
600.50000,-3144.43,83.04,0.00,0.00
600.52000,-3233.92,85.02,0.00,0.00
600.54000,-3328.70,87.13,0.00,0.00
600.56000,-3429.25,89.38,0.00,0.00
600.58000,-3536.14,91.79,0.00,0.00
600.60000,-3649.96,94.36,0.00,0.00
600.62000,-3771.42,97.11,0.00,0.00
600.64000,-3901.32,100.08,0.00,0.00
600.66000,-4040.57,103.26,0.00,0.00
600.68000,-4190.21,106.71,0.00,0.00
600.70000,-4351.46,110.43,0.00,0.00
600.72000,-4525.72,114.47,0.00,0.00
600.72200,-4543.92,114.89,0.00,0.00
600.72400,-4562.27,115.32,0.00,0.00
600.72600,-4580.77,115.75,0.00,0.00
600.72800,-4599.42,116.18,0.00,0.00
600.73000,-4618.23,116.62,0.00,0.00
600.73200,-4637.19,117.06,0.00,0.00
600.73400,-4656.31,117.51,0.00,0.00
600.73600,-4675.59,117.95,0.00,0.00
600.73800,-4695.02,118.41,0.00,0.00
600.74000,-4714.63,118.86,0.00,0.00
600.74200,-4734.40,119.33,0.00,0.00
600.74400,-4754.33,119.79,0.00,0.00
600.74600,-4774.44,120.26,0.00,0.00
600.74800,-4794.72,120.73,0.00,0.00
600.75000,-4815.17,121.21,0.00,0.00
600.75200,-4835.80,121.69,0.00,0.00
600.75400,-4856.60,122.18,0.00,0.00
600.75600,-4877.59,122.67,0.00,0.00
600.75800,-4898.76,123.16,0.00,0.00
600.76000,-4920.12,123.66,0.00,0.00
600.76200,-4941.67,124.17,0.00,0.00
600.76400,-4963.40,124.68,0.00,0.00
600.76600,-4985.33,125.19,0.00,0.00
600.76800,-5007.46,125.71,0.00,0.00
600.77000,-5029.78,126.23,0.00,0.00
600.77200,-5052.31,126.76,0.00,0.00
600.77400,-5075.04,127.29,0.00,0.00
600.77600,-5097.98,127.83,0.00,0.00
600.77800,-5121.12,128.37,0.00,0.00
600.78000,-5144.48,128.92,0.00,0.00
600.78200,-5168.06,129.48,0.00,0.00
600.78400,-5191.85,130.03,0.00,0.00
600.78600,-5215.86,130.60,0.00,0.00
600.78800,-5240.10,131.17,0.00,0.00
600.79000,-5264.57,131.74,0.00,0.00
600.79200,-5289.27,132.33,0.00,0.00
600.79400,-5314.20,132.91,0.00,0.00
600.79600,-5339.37,133.50,0.00,0.00
600.79800,-5364.78,134.10,0.00,0.00
600.80000,-5390.43,134.71,0.00,0.00
600.80200,-5416.34,135.32,0.00,0.00
600.80400,-5442.49,135.93,0.00,0.00
600.80600,-5468.90,136.56,0.00,0.00
600.80800,-5495.57,137.19,0.00,0.00
600.81000,-5522.51,137.82,0.00,0.00
600.81200,-5549.70,138.46,0.00,0.00
600.81400,-5577.18,139.11,0.00,0.00
600.81600,-5604.92,139.77,0.00,0.00
600.81800,-5632.95,140.43,0.00,0.00
600.82000,-5661.25,141.10,0.00,0.00
600.82200,-5689.85,141.77,0.00,0.00
600.82400,-5718.74,142.46,0.00,0.00
600.82600,-5747.92,143.15,0.00,0.00
600.82800,-5777.41,143.84,0.00,0.00
600.83000,-5807.20,144.55,0.00,0.00
600.83200,-5837.30,145.26,0.00,0.00
600.83400,-5867.72,145.98,0.00,0.00
600.83600,-5898.46,146.71,0.00,0.00
600.83800,-5929.52,147.45,0.00,0.00
600.84000,-5960.92,148.19,0.00,0.00
600.84200,-5992.65,148.94,0.00,0.00
600.84400,-6024.72,149.70,0.00,0.00
600.84600,-6057.14,150.47,0.00,0.00
600.84800,-6089.91,151.25,0.00,0.00
600.85000,-6123.04,152.03,0.00,0.00
600.85200,-6156.54,152.83,0.00,0.00
600.85400,-6190.40,153.63,0.00,0.00
600.85600,-6224.65,154.45,0.00,0.00
600.85800,-6259.27,155.27,0.00,0.00
600.86000,-6294.29,156.10,0.00,0.00
600.86200,-6329.70,156.94,0.00,0.00
600.86400,-6365.52,157.80,0.00,0.00
600.86600,-6401.74,158.66,0.00,0.00
600.86800,-6438.38,159.53,0.00,0.00
600.87000,-6475.45,160.41,0.00,0.00
600.87200,-6512.94,161.30,0.00,0.00
600.87400,-6550.88,162.21,0.00,0.00
600.87600,-6589.26,163.12,0.00,0.00
600.87800,-6628.10,164.05,0.00,0.00
600.88000,-6667.40,164.98,0.00,0.00
600.88200,-6707.17,165.93,0.00,0.00
600.88400,-6747.43,166.89,0.00,0.00
600.88600,-6788.17,167.86,0.00,0.00
600.88800,-6829.40,168.85,0.00,0.00
600.89000,-6871.15,169.84,0.00,0.00
600.89200,-6913.41,170.85,0.00,0.00
600.89400,-6956.20,171.87,0.00,0.00
600.89600,-6999.52,172.91,0.00,0.00
600.89800,-7043.39,173.96,0.00,0.00
600.90000,-7087.81,175.02,0.00,0.00
