Cs1,6p3/2,,,
Wavelength,alpha_0,Uncertainty,alpha_2,Uncertainty
602.82000,-319.81,45.60,167.28,13.03
602.84000,-326.19,45.59,173.42,13.09
602.86000,-332.92,45.59,179.90,13.15
602.88000,-340.02,45.58,186.75,13.21
602.90000,-347.52,45.57,194.00,13.28
602.92000,-355.46,45.57,201.69,13.36
602.94000,-363.89,45.57,209.87,13.44
602.96000,-372.84,45.57,218.57,13.53
602.98000,-382.38,45.58,227.86,13.64
603.00000,-392.56,45.59,237.79,13.75
603.02000,-403.46,45.60,248.44,13.87
603.04000,-415.14,45.61,259.87,14.01
603.06000,-427.72,45.64,272.20,14.16
603.08000,-441.28,45.66,285.51,14.33
603.08100,-441.99,45.67,286.20,14.34
603.08200,-442.70,45.67,286.90,14.35
603.08300,-443.41,45.67,287.60,14.36
603.08400,-444.12,45.67,288.30,14.37
603.08500,-444.84,45.67,289.01,14.38
603.08600,-445.56,45.67,289.71,14.39
603.08700,-446.28,45.68,290.42,14.39
603.08800,-447.01,45.68,291.14,14.40
603.08900,-447.74,45.68,291.86,14.41
603.09000,-448.47,45.68,292.58,14.42
603.09100,-449.21,45.68,293.30,14.43
603.09200,-449.95,45.68,294.02,14.44
603.09300,-450.69,45.69,294.75,14.45
603.09400,-451.43,45.69,295.48,14.46
603.09500,-452.18,45.69,296.22,14.47
603.09600,-452.93,45.69,296.96,14.48
603.09700,-453.68,45.69,297.70,14.49
603.09800,-454.44,45.70,298.44,14.50
603.09900,-455.20,45.70,299.19,14.51
603.10000,-455.96,45.70,299.94,14.52
603.10100,-456.73,45.70,300.69,14.53
603.10200,-457.50,45.70,301.45,14.54
603.10300,-458.27,45.71,302.21,14.55
603.10400,-459.04,45.71,302.97,14.56
603.10500,-459.82,45.71,303.74,14.57
603.10600,-460.60,45.71,304.51,14.58
603.10700,-461.39,45.71,305.28,14.59
603.10800,-462.18,45.72,306.06,14.60
603.10900,-462.97,45.72,306.83,14.61
603.11000,-463.76,45.72,307.62,14.62
603.11100,-464.56,45.72,308.40,14.63
603.11200,-465.37,45.72,309.19,14.65
603.11300,-466.17,45.73,309.99,14.66
603.11400,-466.98,45.73,310.78,14.67
603.11500,-467.79,45.73,311.58,14.68
603.11600,-468.61,45.73,312.38,14.69
603.11700,-469.43,45.74,313.19,14.70
603.11800,-470.25,45.74,314.00,14.71
603.11900,-471.08,45.74,314.81,14.72
603.12000,-471.91,45.74,315.63,14.73
603.12100,-472.74,45.75,316.45,14.75
603.12200,-473.58,45.75,317.28,14.76
603.12300,-474.42,45.75,318.11,14.77
603.12400,-475.26,45.75,318.94,14.78
603.12500,-476.11,45.76,319.77,14.79
603.12600,-476.96,45.76,320.61,14.80
603.12700,-477.82,45.76,321.45,14.81
603.12800,-478.67,45.76,322.30,14.83
603.12900,-479.54,45.77,323.15,14.84
603.13000,-480.40,45.77,324.01,14.85
603.13100,-481.28,45.77,324.86,14.86
603.13200,-482.15,45.77,325.73,14.87
603.13300,-483.03,45.78,326.59,14.89
603.13400,-483.91,45.78,327.46,14.90
603.13500,-484.80,45.78,328.34,14.91
603.13600,-485.69,45.78,329.21,14.92
603.13700,-486.58,45.79,330.09,14.94
603.13800,-487.48,45.79,330.98,14.95
603.13900,-488.38,45.79,331.87,14.96
603.14000,-489.29,45.80,332.76,14.97
603.14100,-490.20,45.80,333.66,14.99
603.14200,-491.11,45.80,334.56,15.00
603.14300,-492.03,45.80,335.47,15.01
603.14400,-492.95,45.81,336.38,15.03
603.14500,-493.88,45.81,337.29,15.04
603.14600,-494.81,45.81,338.21,15.05
603.14700,-495.75,45.82,339.14,15.07
603.14800,-496.69,45.82,340.06,15.08
603.14900,-497.63,45.82,341.00,15.09
603.15000,-498.58,45.83,341.93,15.11
603.15100,-499.53,45.83,342.87,15.12
603.15200,-500.49,45.83,343.82,15.13
603.15300,-501.45,45.84,344.77,15.15
603.15400,-502.42,45.84,345.72,15.16
603.15500,-503.39,45.84,346.68,15.17
603.15600,-504.37,45.85,347.64,15.19
603.15700,-505.35,45.85,348.61,15.20
603.15800,-506.33,45.85,349.58,15.22
603.15900,-507.32,45.86,350.56,15.23
603.16000,-508.31,45.86,351.54,15.25
603.16100,-509.31,45.86,352.53,15.26
603.16200,-510.32,45.87,353.52,15.27
603.16300,-511.33,45.87,354.51,15.29
603.16400,-512.34,45.88,355.51,15.30
603.16500,-513.36,45.88,356.52,15.32
603.16600,-514.38,45.88,357.53,15.33
603.16700,-515.41,45.89,358.54,15.35
603.16800,-516.44,45.89,359.56,15.36
603.16900,-517.48,45.89,360.59,15.38
603.17000,-518.52,45.90,361.62,15.39
603.17100,-519.57,45.90,362.66,15.41
603.17200,-520.62,45.91,363.70,15.43
603.17300,-521.68,45.91,364.74,15.44
603.17400,-522.74,45.91,365.79,15.46
603.17500,-523.81,45.92,366.85,15.47
603.17600,-524.89,45.92,367.91,15.49
603.17700,-525.97,45.93,368.98,15.51
603.17800,-527.05,45.93,370.05,15.52
603.17900,-528.14,45.94,371.13,15.54
603.18000,-529.24,45.94,372.21,15.55
603.18100,-530.34,45.94,373.30,15.57
603.18200,-531.44,45.95,374.39,15.59
603.18300,-532.56,45.95,375.49,15.60
603.18400,-533.67,45.96,376.60,15.62
603.18500,-534.80,45.96,377.71,15.64
603.18600,-535.93,45.97,378.82,15.65
603.18700,-537.06,45.97,379.95,15.67
603.18800,-538.20,45.98,381.07,15.69
603.18900,-539.35,45.98,382.21,15.71
603.19000,-540.50,45.99,383.35,15.72
603.19100,-541.66,45.99,384.49,15.74
603.19200,-542.82,45.99,385.64,15.76
603.19300,-543.99,46.00,386.80,15.78
603.19400,-545.17,46.00,387.97,15.80
603.19500,-546.35,46.01,389.14,15.81
603.19600,-547.54,46.01,390.31,15.83
603.19700,-548.73,46.02,391.49,15.85
603.19800,-549.93,46.02,392.68,15.87
603.19900,-551.14,46.03,393.88,15.89
603.20000,-552.35,46.04,395.08,15.91
603.20100,-553.57,46.04,396.28,15.93
603.20200,-554.80,46.05,397.50,15.94
603.20300,-556.03,46.05,398.72,15.96
603.20400,-557.27,46.06,399.95,15.98
603.20500,-558.52,46.06,401.18,16.00
603.20600,-559.77,46.07,402.42,16.02
603.20700,-561.03,46.07,403.67,16.04
603.20800,-562.30,46.08,404.92,16.06
603.20900,-563.57,46.09,406.18,16.08
603.21000,-564.85,46.09,407.45,16.10
603.21100,-566.14,46.10,408.72,16.12
603.21200,-567.43,46.10,410.00,16.14
603.21300,-568.73,46.11,411.29,16.16
603.21400,-570.04,46.11,412.59,16.18
603.21500,-571.35,46.12,413.89,16.20
603.21600,-572.68,46.13,415.20,16.23
603.21700,-574.01,46.13,416.51,16.25
603.21800,-575.34,46.14,417.84,16.27
603.21900,-576.69,46.15,419.17,16.29
603.22000,-578.04,46.15,420.51,16.31
603.22100,-579.40,46.16,421.86,16.33
603.22200,-580.77,46.17,423.21,16.35
603.22300,-582.14,46.17,424.57,16.38
603.22400,-583.52,46.18,425.94,16.40
603.22500,-584.91,46.19,427.32,16.42
603.22600,-586.31,46.19,428.71,16.44
603.22700,-587.72,46.20,430.10,16.47
603.22800,-589.13,46.21,431.50,16.49
603.22900,-590.55,46.21,432.91,16.51
603.23000,-591.98,46.22,434.33,16.54
603.23100,-593.42,46.23,435.75,16.56
603.23200,-594.87,46.23,437.19,16.58
603.23300,-596.32,46.24,438.63,16.61
603.23400,-597.79,46.25,440.08,16.63
603.23500,-599.26,46.26,441.54,16.65
603.23600,-600.74,46.26,443.01,16.68
603.23700,-602.23,46.27,444.49,16.70
603.23800,-603.73,46.28,445.97,16.73
603.23900,-605.23,46.29,447.47,16.75
603.24000,-606.75,46.29,448.97,16.78
603.24100,-608.27,46.30,450.48,16.80
603.24200,-609.81,46.31,452.00,16.83
603.24300,-611.35,46.32,453.53,16.85
603.24400,-612.90,46.33,455.07,16.88
603.24500,-614.46,46.34,456.62,16.91
603.24600,-616.04,46.34,458.18,16.93
603.24700,-617.62,46.35,459.75,16.96
603.24800,-619.21,46.36,461.32,16.98
603.24900,-620.80,46.37,462.91,17.01
603.25000,-622.41,46.38,464.51,17.04
603.25100,-624.03,46.39,466.11,17.07
603.25200,-625.66,46.40,467.73,17.09
603.25300,-627.30,46.40,469.35,17.12
603.25400,-628.95,46.41,470.99,17.15
603.25500,-630.61,46.42,472.64,17.18
603.25600,-632.28,46.43,474.29,17.20
603.25700,-633.96,46.44,475.96,17.23
603.25800,-635.65,46.45,477.64,17.26
603.25900,-637.35,46.46,479.33,17.29
603.26000,-639.06,46.47,481.03,17.32
603.26100,-640.78,46.48,482.74,17.35
603.26200,-642.51,46.49,484.46,17.38
603.26300,-644.26,46.50,486.19,17.41
603.26400,-646.01,46.51,487.93,17.44
603.26500,-647.78,46.52,489.68,17.47
603.26600,-649.56,46.53,491.45,17.50
603.26700,-651.35,46.54,493.23,17.53
603.26800,-653.15,46.55,495.01,17.56
603.26900,-654.96,46.56,496.81,17.59
603.27000,-656.78,46.57,498.62,17.62
603.27100,-658.62,46.58,500.45,17.66
603.27200,-660.47,46.59,502.28,17.69
603.27300,-662.33,46.61,504.13,17.72
603.27400,-664.20,46.62,505.99,17.75
603.27500,-666.09,46.63,507.86,17.79
603.27600,-667.98,46.64,509.75,17.82
603.27700,-669.89,46.65,511.64,17.85
603.27800,-671.81,46.66,513.55,17.89
603.27900,-673.75,46.67,515.48,17.92
603.28000,-675.70,46.69,517.41,17.95
603.28100,-677.66,46.70,519.36,17.99
603.28200,-679.63,46.71,521.32,18.02
603.28300,-681.62,46.72,523.30,18.06
603.28400,-683.62,46.74,525.29,18.09
603.28500,-685.64,46.75,527.29,18.13
603.28600,-687.67,46.76,529.31,18.17
603.28700,-689.71,46.77,531.34,18.20
603.28800,-691.77,46.79,533.38,18.24
603.28900,-693.84,46.80,535.44,18.28
603.29000,-695.92,46.81,537.51,18.31
603.29100,-698.02,46.83,539.60,18.35
603.29200,-700.14,46.84,541.70,18.39
603.29300,-702.27,46.85,543.82,18.43
603.29400,-704.41,46.87,545.95,18.47
